id,paragraph,author_id
2456,"Si Tohonan nuaeng nunga kuliah di Jawa, pasti do godang parubahan na nunga diadopi ibana saleleng mian di kota na balga. Molo ibana hian borhat sian huta do, jala nunga godang akka hasomalon na denggan na nunga diulahon ibana tarmasuk mai na mangihut Tuhan on. Dung sahat ibana di parkuliahononna godang do dibereng ibana akka pamikkiran na imbaru naso adong dapotna hian tikki di huta, tarmasuk ma na mar Tuhan on. Adong do akka dongannai na mandokkon ndang adong Tuhan i, alai molo ibana nunga dibohali hian akka na denggan sian huta gabe ndang tarhiap be manang aha na idokkon donganna",1C_L3J36ue-BoGI1IJcQSlNMd8rwXYXGJwp2lLlfFUsQ
137,"20 menit sian Hiruzen Land, dung i sahat ma hami di Hiruzen Highland Center Park. Area on ima taman marmeam na dilengkapi pahe bangunan marisi restoran dohot toko silua. Molo naeng mangalului silua sian Okayama, dison boi dijumpangi marmassam jenis sipanganon tarlumobi silua na marupa sipanganon. Dung i hami lao tu Arima. Sada inganan di Okayama na tarkenal Onsen na. Marborngin ma hami di hotel bintang lima ima Arima, Grand Aki Hotel. Songon na somal di hotel-hotel di Jepang, Grand Aki Hotel puna dekorasi kamar khas interior tradisional Jepang, lengkap dohot tatamina. Hotel on puna onsen di ruar dohot dibagasan pahe fasilitas bintang lima, jadi ndang pala porlu lao tu osen natorop muse.",1m6Av_g88nbD0mVArNiziX9yiYJdc1nJjr1I0ncETcNo
2170,"Andorang so taparade akka sipanganon i di ginjang ni akka meja, ikkon ias ma tabahen akka meja i. Alana ndang sai taboto mansai godang do na mandalhop na dorun di ginjang ni meja i. Molo ndang ias tabahen olo nama annon lokkot di sipanganon i dohot di dagingta akka bakteri i. Dung i ikkon mansai ias do tabahen akka ulaula molo mangalompa hita, molo ndang boi ias lokkot ma annon na sian balaga i tu sipanganon na talompa i. Hape i nunga mansai leleng adong di balanga i. Molo ndang boi ias tabahen olo nama mambahen sahit tu bagasan dagingta. Asa mate akka bakteri na adong dibagasanna porlu do tarondam dohot aek na las.",1C_L3J36ue-BoGI1IJcQSlNMd8rwXYXGJwp2lLlfFUsQ
3872,Sambagian  godang masyarakat Indonesia tontu mananda bakso. Panganon na tarbahen sian juhut lombu. Hita laho momo  manjumpanghonsa manang didiape. daina na tandi manjadihon bakso dijangkon di sude kalangan . Bage  kalas ginjang  olope kalas toru manghapian ibana. Bakso sasada bagas pambahenan mamorluhon parkaro. Molo hamu manjumpanghon bakso naung gabe.Satutuna andorangso umbahen bakso adong manang na piga parkaro na ingkon dibolus. saleleng on betak hita hanya mandai sajo. Molo porlu hirana hita antusi mangonai parkaro sian juhut lombu manjadi sangkarambar bakso. Pagodanghu jolma Indonesia Manghapian bakso daina na dohar dijangkon luhut jolma Palolohon bakso sala sada Panganon Lomo ni roha jolma Indonesia                                                                                                          .,1Zm0FgIoFDMzjCt4NPm-eXGYL-PtoKMD__nh0-7R-H4g
709,"Parsiajaran sian budaya mengantri ima marsiajar disiplin, taratur jala martanggung jawab. Molo mangantri mararti hita marsiajar laho mangolu disiplin, taratur jala pajolohon na saharusna parpudi jala ndang manunda aha na ingkon parjolo. Molo hamuna manyerobot antrian baraeri hamu ingkon martanggung jawab adong hagaoran jala ndang taratur ala ulah muna na naeng parkolo. Dung i mangantri mangajari hita marparange na jujur, jujur tu diri sandiri dohot tu jolma na asing. Misalna hamuna naeng mulak tu huta dung i ingkon puna tikrt alana hamu ingkon manuhor di loket. Ndang maila hamuna tu halak i na ro parjolo pahe manyerobot antrian ni halak i? Lam mu ma muse disan adong ina hamil,  dakdanak dohot na matua na nungga ro parjolo.",1m6Av_g88nbD0mVArNiziX9yiYJdc1nJjr1I0ncETcNo
504,"Hombar tu sada penelitian na dibahen Amril Amir dkk tarsingot tu Pasambahan marlapatan songon pengukahan ""adal lamo pusako usang"" (adat na nungga mantradisi) alani i psambahan mansai kental tu angka umpasa, mamangan, pituah, dohot pameo na ima hata hukum, undang-undang ajaran dohot etika pe. Anggiat marhite artikel on manamba parbinotoan angka panjaha dah.  Hombar tu sastra lisan, di Minangkabau adong  piga-piga sastra lisan umpamana ima songon umpasa, poda dohot angka na asing. Anggiat muse angka namarbaju Minang boi marsiajar godang tarsingot budaya atik i budaya daerah na sandiri manang ruar daerah asa kesenain jala budaya on ndang punah, tarlumobi Panembahan Makan.",1m6Av_g88nbD0mVArNiziX9yiYJdc1nJjr1I0ncETcNo
3685,Bahat do halak na sebenarna mamboto bahwa manyiapkon dana darurat i na pottingan do i dipasiapkon. Harana hita inda mamboto sanga aha sajo na giot tarjadi tu hita tu ginjang niari. Tai sannarion inda do sude halak bisa mamparsiapkon kabutuhan dana darurat nai. Adong do beberapa cara na bisa sanga pe na efektif na bisa hita lakuon molo giot mamparsiapkon dana darurat ima mangetong sanga sadia godang dana darurat na hita butuhkon. Satiop halak butuh do i dana darurat na jumlah nai marbeda-beda. Hita akkon mamboto sanga sadia do jumlah dana darurat na bisa hita puna. Dana darurat on bisa juo do di pangaruhi sian kabiasaan na hita lakuon satiop hari.,1xpk7uy0VhzTY1ZTa4QXKMjKfB7g9z7rkFLdezBHbvyk
3836,"Pargaulan rap dohot lingkungan i, rap dohot biologis ima juo na bisa manjadi faktor ni halak na ia bisa manjadi LGBTQ.  harana golongan transeksual i misalna, karakter ni alaklai nai sian segi suara, fisik, gorak na rap dohot kacenderungan nia tarhadop adaboru bahat di pangaruhi sian hormos testoteron. Molo hormone testoteron i rendah, bisa do ia i mampangaruhi alaklai na normal XY, sedangkon adaboru na normal juo ima XX. Bagi beberapa alaklai i puna genetic XXXY. Di bagasan ni kondisi i, alaklai nai puna sada kromosom X na manjadi tambahan. Justru tilako na do na mirip rap dohot tilako ni adaboru.",1xpk7uy0VhzTY1ZTa4QXKMjKfB7g9z7rkFLdezBHbvyk
2295,"Si Rusti olo ma taringot tu habiasaon tikki di huta dope ibana. Molo ari senin ditogihon inongna ma ibana dohot mandongani tu onan alana ndang tolap molo sahalak ni inongna. Gabe sipata molo nunga maronan olo ma mangallang sipanganon na adong di onan halaki. Si Rusti on mansai lomo do rohana manginum cendol na las, molo dung di onan halaki pintor sae naeng tusi do ditogihon ibana. Ndang hea be tarlupahon ibana molo nunga maronan tikki gelleng, boi ma dibereng songon dia inongna molo nunga manuhor tiga-tiga. Saonari ibana nama mambahen tu anakonna asa boi ingoton ni gellengna dung haduan",1C_L3J36ue-BoGI1IJcQSlNMd8rwXYXGJwp2lLlfFUsQ
1821,"Nunga leleng ndang lao marlange si Martin tu tao, alana ndang pola dao jabuna lao tusi. Alana nuaeng holan na ro do udan ganup botari di hutana. Molo marlange ibana somalna botari, dung mulak jo sian sikkola. Ari minggu na pas ndang masuk sikkola dope, lao ma ibana marlange dohot abangna. Sabotulna nunga dilagai halaki asa unang pola lao be marlange tu tao, alana ro dope udan nang dang pola karas. Alai hot do halaki lao, pintor parjolo ma si Martin on tuat tu toru ndang dibereng ibana pe nunga mandege batu ibana, tarsilandit ma ibana nga neng mogap ma ibana. Maruntung ma pintor sigop abangna lao manangkup ibana. Nunga mansai mabiar hian si Martin tikki i.",1C_L3J36ue-BoGI1IJcQSlNMd8rwXYXGJwp2lLlfFUsQ
4057,"Menurut Dadang Hawari, phobia adongma ketakutan na manetap dan inda rasional terhadap suatu objek aktivitas atau situasi tertentu, na manimbulkon suatu keinginan mandesak untuk manghindarina, rasa ketakutan i disadari oleh halak na marsangkutan sebagai suatu ketakutan na marlebihan dan inda masuk akal, namun ia inda mampu mangatasina.Beberapa ketakutan songon mabiar mate atau takut bahaya, adongma wajar. Namun ketakutan lain songon mabiar darah atau kegelapan adongma ketakutan na markembang akibat pangalaman traumatic. Suatu ketakutan akan manjadi phobia apabila emosi mabiar ini tarpicu oleh sada atau beberapa faktor na irasional dan inda diketahui. Emosi mabiar i sedemikian jotjot dirasakan sehingga mangganggu kenyamanan hidup seseorang.Jadi pada phobia ketakutan i marhubungan dohot konflik. Phobia marupahon ketakutan terhadap objek, apakah i membahayakan atau inda, apakah itu terlihat dalam gambar, didengar  ataupun hanya dibayangkan.",1Zm0FgIoFDMzjCt4NPm-eXGYL-PtoKMD__nh0-7R-H4g
2653,"Salad sayur ima salah sada panganon na mangandung vitamin na mar mocom-mocom. Molo giot mambaen salad sayur momo do i. pajolo-jolo pasiap ma kantang, wortel, kacang buncis, atcimun, tomat na rara, selada, jaung manis, mayonnaise, keju, kental manis rap asom. Parjolo-jolo robus ma sude sayur nai kecuali salada, molo madung masak angkat ma tai pangali jolo satokkin sude sayur nai. Habis i campur ma sude sayur na i tu sada tempat, campurkon ma mayonnaise rap kental manis nai rap aek ni asom i. campur kon ma saus ni salad i rap sayuran na madung ngali i, baen ma keju di ginjang ni salad sayur i. Salad sayur siap di pangan. ",1xpk7uy0VhzTY1ZTa4QXKMjKfB7g9z7rkFLdezBHbvyk
