id,paragraph,author_id
2331,"Sedih memang biasa mi ni pakkana kana ii siagang ni micarai ri boko nakana Ratu wattu na accarita mae ri CNN Indonesia na kana problem na masa caddi na, beberapa wattu laloa. Awalak na Ratu tena na sadar, mingka seiring na jappa na wattua iyaa na sakring anjo gossip gossip ka makin mae ii ri kaleng na. Awalak na agang agang baine antu si umuruka pakarammula mi bella sekre sekre, sanggeng na iyaa na gappa sindiran siagang olok olo battu ri agang burakne na. Jaii tong pakkana kana na lekba mo na tarima Ratu, pakarammula botto na kaleng na sanggeng na Bubur ketek bedeng.",1GBNsF8-3TIa9xqrZgWuYmNwW36ny2OrXMLz5Nm2Kxyg
966,"Lalang lampa mae ri Kampong Korea Bandung anne sanna gampang na, sabak kulle ni maloi oto siagang motorok poeng. Katte kulle tong jaki make petek petek anjo maloa ri kawasan anne kamma petek petek anjo jurusan Ciwastra – Cicaheum, Binong – Kalapa, siagang Riung – Dago poeng. Lalang lampa Kampong Korea Bandung nga anne kulle ni laloi mae rua pakkebok. Antu mi pakkebok sekre Taman Kiara Artha ri Jl Kiaracondong. Nampa punna erokki malo pintu rua kulle ki malo ri Jl Banteng battu mae Jl Jakarta. Punna mallaki sala lalang katte kulle make Google Maps / Waze. Kulle tong jaki iya poang ri tau kana malo kamae bajik punna niak tau ni cinik kulle ni kutaknang.",1GBNsF8-3TIa9xqrZgWuYmNwW36ny2OrXMLz5Nm2Kxyg
4587,"Punna allo sattu nikiokmi anne Acce ri tantana mange akbangngi ri ballakna siagang sikalinna ngaseng. SD kijai anne Acce, naik sikalinna lettingji, arengna Ika. Punna ri a’rungangmi anne mange ri ballakna tantana, pasti sengkai rolo’ ri super market akbalanja kanre-kanreang. Sannangi nyawana Acce, nasabak tala lekbaki kamma inne punna siagangi tau toana nasabak sikekdek doekna tau toana iyya, njari punna nikioki siagang tantana mange akbangngi ri ballakna pasti sanging eroki. Anjomi sekre kahariang tena kulle nakaluppai Acce nasabak nau’rangi tojeki kabajikanna tantana. Sanggenna lompo, biasa kijai nau’rangi nampa la nabalasak kabajikanna ri anakna tantana sallang ka sanna’ bajikna, tena na gikgilik punna doek. ",1yCLFzW6NH2FSNsvHcdQN5H0ABv1UltkUg8OZRJIYrsg
2649,"Gender antu ni kana salah sekre identitas anjo katte ni punnai. Niak identitas anjo sebagai manusia, jenisik kelamin, WNI, warga kota / desa, etnis, agama, ormas, parpol, komunitas hobi macam macam ka todong. Battu ri anjo sekian jai na identitas ngapa na justru identitas gender anjo paling ni tonjol kan, atokah erok ni rukka rukkai? Lalang na kajian budaya memang niak bahasan khusus anjo gender ka siagang seksualitas na. Sebelum na ni isseng anne bidang nga nakke todong anti pati ka, mingka nakke sikbuntuluk ka kaleng ku siagang komunitas na waria anjo tujuan na barak kulle na berdayakangi siagang na suarakangi aspirasina battu ri iyaa. ",1GBNsF8-3TIa9xqrZgWuYmNwW36ny2OrXMLz5Nm2Kxyg
393,"Nakke lekbak sigappa siagang urang salloku ri jaman wattu parakatte sekre tampak bimbingan pilajarak, ri kota mangkasaram. Ri wattua nakke sementara akdakka kale-kalengku mae ri pasarak sentral ammalli baju muslim. Assisepek-sepek, nakke anciniki sekilas sintanjak urangku ri bimbingang pilajarak mingka nakke tena ku jampangi sabak ri wattua sannak suarakna tau. 
Mingka pas ri kasir untuk akbayarak nakke anciniki ri jarak ambani siagang ciri-cirina ternyata cocoka, langkung ku tappek salang-gangna siagang angkioki arengna Wahyudi. Paraikatte accarita singkat sambil akkutaknang antekamma kabarakna siangang kutaknak kalanjukan kuliahna. Sabak ri wattua bimbingan pilajaranv paraikatte masing2 ni parsiapkan antamak ri perguruan tinggi negri, ri lekbakna assinyarang siagang carita singkat sabam antrian bayarak ri kasir na rapikmi giliranku si pakrua, paraikatte saling mendoakan semoga sukses ri kuliahta ri tampak masing-masing.
",1RQCECva331CUIkeMx3zFW8GcMDYqwwlDFBRyQIKF9xo
4558,"Sallomi Nur erok ammalli jang, mingka kakjalaki, merekna iamintu Fossil. Sanna’ kakjalakna, njari teai appalak doek ri ammakna. Punna niasareangi doek balanaj, naboliki sanggenna kulle ammali jang. Wattunna ganna’mi doekna, mange tojengmi naballai anjo jang. Siratangi kakjalak, ka anu gammarak memang todo’, anu asli poeng tena singkamma anjo nibalukang ri biring aganga. Cilla’ mamo anjo warnana, kunyi’. Kacinikangi masinana battu pantarang, mingka anjomi apparek gammaraki. Sanna’ rannuna Nur kulle naballi anjo anu salloamo nakeroki. Manna mamo kakjalak, mingka tahang tongi jang kammayya anne, manna ruang taung tahangji batrena. Sanna’ sukkurukna kulle ammalli jang ammake doek salloamo nakumpuluk. Nasabak naguppami sekre nakerokia, eroki issedek accelengang, nasabak eroki issedek ammalli ponto sallang.",1yCLFzW6NH2FSNsvHcdQN5H0ABv1UltkUg8OZRJIYrsg
1104,"Jai aturan battu ri pemerentah antu lekba mi ri override siagang kantorok na. Singkamma contona cuti hamil, ri kantorok ku salloa burakne na ni sarei jatah 2 (rua) minggu ni pake cuti paska melahirkan. Jari tena na cocok siagang aturanna pemerentah. Anne biasana perusahaan battu mae ri eropa anju kultur na bajika memang. Punna kantorok battu ri korea, adedeh anne biasanna luarak biasa. Manna 2 (rua) allo mami erok lebaran taua, antama inji ki anjama. PHK anu kulle ja terjadi tena ni sangka sangakai, parah na poeng. Niak ri sekre rua industri , anjo PHK termasuk mi anu bajik ati bedeng, anjo nyarranga yaa manage out.",1GBNsF8-3TIa9xqrZgWuYmNwW36ny2OrXMLz5Nm2Kxyg
2563,"Anjo ateis ka tau tongji. Iyaa na punnai tong ji naluri barak kulle na tuhan kan sesuatu. Mingka anjo sede apa apa yaa kulle ni tuhan kan anne teai singkamma puang anjo konvensional atokah tradisional. Niak ateis anjo ateis ka kah ni tuhan kangi pemimpin. Anne contoh paling ni cinik ri era modern antu mi anjo rakyat korea. Niak ateis kah ateis tena na tuhan kangi sains. Anne arguably anjo populasi na labbi jai seiring na era modern ka kamma kamma anne. Niak tong ateis anjo ateis kah na tuhan kangi doek. Anne arguably anjo populasi napaling jai. Nakke biasa ka accarita ri jawaban jawaban sebelum na, kana nakke lekba ka anjama mae ri tau anjo ateis ki. ",1GBNsF8-3TIa9xqrZgWuYmNwW36ny2OrXMLz5Nm2Kxyg
105,"Pantai akkarena tarletak ri jalan Tanjung Bunga, Tamalate, Makassar, Sulawesi Selatan. Tampak wisata anne tena na keindahan pantai na saja, mingka loe wahana na sadiakan siagang kanre-kanreang ri anne areana. Pantai Akkarena iami antu tampak wisata Mangkasarak, cocok ni mangei untuk allakbusuk masa liburan ta siagang bija. Rikammayya anne Pantai Akkarena anjari andalan mae ri masarakat, riolo anne pantai jari kawasan rantasak tena ni rawatki. Ri mulanna anne Pantai ni arengi Pantai Tanjung Bunga, ri tahun 1998 na allei PT. Gowa Mangkasarak Tourism Development (GMTD). Iami antu skere perusahaan swasta akgiok ri bidang pengembangan real estate siagang properti. Kamma mi anne pengelola beru, Pantai Tanjung Bunga ni sulap anjari destinasi wisata manarik untuk ni jappai siagang bija pammanakang.",1RQCECva331CUIkeMx3zFW8GcMDYqwwlDFBRyQIKF9xo
1052,"Semester sekre, nakke biasa ka ni kiok ansos (anti sosial = tena erok siagang taua) . Sukkurukna, niak agang agang antu paduli ri nakke. Mingka rata rata agang ku anjo ananak burakne. Niak sekre baine ri kelasakku apparek gosip antu tenaya bajik anu kodi na parek parek nakke na parekkang. Calledak, sanging burakne ji erok na agangi, jai podeng. Padahal nakke anne lekbak ku coba gabung mae ri anjo agang agang baine yaa mingka tena na tanggapi ka. Kulle kapang tena ku gakga siagang ni isseng ri kampusuk ka jari tena na erok siagang nakke. Mingka tena ku mangarti ngapa na jai tau terpengaru mae ri iyaa anjo taua sekre sekre anjari agang ku ki, anjo poeng agang bajikna anjari agang bajik ku kamma kamma anne. Hahaha.",1GBNsF8-3TIa9xqrZgWuYmNwW36ny2OrXMLz5Nm2Kxyg
