id,text,label
281,"Guah pêrnah datêng kê acara ngunduh mantu têmên guah. Guah nyang bukan dari suku Jawa, jadi tau sêdikit-sêdikit prosèsinyah. Pihak kêluarga pêngantèn lanang ngirimin wakil kê rumah mêmpêlai wadon buat minta ijin ngêbawa kêdua mêmpêlai mênuju têmpat diadainnyah ngunduh mantu. Prosès sêlanjutnyah, iring-iringan pasangan pêngantèn, orang tua mêmpêlai wadon, ama kêrabat bêrsiap mênuju lokasi. Pas sampè, dilanjutin prosèsi ngumbah kaki kêdua mêmpêlai ama aèr kêmbang sêtaman. Prosèsi dilanjutin ama dialog singkat sêbagè bêntuk pênyêrahan mêmpêlai wadon kêpada kêluarga lanang. Bèrès bêrdialog, pasangan pêngantèn kudu nêguk dua gêas aèr bêning nyang diminumin ama orang tua pêngantèn lanang. Abis onoh, ênyak dari pêngantèn lanang naro kaèn sindur pada pundak kêdua mempelai mênuju pêlaminan. Bêrikutnyah, pasangan pêngantèn ngêlakuin sungkêman dah. Rêsêp nyaksiinnyah!",happy
2854,"Radit pun membuka pintu, dan terkejut. Di hadapannye, Jono berdiri dengan kokoh, mengacungkan tas kresek berisi tiga bungkus nasi goreng sembari berkata, “Sorry lama, tadi antre panjang, baru dapet, nih.” Kagak mau kaget sendirian, Radit langsung memanggil Lono. Mereka berdua sekarang berdiri dengan ekspresi kaget yang sama, menatap Jono di ambang pintu. Kenape, sih?!” tanya Jono, lalu berkata lagi, “Kok seperti habis ketemu hantu saja!” Radit diam aje sambil pelan-pelan melihat kaki Jono. Lono melakukan hal yang sama, demi memastikan apakah ntu Jono yang asli atau hanya hantu kembaran yang datang tanpa permisi. Karena udeh ketakutan ngeliat hantu jadinye die ngibrit lari ngacir biar kaga ketemu.",surprise
9611,"Waktu sekolah ada acara jambore buat semua murid yang ngikut ekskul. Waktu itu, jamborenya di Cibubur. Kulem buat laki ama wadon kepisah. Cuman, pas baru pertama dateng, kagak ketauan mana kulem buat wadon ama laki. Udah gitu, dua-duanya juga lagi sepi banget. Kagak ada orang yang ngisi barang atu acan. Pas baru dateng udah enek banget gara-gara macet, langsung mabur ke kulem sekalian mau kencing. Pas udah nyampe ngeliat ada kulem yang kosong, langsung masuk aja. Kagak lama, ada bapa-bapa yang negor, kalo itu bukan kulem buat wadon. Bagusnya, belom ampe masuk wesehnya. Itu aja udah malu, pegimana kalo ampe keliatan rame orang laki.",shame
5160,"Waktu kecil kan jamannye nyatain cinta lewat surat. Pas itu aye udeh SMP tapi belom pernah juga si ngerasain nyang namanye pacaran. Pas itu aye demen ama cowok di kelas, trus dengan nekat aye tulis dah tuh surat cinta, udeh kaga mikir malu lagi dah pas itu. Nah, pas itu aye taro dah di kolong meja pas pulang dan harapannye die bisa baca. Sialnye pas besok hari tuh duduknye diacak, dan cowok nyang aye bikinin surat cinta duduknye pindah. Trus suratnye dibaca ama temen aye nyang sipatnye saat itu tuh rese, trus tuh surat disebar. Udeh panik banget bakalan ketauan, untungnye aye kaga ketauan soalnye kalo ketauan abis dah dicengin tiap hari.",fear
4257,"Fans kpop sekarang tuh makin merajalela, setiap ada konser ato apa tuh tiap fansnye pasti tuh berbondong-bondong. Padahal nyang aye tau tuh harga konser macem begitu tuh kaga murah, tapi mereka tetep lakonin tuh beli, padahal pan ya belom tentu juga keliatan orangnye nyang mana. Tapi kite mesti hargain, nyang namanya udeh ngefans pasti orang tuh bakal ngelakuin ape aje buat ketemu ama idolanye. Kaga cuma ketemu, liat bajunye aje tuh fans-fans udeh pada teriak-teriak kaga karuan kali. Emang sih aye akuin tuh laki-laki korea ngapa ya pada mulus-mulus banget, ya kaga heran kalo fansnya banyak, itung-itung buat cuci mata ya pan susah tuh dicari modelan begitu di Indonesia.",happy
3836,"Jika kamu kagak ingin menggunakan parfum, losion, dan krim pelembap juga bisa digunakan sebagai cara agar badan wangi sepanjang hari. Kite ntu bisa mengoleskan krim, atau losion ntu wewangian setelah mandi agar wanginye lebih tahan lama. Produk beraroma seperti losion memang akan lebih tahan lama setelah dioleskan pada bagian tubuh yang lembap. Kulit kepala pun bisa menimbulkan bau kagak sedap jika kagak dirawat dengan baik. Untuk ntu, kite dianjurkannye untuk keramas, atau membersihkan rambut, dan kulit kepala dengan benar. Tujuannye ntu untuk mengangkat kotoran, dan minyak sehingga rambut pun bakalannye lebih bersih, dan memberikan aroma yang harum. Bersihkan kulit kepala secara menyeluruh saat mandi, beri pijatan lembut, dan hindari menggunakan kuku agar tidak iritasi. Setelah ntu, lanjutkan ke bagian helaian rambut.",shame
1477,"Pêrbanyak minum aèr putih kalu pêndêrita ngalamin ênêk muntah têrus-têrusan. Kalu ada, kasih aèr kêlapa. Êluh juga bisa minum tablèt karbon aktip buat nyêrêp racun di dalêm saluran pêncêrnaan. Kalu ora ada tablèt karbon aktip, êluh bisa minum susu putih pêranti ngikêt racun di dalêm saluran pêncêrnaan. Sêlaèn onoh, minum susu putih wayah ngalamin gêjala kêracunan bisa ngêrangsang pêndêrita buat muntah sêhingga racun kêluar ama ora bêrèdar di dalêm awak. Tapi, kalu pêndêrita udah ampè ngalamin diarè, sêbaèknyah ora dikasih susu. Sêlanjutnyah, kalu pêndêrita kêracunan gêgarêsan mao muntah, usahain biar pêndêrita muntah dalêm kêadaan kêpala nunduk. Hal onoh dilakuin biar caèran muntah ora masup kê dalêm saluran pêrnapasan. Bêrikutnyah, kalu êluh ngêrasain kondisi awak bênêr-bênêr ora ènak, lêbih baèk langsung kê klinik atau rumah sakit têrdêkêt.",disgusted
1111,"Nopèmbêr 2017 ngêjadi titik balik kêidupan Winda F. Basir, wadon kêlahiran Palembang nyang kini ngêrasa lêbih dêkêt dêngan Allah Swt. Awalnyah diah mêrupakan sosok nyang jauh dari-Nyah. Saban kali ada masalah nyang tuman dilakuin tibang mèwèk ama sêjênak ngêlupain masalah dêngan ngêriung barêng têmên-têmên. Winda mulè ngêdêkêtin diri kêpada Allah Swt. Pêrlahan, diah go mulè ngêganti pakèan nyang tuman dipakènyah dêngan pakèan nyang nutup aurat. Kêmudian, buat kali pêrtama pada Romadon 2018, Winda bisa ngêkhatamin Al-Qur'an, hal nyang sêlama ini ora pêrnah kêpikiran olèhnyah. Sêudah mutusin bêrobah, waktu molornyah kacau sêlama tiga bulan. Diah jarang molor karna ngêri ora bangun lagi. Winda ngêri kalu dirinyah mati dalêm kêadaan bêrbuat dosa. Kalu sêbêlon tobat Winda ngaku saban kali ada masalah tibang bisa mèwèk ama ngêlupain sêjênak dêngan ngêriung barêng têmên, kali ini diah tibang bisa bêpasrah ama nyêrahinnyah kêpada Allah Swt.",fear
2889,"Prank adalah candaan yang mengandung hal-hal yang dianggap negatif. Dalam bahasa Indonesia, prank adalah istilahnye ntu yang juga mengacu pada kelakar, olok-olok, seloroh, hingga senda gurau. Sekarang ntu, prank adalah istilah yang dimaknainye sebagai suatu candaan, atau guyonan yang dapat dikatakannye membohongi seseorang, dan bersifat mempermainkannye, sebenernye dalam Islam ntu dilarang becanda tapi ada kebohongan didalemnye. Hal ntu diatur sedemikian rupa seolah-olah serius namun ternyata hanyalah bohongan, sehingga target prank merasa merasa malu, kaget, tidak nyaman, atau keheranan. Prank atau lelucon praktikal sering digunakan dalam unggahan video di media sosial populer seperti Intagram dan YouTube dengan tujuan mengangkat popularitas pemilik akun. Sehubungan dengan itu, maka praktik prank harus mengacu pada hukum UU ITE agar tidak terjadi penghinaan atau pencemaran nama baik. Walaupun bertujuan untuk bercanda, prank dapat merugikan orang lain. Apelagi, prank adalah tindakan mempermainkan orang lain sehingga orang tersebut terlihat bodoh. Tentunye kite harus tahu batas dalam melakukannye, karena kalau kagak hal ntu bisa berbahaya, dan merugikan bejibun orang.",surprise
7107,"Alsa nikah pas taon 2022. Die seneng bener karena bakalan nikah sama cowok yang udeh disukain sejak die lulus SMA. Entu cowok seniornye Alsa pas SMA, yang penggemarnye banyak bener kayak kacang goreng. Pas bulan September taon 2021, keluarganye Alsa dan keluarganye entu cowok setuju buat nikah, terus ketemuan buat minte secara resminye. Abis entu semua prosesnye berjalan lancar dan cepet bener. Bulan Desember, Alsa dilamar secara resmi ama entu cowok. Terus mereka sepakat buat nikah pas bulan April 2022. Akhirnye bulan April dateng juge. Alsa nikah ama entu cowok. Alsa seneng bener karena akhirnye bisa jadian sama seniornye yang baru die taksir pas sama-sama udeh lulus SMA.",happy
