id,text,label
3631,"Doppak hami olahraga di sikola, hami di wajibkon maroban baju olahraga. Pas do topet waktu i baju olahraga ku hu oban kehe maraton, madung sidung au maraton inda langsung hu basu baju nai, hu pasakkot baju nai. Pas do giot olahraga hami sadari i, hu oban ma baju olahraga ku naso di basu tu kalas. Pas hu pake baju nai inda sanga muap aha. Hu lehen ma parfum tu baju nai, tai mur songet do bau na. Di dokkon dongan ku ma bau baju ku. Harana di dokkon halai songoni maila au, makana inda dohot au olahraga sadari i. Kehe au mangido izin tu UKS aso ulang dohot au na olahraga i. Harana bau baju i lansung ma hu gotti baju nai marbaju sikola biasa doma au.",shame
281,"Ari parbogason ima salah sada ari na dipaima-ima. Ari na gok las ni roha dohot sukacita. Di ari i, sasahalak nungga manggonaphon satonga ugamona. Mansai ruar biasa lapatan penting parbogason di bagasan ajaran Islam. Rona las ni roha so i nama haberengan sian ananda Dhilla dohot Alif tingki akad nikah sidung jala dinatahon sah oleh saksi. Sadari tagan so parbogason diulahon, Dhilla nungga mangulahon adat acara Minangkabau, ima ""Malam ba Inai"". Malam ba Inai ima salah sada tingki marpungu keluarga besar Dhilla. Sude sisilon ni jarina dibaen inai na marwarna merah. Keluarga na jonok dohot natua-tua marganti soring mambahen inat tu sisilonna. Dung inai sae dipasang, poda dohot sipaingot dilehon ma tu Dhilla sebagai calon mempelai.",happy
259,"Nungga leleng hami ndang lao tu PIK lao mangalului kafe manang apala holan mangalului sipanganon na tabo. Sadari on lao ma hami tu kafe na margoar My BUn Bun. Inganan na sabola ni Dapur Cokelat, mura do dijumpangi inganan on sian papan goarna bentuk kelinci. Alai tingki masuk hamu, parade ma diri mamereng kelinci, hamster, marmot saht tu landak, adong puna ni halaki sude! Lante toru laho tu piaraan dohot perawatan, jala kafe na i di lante tolu. Nata pe angka piaraan i di handang, inganan on ture jala denggan do, ias ndang adong bau na manggugai. Tangana pe bolak do jala menak natua-tua/ dakdanak manakkoki.",happy
644,"Dung i lului ma loker maskapai. Kementrian Perhubungan baru-baru on mangaruarhon surat edaran mangorai maskapai mangais tiket di bandara. Songon gantina, gabe dibaen ma loket costumer care na marfungsi gabe pusat informasi dohot layanan pelanggan. Loket on annon melayani habutuhan penumpang, antara lain proses fare adjustment, perubahan rute, pangembalian dohot pembatalan, dung i layanan informasi. Tontuna, sude transaksi diulahon ndang pala pahe hepeng tunai. Jadi selalu sedia kartu kredit manang kartu debit. Na terakhir hubungi call center maskapai. Ndang sude maskapai puna konter di bandara. Laho marjaga-jaga, torus simpan nomor call center maskapai muna. Molo hal-hal na so diinginhon tarjadi songon hatinggalan pesawat, hamuna boi manghubungi costumer service.",surprise
1471,"Godang do na tadapot molo boi hita marsiajar sian mula gelleng taringot habiasaon marsiuduran manang idia pe hita adong. Naparjolo, marsiajar ma hita lao mangatur tikki. Molo naeng olo do hita hatop di sada ulaon ba ikkon hatop ma hita ro, alana godang do jolma na naeng hatop ale ndang olo gira ro. Napaduahon, marsiajar palambok roha ma hita. Tarlumobi hita na dipudi dope uduran ta, sai naeng hatop ma nian sae molo dibagasan rohanta. Ale torus ma hita marlambok ni roha. Alana jumpang do tingki ni molo nunga torus sae na sian jolo. Ido sada halobian tu halak na marlambok ni roha.",angry
728,"Oma hea mamboan ahu manggrebek bapa na selingkuh, huhut mamboan piso tu bapa dohot selingkuhanna i. Hami tingga di jabu natua-tua ni bapa, alai seangna natua-tuana (oppung) ndang paduli tu pangalaho ni gellengna, oppung boruhu roha hepeng. Holan holong tu pahompuna sian gellengna na puna godang hepeng, molo marpungu tu sepupu hu, ahu torus ma dimuruki molo pahompuna na asing tangis, hape hami sarupa dakdanak na gelleng dope. Tingki ahu di lotak jala di harat sepupuhu, dung i tangis ahu ala hansit, gabe ahu do na di lotak. Molo mangallang sipanganon pe olo do rima-rima ni sepupuku dilean tu ahu. Dohot si inumon molo hari raya pe sahira teh botol, coca cola olo do ndang dapotan ahu.",angry
3627,"Doppak au mulak sian sikola, au manaek angkot sian sikola ku i tu bagas. Pas sadari i hami adong marsiajar palajaran olahraga. Jadi harana i muap karingat pamatang ku harana nakkin olahraga di sikola. Pas manaek au tu angkot i, adong ma umak-umak mandokkon tu au na bauan pamatang ku. Harana di dokkon ia songoni tu au, maila au, tarsip doma au harana di dokkon ia songoni. Harana madung di dokkon ia songoni, mijur au langsung sian angkot i, hu telpon halak umak ku aso di alap halai au di dalan i. Maila au harana di dokkon umak-umak i songoni tu au.",shame
3395,"Iran digoncang lalo na margogo 6,1 sampe 6,5. lalo na gogo i malanda iran. Manewaskon halak na saotik na 5 halak.rap halak na dirawat di rumah sakit sa bahat 12 halak. Lalo na gogo na sampe 6,3 i mambaen rata sude tano i di huta na adong di donok toluk Iran. Adong do lalo na ma nyusul na gogo na sampe 6,1 SR. Bahat marpulu lalo na manysusul. Lalo na parjolo i manewaskon bahat halak, lalo na kadua i inda do bahat halak na tarluka harana halak madung kaluar sian bagas. Makana halak sude mangungsi harana mabiar halak molo adong buse lalo susulan.",fear
2138,"Molo mambolongkon tijur lomo-lomonta olo do annon mambahen sahit tu akka jolma na asing, jala dirimpu jolma ma hita na dorsun hian alana ndang boi tabolokkon di ingananna. Umbahen i porlu do hita mambolokkon tijur di ingananna asa dohot marragam sara Naparjolo, unang be lomo-lomonta mambolokkon tijur di sude inganan, tarlumobi na godang halak alana boi do hita mambahen sahit annon disi. Napaduahon, molo naeng mambolongkon tijur hita, lao ma tu kamar mandi. Na tumagon disi ma hita asa boi annon ndang hona halak dohot nunga adong inganan na denggan disi. Boi tong pintor tapaias, alana godang do aek lao maniram.",disgusted
4355,"Aliran sungai na tadina horing, langsung dipenuhi sampah dan warga na maligin kejadian tersebut, langsung tarkejut. ""Ieu cai bijil ni gila buru vidio, astagfirullah alazim ieu meni gila, runtah meni gila (Ini aek na kaluar gila copat video, astagfirullah aladzim i gila, sampah gila sekali),"" teriak halak warga dalam video tersebut. Saking terkejutna, bahkan warga lainna manyebut sampah na targulung oleh saluran aek tarsebut songon tsunami. ""Ieumah lautan sampah, sunami (Ini lautan sampah, tsunami,"" ujarna. Hingga, pagi postingan video tumpukan sampah tarsebut madung diligin 48 ribu kali dan mandapotkon 440 komentar miring ian warganet. ""Parah i nagoktu,"" tulis pamilik akun @saniutaris. ""Masalah sampah bukan untuk saling manyalahkon, sapai diri hita sendiri aha madung buang sampah pada tempatna,"" tulis pamilik akun lainna @mitantutami detikcom manelusuri aliran sungai tarsebut, sian video na diligin dan hasil pantauan di lapangan, botul bahwa kejadian i tarjadi di Sungai Cisunggala, Kampung/Desa Panyadap, Kecamatan Solokan jeruk, Kabupaten Bandung. Namun, sampah i madung inda adong harana madung marmuara tu aliran Sungai Citarum. ""Botul video i di sungai i, kejadianna Hari Senin (29/10) kemarin sakitar jam opat sore,"" ujar Iin warga sekitar.",disgusted
