id,text,label
792,"Mappada ri issenge, sebagian loppo wc umum ri Indonesia identik ki sibawa bau makebbong, marota', de' na terawat, penno coretan na gambara' makalaing-laing, macikke, mapettang, na terkadang haruski antre malampe. Sementara, lantai wc na sangi' marica'. Bahkan engka to sampa botolo', na kaluru' ta' jana'-jana' ri lalengna wc. Kelembapan udara rilalengna wc magatti i bakteri berkembang. De'na tassadia wae mancajini mabbau teme mancaji ciri khas na yaro wc umum. Sementara, engka wae ato de' gaga, ko tau elo' sisengni tai ato teme terpaksa napake yaro wc. Padahal ko marota' wc maega akibatna untuk aleta. Pammula pole tattai-tai, infeksi saluran pernapasan akut (ISPA), tifus, disentri, gangkenna infeksi saluran teme. Yae penyakit e mulle timbul pole ri kuman massarange ri laleng toilet. ",disgusted
445,"Maittani purana botting Nunu na lakkaingna, tapi' de' na engka ri arengi anak ri puange. Mulaini cau' pikkiri'e pekkoga batena bali taue ko engka tanai maga de'pa mu mattampu. Pasrahni yaro wettue, na lebbireng tuo dua-dua mi lakkainna ri bolana, maccarita sambarang ko lisu manengi pole ri ajjamangna, pa' yae tau duae normal mui. Yaro lakkaingna ma'jamai ri ruma sakit, akkero si runtu'ni sipaddua manre. Tiba-tiba ma peddi bua-buana Nunu, ri tiwi'ni lokka ri IGD, ri paressani kero, ri pauangni keda mattampu'i siuleng ittana. De' siseng kasi' na sanna-sannai keda mulle mui mattampu, takkini na marennu sisengni yaro essoe, weddingni mancaji tomatoa ri aruwa uleng matu'.",surprise
443,"Nappanna Mila melli riasenge cakar ri taung 2022. Melli cakar malomo mawatang mulle jaji maja' yaro pakeange, nasaba' purai napake tau lainge. Ne' yaro wettue barani siseng melli cakar pole saliweng daerah dua, yaro cakarna mello ladde na sedding.  Sebelum na melli ragui maja' matu lettu, maga na mello siseng nallebingi yaro na nawa-nawae. Maega metto silongna accoeki Instagram na yaro pabbalu cakar e, jaji melli ni wettunna engka doi' na sibawa engka baju na cinnai. Denre esso na engka statusna yaro pabbalu cakar e tentang pendapatna yaro tau purae melli cakarna, na lisekki toni Mila pa' purai melli na mello mua. Cilalona na bukka hp na yae wennie engkani asengna taruki mancaji sala seddi pemenang, ri illauini alamat na nomoro' hp aktif.  Takkini' sisengi pas na menang, nasaba' de' naitai yaro sebelumna keda untuk massappa tau elo' ri areng hadiah pale. ",surprise
817,"Sama' toni makkokkoe tau sangi' minreng doi', mamello rimulanna pas elo' minreng ne' ri munrina ri tagih na abaikangi yaro tau pinrengi doi', ato alena macai' ri tagih. Iga tau de' na maciddi, nappa sangi'na yae siklus minreng doi' na maitta na waja' makkuling-kuling terjadi ri linoe. Khususna lokka ri tau' de'na enakan sibawa tau de'gaga siri'na. Makkoe cara parellu rijama ko elo'ki pertahankangi hubungan mellota sibawa tau sideppe'ta sangi' minrenge. Seddi, aja' ri merasa bersalah ko de' ri pinrengi doi'. Dua, haruski barani makkeda tea ato de' untuk pajai yae masala makkuling-kulinge. Tellu, ko de' napaja yae masalae mebbu'ki anggaran inreng supaya mulleki atoro'i pengeluaranta. Eppa, painrengi doi' yamiro ri mampue, aja'na ri idi minreng doi' na idi' minreng toi' ri tau lainge ko de' na waja'-waja'i ato maega siseng na inreng ri aleta gangkenna idi' minreng to. Lima, sindirki yaro tau minrenge mappake cara unik ko ri ita ri sosial mediana manre mello ato mabbalanca, pauangni keda engka inrengna ri idi. Enneng. haruski marajing tagih inreng, nasaba' risih tommi tu matu lokka ri aleta ko sangi' ri tagihna mulle jaji teani minreng.",disgusted
595,"Mapeddi nasedding taue ri lalengna sakratul maut mappada ko na kenna maneng aleta, yanaro tau riturungie napineddingi aleta pada ko ri rui'-rui' i na ri bebbu pole ri ure' nadina, ure' syarafna, senina, na pole ri ure' gemme'na gangkenna cappa ajena. Makkedani taue ko engka tau mate na ri patuo paineng pasti makkedai yaro sakratul maut e, liwe' peddi'na mappada ko ri toddo sisebbu jarung ale-aleta. Bahkan nabi Muhammad peddi siseng nasedding, na rasulna Allah ta'ala yaro, mello iman na ammala'na, alena malai saisa' peddi'na umma'na. Meski makkero liwe' empa peddi'na sakratul maut, na maega tau matau'. Beda-beda na tappana taue ko elo'ni mate, mancaji ni mappittau lokka ri taue, padahal penting siseng untuk beribadah lokka ripuangta na ri ingngerrang ko de' ma ri maitta ri linoe, mulle jajiki matu' de'na ri matau' sekarat.",fear
591,"Lisuna Ondong sibawa anriingna pole massikola ri SMP, mattama'i jokka-jokka ri kampong sedde bolana, na alani yaro Faisal ri wiring lalenge pa' elo'i na antara' lokka ri bolana. Mabela bolana Faisal pole ri assikolange na yaro jokka mi kasi lokka ato maccoe' ri taue ko engka tau leppang malai. Menre'ni Faisal kero, sigandeng tellui mangnguju lokka ri bolana. Ri tengngana lalenge, engka batu loppo na lulu'i yaro Ondong mattiwi' motoro'e, engka topa pole riolo tau lulu'i. Faisal monro ri tengnga de' na sadari pekkoga bentukna yaro duae silongna, pa' mangngoro'mi na angkalinga sibawa bau darah maccolo'. Tau'pa na sedding tapi' de' to na ulle kedo madeceng pa' malo' ajena. Maittai kero ri tiwi'ni yaro silongna mappake oto lokka ri ruma sakit termasuk alena, maga na de' namaitta mate maneng yaro dua silongna, ja'pa na sedding.",fear
606,"Iga tau de' na matau riasenge na kenna bully. Kasus bully mancaji ni kasus liwe' fatalna. Engka ma'datu tau lebbi na pile na akhiri tuona na bunoi alena pa' de' na naisseng pekkoga batena pajai nakenna bully, gangkenna yaro mancajini depresi. Ko idi' sala seddi korban bully ato tea maki matu' mancaji korban bully buno diri, makkoe carana. Seddi, masennang bawangni ko na bully ki taue aja' ri terri ato macai', na bully ki pa' elo'i na ita pekkoga ki bereaksi. Dua, itai matanna yaro tau bullyki, seola-seola de' ri matau' na baraniki. Tellu, maccaritaki sibawa tau lainge keda ri pakkokiro. Eppa, aja' na ri siruntu' paineng yaro tau mabbully. Lima, laporki lokka ri pihak berwenang na rikumpulu' manengni bukti engka ri katenni. Enneng, ma'guruki ri asenge bela diri. Pitu, sappa'ki silong maega, pa' biasana yaro tau kennae bully yaro tau makurange silongna ri ita. ",fear
260,"Iga baine' de' na mapeddi atinna ri salai ri lakkainna, nappae botting siratu essona. Yanaro na alami Zira, matei lakkainna ri wettu malolo empa umuru' abbotingenna. Yae Zira na lakkainna botting maloloi, lakkainna ri aseng Ameer ustadz. TIba-tibai malasa' ri pattama ri ruma sakit, na de' na maitta de' na manynyawa. Peddi siseng atinna ri salai kasi', jaji lari malai bajunna lakkainna kaddaui, na immau toni bau parfumna lakkainna yaro meddeppe e empa. Elo' i terri tapi natahangi, nasaba' maega tau lokka kero. Jaji na tahangi alena, berusahai tegar na ikhlas. Padahal ri lalengna, kerra loppoi molli asengna lakkainna. Mulaini pasibuki alena purana mate lakkainna supaya de' na mapeddi ko ma'dani.",sad
168,"Ri luar negeri, punna bola ri asengni tau maega doi' na. Beda hal na ri Indonesia, tau monro ri apartemen ri aseng tosi maega doi' na. Ri Korea misalna, makurang tau monro ri bolana, masewa mi apartemen na pake monro. Makurang tana kero mai, ko ri Indonesia maega empa tana ksong untuk ri pake mebbu bola. Tana kavling mancaji paling laku si makkokkoe, anu pura ri petak-petak na balu' taue. Ko melliki tana kavling wedding tomma ri cicili', tapi makessing ladde ko ri paja' manengni kaciceng. Yanaro taue maitta nappa melli tana, nasaba' anu pura narekeng bedana hargana ko ri paja' malewe'-lewe' na ko kaciceng maki. Rennu to ki ku kacicengmi ri waja' ko melliki tana. Runtu'ki sertifikat tana na langsung, na de' to gaga lokka singe' ki matu. ",happy
809,"Tai tau, tai olokolo' pasti mangkalingai bawang ko tau pacciddi-ciddikeng elo'ni tallua. Ciddi mettoi ko mabbicaraki tentang tai. Engka hal bijak mulle rijama untuk hargai yaro taue tega jamanna sebagai petugas sedot wc, payyabo'-yabo', na pajjama lainge makawe' pole ri asenge rota'. Sikap ciddi'ta parellu ri palenynye', nasaba' pekkoga bateta murusu' anakta matu ko biccu empi na haruspi ri bissai. Ri isseng maneng keda tai tau lebbi makebbong daripada tai olokolo'. Tai olokolo' na tai tau mulle mua lenynye baunna ko ri bissai. De'ma na maga ko pakean ato aleta nakenna tai, yang penting tania atingta marota'. Ko atingta na marota', mawatang ri cakkaki, bahkan sabun suli' de'na mulle palenynyei baunna magatti. Maka yaro, aja' ri makkita ja' lokka ri tai olokolo' mancaji saba' atingta marota' to. ",disgusted
