id,text,label
7541,"Isuk iki aku kerinan mergo alarm hpku mati. Pas aku ndelok jam sing nyudokno jam 7, aku langsung kedandapen. Dino iki aku rencanane moleh nang Suroboyo dan tiket pesawatku iku jam 7.45. Saiki aku durung siap-siap blas. Akhire aku cepet-cepet adhus bebek dan aku ngelebokno barangku asal nang koper. Mbari wes mutus aliran listrik nang kamar kos, aku cepet-cepet pesen gocar gawe nang Bandara. Untunge ae gocar e gak suwe tekone. Cuma siale, iki aku kejebak macet, padahal iki wes jam 7.35. Sepuluh menit ngkas sak durunge sepurku berangkat. Siale aku buru tutuk nang Bandara pas jam 7.45, barengan ambek pesawatku sing buru ae take-off. Awakku langsung lemes dan utekku langsung kopong saking shock e ketinggalan pesawat.",surprise
2992,"Aku wingi bengi iku ngipik oleh keduk-keduk lemah terus langsung jumbul soale nempokno kotak kayu sing rodok gede yo koyok koper ngunu, Pas tak buka aku langsung jumbul tibake isene iku macem-macem barang sing regane larange megilan, terus aku kepikiran opo iki sing jenenge harta karun. Terus harta karun sing tak temokno maeng isine iku ora mok siji tok, ono kalung sing teko mas asli, tapi ora ono surate, terus emas batangan sing ono telung iji, ambek ono tulisane ""mok ngipi tok"", terus ono ali-ali barang ambek koyok arloji sing teko emas. Lah pas ate tak jipik kabeh tibake langsung ono banjir guwede, soale aku nemoknoe nang pinggir kali, terus akhire aku tangi. ",surprise
603,"Sak liyane tuyul, suster ngesot uga dadi demit sing paling kerep muncul neng layar kaca lan media-media popular liyane. Demit iki, koyo jeneng, nganggo klambi suster putih lengkap karo topine. Demit iki digambarke ora iso mlaku mergo ora duwe sikil utowo sikile cacat. Dadi demit kui gerake nganggo coro ngesot. Ono sing ngomong yen suster ngesot iki, muncule seko arwah gentayang suster sing dibunuh karo dokter pas tengah wengi. Sak durunge dipateni, suster kui diperkosa lan dipotong sikile. Ono uga versi sing ngomong yen suster ngesot kui biyen dadi suster neng panti jompo. Dheweke dituduh bunuh pasien-pasien neng kono nganggo ilmu hitam. Dheweke diantemi warga tekan sikile kui remuk kabeh.",surprise
4338,"Perkoro amis, iku ancene ora kabeh wong iku seneng ambek ambune iku, nah kanggo wong sing biasane mangan iwak, sing biasane asale ambu amis iku teko, yo kadang isek ono sing jember karo ambu amis maeng. Nah nag wes ancene geting ambek jijik karo sing jenenge ambu amis, iku kudune latihan mareki soale nag ora dipareki biasane bakal kacel ambek dadi contoh sing elek karo anake sing ancene kudu diwanekno ambek perkoro sing jemberi iku maeng ben ora jijikan. Nah latihane ben kendel iku yo gal sak itik ora kok langsung akeh ambek langsung wet ngunu. Soale sing jenenge wong jijik ambek jember iku mestine ora karoan rasane lapooh kok iso jember.",disgusted
7590,"Dino iki aku ngancani dulurku nang Pantai. Berhubung bojone kerjo dan anake njaluk dolen nang Pantai, akhire njaluk tulunge nang aku. Nang kono, aku sing akeh dolen karo ponakanku, dan dulurku malah leyeh-leyeh dan gak melu dolen banyu ambek aku. Aku langsung ngelirik sinis, soale dulurku dadakno sengojo dadekno aku babysitter sementara. Tapi aku langsung ke-distract pas ponakanku nyipratno banyu nang siraku. Akhire aku balik asyik dolen banyu ambek de’e. Pas mlayu-mlayu, moro ponakanku tibo mergo jendulan. Pas didelok, dadakno jendulan iku mau isine bintang laut sing ketumpuk pasir. Aku ambek ponakanku langsung nggali pasir iku dan ndelok bintang laut secara langsung. Awak dewe jelas kuaget lah. Tapi ponakanku langsung ngomong nek bintang laut iku uripe nang njero laut, dadi kudu dibalekno. Aku nurut ae dan aku njarno ponakanku ngeculno bintang laut iku nang banyu Pantai.",surprise
2913,"Koncoku iku tau diwehi hadiah ambek pakne sing lunga nang Arab Saudi. Hadiah iku diwehno soale pakne ora iso mule pas riyoyo. Hadiahe iku rupo montor remotan, sing iso mlayu ambek menggo nag diremot terus iso mundur barang. Montor remotane iku ora cilik koyok nggonane bocah-bocah tapi iku sekitar seket centinan pokoke sak mondo tekel sing gede ukurane. Terus mari ngunu yo ono batune, tapi batune iku ces-cesan dadi ora angger entek buak terus tuku maneh. Nah jarak oleh ngeremot yo adoh sekitar telong meteran. Mangkane masio pakne ora teko koncoku senenge megilan soale ditukokno dolanan sing ancene disenengi kat jaman biyen ambek bocahe yo wes kepengen kat kae.",surprise
2097,"Yen awak dhewe dadi penumpang neng mobil sing blong kui, ngeroso wedi kui wajar. Kahanan kui gawe awak dhewe ora iso ngopo-ngopo. Awak dhewe dudu supir sing nyekel setire. Mung sitik sing iso awak dhewe lakoke, nanging awak dhewe iso ngewangi supoyo kahanane ora dadi parah-parah banget. Sing kesiji, awak dhewe ora entuk panik. Panik kui nular. Yen kabeh wong neng jero kui panik, tekan sopire panik, kemungkinane awak dhewe selamet makin cilik. Sing keloro, awak dhewe mending meneng yen ora ngerti arep ngomong. Sing ketelu, awak dhewe iso usaha kanggo nenangke penumpan sing liyo. Sing kepapat, awak dhewe kudu percoyo koro wong sing nyekel setire.",fear
6041,"Omah sing ana ning pojok dalan kuwi jarena omah angker. Ora ana wong sing wani mlebu amarga akeh banget cerita yen omah kuwi ana penghunine kaya kuntilanak, genderuwo, lan uga mitos wewe gombel. Nanging, Ardi ora percaya amarga saban bengi, Ardi liwat omah kuwi pas bali kerja. Ing sawijining dina, Ardi nelok yen omah kuwi dituku karo Bu Susi, wong sing duwe toko klambi sing ana ning ruko ngarep perumahan. Banjur Bu Susi ngongkon Ardi kanggo ngeresiki omah amarga mung Ardi sing wani. Ardi pancen ora wedi setan, nanging wedine akeh kewan kaya kumbang, coro, lan uga kewan cilik liyane. Ardi panggah grisiken yen mbayangake kewan kuwi mrambat ning sikile.",disgusted
8398,"Awakmu tau gak seh bertanya-tanya, kok kasus pelecehan seksual iku tambah suwe tambah akeh ae. Wes ngono, roto-roto pelakune iku lanang dan gak nduwe kelainan khusus alias isok dikategorikno normal. Nek digatekno maneh, dadakno salah siji penyebab paling gede wong ngelakoni pelecehan iku mau berasal teko ndelok video porno sing suwe-suwe dadi kecanduan. Teko kono, mulai deh de’e mraktekno opo sing onok nang video porno iku. Alesane mereka ngelakoni iku mergo mereka isok ngentokno kepuasan mbarine ngelakoni iku. Iku perilaku sing ngguilani pol seh. Tapi teko kono, awak dewe dadi eroh nek efek ndelok video porno separah iku. Dadi gawe awakmu sing nduwe anak, jogoen anakmu ben de’e gak sampe kecandung ndelok video ngonoan sisan dan gak dadi pelaku pelecehan seksual nang masa depan.",disgusted
5203,"Banaspati yaiku salah sawijine barang gaib sing nandakake ana ilmu santet utawa ilmu sing bisa nyelakai wong. Ning jaman modern, banaspati iki wis jarang ditemokake. Nanging banaspati ya isih ana ning kampung. Bentuke kaya bal geni sing bisa mabur. Banjur bisa ngobong omah senajan bal kuwi mung sewates liwat. Banaspati uga bisa nggawa penyakit kulit lan bisa marai bayi-bayi penyakiten. Banaspati iki uga wujud saka ilmu santet sing dikirim, dadi yen wong ndelok banaspati iki kudu akeh-akeh maca dzikir. Banaspati iki uga bisa ngageti wong sing lagi nyupir lan marai kecelakaan ning wilayah pegunungan. Setan iki medeni lan dianggep sing derajate paling dhuwur.",surprise
