id,text,label
2737,"Hadiah derih kaka’ masok mbuk geh ternyata buku se eketoro intan derih lambek, tape intan tabisa melleh amargha argenah larang dedhi intan tak sanggup gebey meleh bukuna. Intan perak sarah akhira buku se ketero deri lambek kewujud andik. Buku se eketero intan buku novel se argenah parak tello ratus ebuh, intan lambek se tero meliyah tak andik pesse mon la bedeh pessenah eman ango’ ekebelian se lebih penting. Intan maso kaka’nah ejenjieh mon maso kategori lulusan se paling begus neng kampussah intan olle hadiah pole deri kaka’nah ben mbuk geh benii gun buku molloh tape bedeh kejutan pole, intan perak tape intan tak berharap lebih.",surprise
2854,"Ghen la malem, aldi ben sakancaan ghentean ajhegeh tenda. Makle tadek bhereng se elang pas makle tendanah cokop ghebey tedung. Bektoh ghilirann aldi ben kancanah se ajhegeh, aldi e ghenggu moso makhluk se tak e katelah. Aldi dheh adheen bengal ben tak ngocak ka kancanah. Biat abitdhen kancamah apangrasah kiyah, pas ngabele ka aldi mon ding-ngeding. Aldi se la ngampet takok dheri abit pas langsong maiyeh mon e ghenggu kiyah. Polanah padeh takok, Aldi ben kancanah pas masok tenda tros langsong tedung sampe terak. Kalaghuknah aldi ben kancanah caretah ka kancanah se laen mon e ghenggu. Samarenah sapabhen, aldi ben kancanah pas toron ghebey mole ka romanah beng-sebheng. ",fear
345,"Universitas Gadjah Mada (UGM) reya ghun ngeding nyamana la enga' kennengnganna reng-oreng penter. Para' sakabbhinna oreng penter se bada e tv ban se sukses reya mon banne dari Universitas Indonesia (UI) ya biyasana dari UGM ghella'. Patot bannya' se bhu'-tarebbhu' adaftar kadissa tamaso' engko'. Engko' adaftar terro ngala'a jurusan sastra kaangghuy olle gellar Magister of Art otaba oca' laenna S2 sastrawan tape ta' etarema. Tang elmo ghita' bis matembus tembo' tebbella UGM kaangghuy nyareng reng-oreng penter. Tape engko' ngala' jhalan Beasiswa mon ta' ngangghuy beasiswa cora' ta' kowat maso SPP per-semeterra se kodhu ebajar, apa pole setiya la andi' ana' ban bini.",sad
2621,"Benyak oreng satiyah mele nompak kereta polanah la nyaman. Bektoh KAI e pimpin moso Pak Jonan. KAI e rombak benyak moso pak jonan. Satiyah nompak kereta la nyaman. Tak parloh arebbhuen korseh engak lambek. Tak bisah kiyah melleh tiket manjheng engak lambhek. Satiyah kiyah ghempang mon terro melle tiket. Mon bhutoh melle tiket kereta jarak jaoh bisah melle ning tiket.com otabeh ning traveloka. Mon terro melleh tiket kereta jarak semmak bisah melleh ning aplikasi e kaandhin KAI. Dhedih tak parloh ka stasiun pole melleh tiket. Tapeh bisah langsung lebet aplikasi. Ben pole mon anghuy aplikasi dhedih nyaman, polanah la taoh bileh tiket kereta tadek ben bekto bileh bhein se tiketdeh ghik bedeh. ",happy
385,Nanges bakto tang kanca mate polana ngenom Baygon sabhutol polana burung maso bhekalla. Bhakalla ngoca' la ta' enda' pole. Sabellunna toman alonca' ka songay ban toman ngenom eppel blBodrex ecampor sepret. Setiya colo'en kalowar kapo' polana ngenom Baygon esabepaghi bhakalla amantan maso reng lake' laen. Sabellunna ngerem WA ka engko' jha' aba'en la sengka odi' e dhunnya polana kaelangan reng bini' seekaneserre. Aherra engko' ngeding kabhar jha' tang kanca reya maso' Roma Sake'. Bakto ngeding kabhar jiya engko' dhuli mangkat asapedaan. Keng bakto dapa' ka Roma Sake' Sampang tang kanca la epamaso' ka motor ambulans. Engko' nangis polana ta' melo tang kanca.,sad
2043,Carah napah pole se bisa maghabay elang rassah trauma se la ampon daddhi katako'an se paleng rajeh ?. Saongghuna kita bisa ngalakone hal jareya sareng pan saponapan carah sopajha kita bisa nengale apah se maghabay kita jareya takok ban tak bisa ngoladhi kabadha'an se la ampon neng adha'eng matah. Kalakoan neka saongghuna bisa e lakoneh manabi adhajana lakaran toreh e padaddhi rassah se paleng sae ban kabadha'an jareya kodhuna bisa narema settong sareng salaennah. Hal se paro kita lakoneh manabi badha se lok nyaman ka ateh engghi paneka maberes pekkeran kita ghellun ban nga distraksi sopajha jareya lok bisa maghabay rassah takok se tengghi.,fear
4408,"Teppak menang undian sepeda jiah engkok rassanah kadik e ontalaghi dek langngek. Tang bhedhen ngerennyeng kabbhi bik kenyataan jhek engkok le andik bhereng se engkok katerroen kabit lambek. Engkok selama riah keng ngangghuy sepedanah tang mba, ajiah kiah le tuah sarah, engkok ngangghuy sabbhen entar dek pasar mon e ro - soro ebok. tebhenah teppak taoh engkok olle sepeda, engkok terro nangesseh. Lakar menang undian jiah tung - untungan ben engkok lok ngarep untung sarah. Tang harabhen make le olle kotak ngakan le bhunga. Sang maju neremah sepeda deri pak bupati engkok nger - sengngeren kadik oreng ghileh sakeng bhunganah.",happy
3178,"Tekos riyah keben se bennyak ebejik'ih bik oreng. Apapole setiyah, ngara sajjhen bennyak kennengan kotor tekos riyah sajjhen bennyak kiyah. Selain jiyah tekos setiyah riyah sajjhen bengal dek oreng, mon lambek tekos ajhelling oreng bein le takok mon setiyah enjek. Tekos setiyah apapole se nyamanah tekos got riyah cek rajenah, bhedhennah bisa parak padeh bik anak'en koceng. Se paleng bejik riyah kiyah buduk'en tekos, tekos riyah mon sekalenah abuduk bisa bennyak sampek lemmak ben pettok, anak'en riyah kiyah cepet rajenah. Bennyak oreng lok sennneg dek tekos polanah taenah den-beden, kotor, mon mateh deddhi betang se beceng ben pole tekos riyah bennyak ngebeh penyakek gebey manossah.",fear
588,"Kake mon toman ngatela' setan pas pekkeranna posang bhakal ta' rokarowan kabbhi apa se ekalako. Lamon ta' parcaja mara oddhiyaghi congngo' mon bada oreng ekenneng prank epatakerjhat maso tan-setanan paste bhakal ru-taiabhuru, contona mon mokka' labang kadhang ta' bisa sanajjan labanga ta' ekanceng ban se mokka' akarep keng ta' ghellem bisa ebukka' mon la posang. Arapa bakto la mare takerjhatdha labang jiya pas ghun nyaman mokka' enja' ta' cekka' sakale. Daddhi mon kake katemmon maso setan pas takerjhat usahaaghi patennang pekkeranna, ma'le ta' sajan masossa ka aba'en dhibi'. Bhuktena engko' toman taantem ka gheddhung lantaran ngatela' setan e bhuju' budina roma pas posang, ya aherra  pas sossa dhibi'.",surprise
637,"Mon sengkok engak e sittong areh e wektoh molean ponduk se abitdeh du bulen sengkok ka temmon  ben tang kancah se sanget engkok kerrongih polana cek semmak en engak taretan dibik, keng tang kancah pas tak engak ka sengkok. Bedeh peggeleh keng gik andik rassa niser se nyapaah kaadek todus, se tak nyapaah tak empan kerrong, pas sengkah mon deiyeh sengkok se abentaah ka nak-kanak jeriah. Molae derih jeriah engko' mon katemmon tak toman patang sapah polanah engko' tak mareh takerjet bakto katemmon pas tak nyapaah. Sapah marah se tak peggel mon kanca semmak se abit tak ketemmun pas ketemmun tak nyapah ka engkok.",surprise
3678,"Careta pole soal adek lessa engko` se laen, se ternyata pernah asakolah e Jepang. Jeriya sakaluarga teppa` ka sakola`an se ta` nyaman bakto ruwa. Sataretan katello odi` e Kotta Hiroshima, Jepang. Jeriya asakolah abharang kakakna lalake`, jeriya pas bakto ruwa la kelas empa` caretana. Kanak jeriya ta` esennengngi bi` kaduwe` kancana, panengnga ca`na dari Indonesia. Oreng Indonesia bau ca`na. Pas ta` pera` jeriya, bekal nginumma ebuang ben kancana se ta` senneng, tape jeriya nengenneng ben kakakna, maseh la abele ka kakakna. Marena ma` rosterrosan, jeriya ye ta` betah kiya. Pernah pole pas mole sakolah jeriya e ambe` bi` kancana ye ruwa adek kelassa kelas duwe` SD, ma` ye e pengkal bato, sampe` kaluwar darh e dahina. Pa alapor ka ebokna ben lempo maso`a sakolah sampe` saminggu panengnga e cokoco ""bau"" ca`na. ",fear
882,"Sampe' setiya engko' tako' pagghun ce' sarana ka se nyamana setrom polana sabbhan engko' li-bali kenning setrom ban rassana ka lang-tolang se agledder. Toman ngecas hp Mito netnonet pas adaptorra leddhu'jhendhuran ya engko' ngejjhit. Toman ngecas hp Cena pada kiya. Keng se paleng berra bakto negghu' magnet pas ekenneng anu ka kabel bangkang dhala soko enga' ekenning penthong oreng. Dari jiya engko' tako' mon nyambhung kabel otaba mon soro mateppa' dhamar e roma. Sanajja e sapeda motor se setromma dari aki engko' pagghun tako', poko' mon la aroba kabel ta' bangal alako polana trauma dari kadhaddhiyan-kadhaddhiyan se ghi' bhuru kasebbhut.",fear
2169,"Manabi dhabunnah ramah teppak ghi' odhi' akadhi ka' dhinto ""oreng mon la biasa a sedekah jareya bhakal moljha'a orenga ban Allah bhakal meles bhalesan se lebbhi rajeh"". Lakar le bendher ongghu dhabunnah ramah jareya, manabi kita neka dhujen a sedekah ban ok cerrek oreng neka paste ngandhap jughan ka kita sebab kita jareya bhakal e angghep oreng sae sareng mereka. Ghi melanah kita lok parlo ban lok andhi' niaden pamer ban marajeh cetak, oreng bhakal onenge manabi kita neka oreng se sae tor ngandhap ka oreng laen. Melanah dhari jareya, pesen tor ajharan se e ajharaghi sareng ramah k'dhinto bhakal e lakone sebab neka sala settong elmo se bermanfaat manabi e lakoneh ban ngalakone na jareya ekhlas lahir bathin ka manossah ban ngareb ah jyah coma ka guste Allah ta'ala se ghaduwan alam semesta neka.",fear
4562,"Sedih ben ngamok jiah dheddhih reaksi kebennyak'an anak korban perceraian. Badan Pengadilan Agama Mahkamah Agung ngelaporaghi, jhek sampek bulen agustus berik le bedeh 306.988 kasus perceraian oreng tuah neng Indonesia. Deri bennyak eng kasus jiah, anak se e angghep dheddhih pihak se e rogiaghi. Sajen tegghi angkanah, sajen bennyak kiah nak kanak se kodhu sedih bik perpisahan ebok bapak eng. Mon proses pesanah lancar, pola dampak perceraian dek nak kanak lok pateh ngeberrekaghi. Mon sampek bennyak drama, tentoh ngebey mereka kepelengan. Deemmah mon respons otabeh reaksinah anak korban perceraian justru lok sedih alias biasa biasa bhein? Mereka nyeraaghi kabbhi keputusen dek oreng tuanah ben cenderung lok terro taoh bik proses otabeh kelanjutennah.",sad
