id,text,label
122,"Pengumumang paling sannaka ku ukrangi iami antu ri lulusuku ni tarima akkuliah battu ri status anak sikola SMA anjari Mahasiswa, siagang maka rua iamiantu pengumumang kalulusan penerimaang Pegewai Negri Sipil. Ri wattunna anjo ri nampangku lammili jurusang, appalaka rolok pandapatna tau toaku siagang purina baine na burakne, lalang pikkirangku jurusang teknik mingka tenapa ku isseng kana kampus tamae. 
Ri lekbakku accarita mae tau toaku siagang purinangku na sarema sarang untuk andattarak ri kampus universitas islam negeri alauddin jurusang teknik perencanaan wilayah kota. Anne kampus UIN negeri berbasis islam siagang riwattu a tenapa na loe angngisseng jurusang ku allea. Riolonganna ku asseng memang kana apa anjo teknik pwk karna kabatulang purinna baine ku sala sekre dosen Pwk ri kampus.",happy
1861,"Ki issengi anjo ka toloan na baine yaa salah sekre na antu na ngai burakne burakne antu tena ya akhlak na. Tau antu kulle ki na panrak ki, na kerok ki apa apa tena na bermoral antu mi burakne tena kulle ni sare cinta. Punna katte ni anggap ki kaleng ta tau bajik yaa salai mi anjo burakne burakne kammaya anjo sipak na. Kah ano baine bajika ji kulle cocokna ri burakne bajik tonga ji. Cinta tolo tolo antu mi cinta na tau tau fatalis ka antu mengaku erok na parek manna apa demi cinta na, nakke tena kulle tuo punna tena ii. Padahal cinta anjo ni ciptakangi Than barak kulle na pelihara manusia sesuai fitrah na antu ujung na na harap ki cinta nya. ",fear
4211,"Nia' tallu cara punna ero riasseng siagang ripahami kalea. Makase're appilajara' siamak kalenga tungaleng, anne kullei rilakukan assikap jujjuru' ri kalenga bahwa riasseng kalenga berarti annarima pirangna aspek appare' identitas, kepribadian, siagang kania'kang  rinjo. Anne kullei ambantu taua angissengi iangasenga aspek kepribadian kullei ripatangi. Nampa riajukangi pakkuta'nang bijak ri kalea. Makarua apparakai kepribadian anjo singkammai masina ri lalangna kappala'ka anjo ri nangukrangi peran ri lalang katallasang taua ri pirangna peran ri wattuna anjalani  kaalloang ri jappa assulu ri pammantangang anjama ri tanggana taua. Makatallu annyalakang kaparalluang, anjagai kagassingang, punna tena na sawe appare' refleksi punna angalami stress ri wattuna garumesa anjama.",sad
4167,"Nakke riolo tau pasannangang dudu siagang pamalla'. Ri wattuna test antama ri kampus nakke tena nalulusu'. Tau ttoaku nakana tena naero' ammayara' punna akkuliah ri swasta. Nakke anjari tappuruk nasaba' agangku tena anjari juara ri  kelas kullei lulusu' ri kampus negeria. Nakke anjari akkuata'nang ri kalengku aga harusu' nipare, nakke tena ampantangi skill, sibuntulu' siagang taua saja malla'ka, nakke tong tena kulle basa-basi ri taua beru riasseng. cara fisik nakke lamma kacinikang. Ri taung makase're nakke appala' ri tau toaku abmalinnangangi bimbingang appilajara'ku, tenaja naka'jala mingka nakke a'janji lulusu' ri sikolah kedinasan iakanne tau toayya tenamo amk=mikkri' balinna kuliahyya ri muko.",sad
1950,"Semoga tena ni bagekangi anne tulisan ku mae ri luarak na Quora, tarima kasih. Nakke lekba ka ni minawangi ri tau tena ku isseng nai iyaa wattu ku SMP riolo. Anjo wattu aa nakke beru beru ka lette battu ri luarak kota. Sikolah ku nakke jarak na lumayan bella battu ri ballak ku, mingka punna pake motorok kulle 5 ji mannek. Jari nakke berangkat ma nampa moterek ma sikola ak jappa bangkeng. Anjo wattua nakke siagang keluarga ku nakke pas pasan inji ka, bapak ku anjama nampa ammak ku anjo wattua tena pa na isseng ngi ammake motorok. Erok ki pake pete pete mingka nanggung tongi ni sakring. Jari mi nakke lampa sikola jappa bangkeng. ",fear
4131,"Bosi lompo siagang banjir terjadi ri Flores anne natelangi korban jiwa. Markus siagang Olo, rua daeng andik anne ammatungi ri Kali Naupun Praban siagang tasseret ki banjir nampa rigappai ri kondisi ammate. Iakanneng anakna Olo, Novi usiana anne nampai rua taung ammatungi saiagang olo siagang Markus tenapa rigappa. Lambertus, guru SD nakana ri kamisi' alloa anjo anak anaka ammotere' ngasengmi mae ri balla'ka nasaba' bosiki siagang banjiri'ki. Anne Markus siagang Olo rijera'ki ri halaman balla'na. Anne rua jenazahyya rijera'ki ri se're liang lahat nirurungang karru' histeris pammantangang siagang taua rinjo. Le'bana rijera', polisi siagang wargayya naboyai poe' anakna Olo tenayapa rigappa ri lokasi kejadianga.",sad
3770,"Taung lalu mange ka ri kampongku naik ri kapala' ri'ba. Antama ku ri kapala' ri'ba ka, mempo ka ri kadera nomoro' 8A. Ri rampi ku anjo niak ana'-ana' ca'di umuru 10 taung kapang.  Siagangi ammak na mempo, nampa nganre sipa' rua. Ri'ba mi kapala ku kurang la'bi rua jam, anjo ana'-ana' ka tassak ko ki kanre-kanreang na. Angngarru lompo mi ka tena na baji' na kasia' kapang kaleng na. Tena sallo muntai nampa na tabai baju ku anjo muntah na ana'-ana' ka. Lalang nyawa ku ku kana astaga erok ma pingsang ku kasia' ka tena kulle nakke accini muntah, erok ka ku kasia' muntah anjo ri kaderaku.",disgusted
197,"Nakke lekbak assigappa siagang pamainna PSM ri sala sekre pusat pakbalanjaan niaka ri kota Mangkasarak. ri wattu nakke sementara akbalanja siagang bainengku, ri wattunna ku cinik allalo idolaku langsunga dumbak-dumbak. Untuk ku hindari rasa dumbak-dumbak ku, niak sekre pappasang punna assiciniki siagang idola ri akrungang iareka tamae ni sigappa.
Pakaramula katte haruski rilesks teaki tegang, ka sabak kamma anjo justru akkulle sikdik sala tena ni akulle ngapa-ngapa ri dallekangna idolata. Loe passabakkeng katte anjari dumbak-dumbak, seharusna akkulle ni manfaatkan untuk angngurang appau justru ammannangki, padahal ri wattua jantung ta sannak dumba-dumba na. Makarua, parallu ki kacinikang ammakkalak, untuk antongko ki dumbak-dumpak ta.
",happy
4214,"Anrupa kalegna kale-kale anjo harusu'ki ripatangi ia ngasengna taua. Nia pirangna cara kulle anrupai kalengku. Makase're anjo rassi kupake berefleksi siagang identitas dan relasi nisareanga. Nai tau toaku? nai nakke sebagai anak? naik nakke sebagai saribattang siagang agang? tena nia' sitau kullei dipalappasa' siagang passimbungang ri tau maraenga anjari kanaang sukkuru' anrupai jiwa-jiwa nisareangi ri katte. Allaloi anjo, katte kullei anrupai signifikansi ri kania'kangta alleang kulleki akkana ri kalengta nakke amptangi taua. Makarua nakke accini situasi ri kalengku nai nakke ri wattuna ri titik pakatuna, ri titik sassang, siagang ri pammantangang sawala'ki ripahami tau maraenga. rinni nakke accoba palappasangi atribut iangasengna ri kalengku. ",sad
2286,"Tantu mi , bapak guru muda anjo tena pa na issengi tentang nakke antu tena yaa na isseng ammaca siagang annulisik. Sanggeng na ri allo kamae anjo Bapak Guru Muda yaa antama ni adakan mi tes ammaca siagang annulisik. Anjo mi sedeng ku sakring sedeng erok mi runtuh dunia ku, jantung ku ak dumba dumba mi, pori pori ku todong na pasuluuk mi jai antu jeknek karingat ka nampa dinging nga. Tojeng na anu kamma annae sanging na hantui ka, nampa anne mi masa tolo tolo ku, masa paling sessa ku hadapi perasaan antu tena nabiasani bandingkan agang agang ku. ",shame
