id,text,label
1168,"Hari ko adolah hari pertamo ambo masuak kampus untuak melakukan daftar ulang sakaliguih manjadi hari pertamo ambo sabagai mahasiswa di tanah rantau. Pas baru sampai kampus ternyato ndak tangguang rami nyo urang di lapangan tu do. Sedangkan waktu itu ambo surang se ndak bakawan. Sabana-bana ndak ado kawan samo sakali. Takuik bana rasonyo ambo surang di tangah urang nan rami tu. Raso mode anak hilang. Tapi dek berawal dari raso takuik surang tu lah akhirnyo ambo SKSD an se urang-urang nan ado disekitar ambo sahinggo ambo dapek kawan baru. Ko pelajaran bagi awak sadonyo kalau takuik pas saat sadang surang tu cari kawan, jan pasrah se manunggu urang nan datang untuak bakenalan jo awak. Ndak rusah malu. Kan awak ndak mancilok do.",fear
3312,"Di pangajian wakatu zaman ambo masiah SD, ambo malu kareno ngaji masiah tabata bata. Sedangkan kawan-kawan nan lain alah lancar, cuman ambo nan agak lambek mampalajari nyo. Kalau alah disuruah mangaji dek ustazah, ambo malu bana. Hal itu indak mambuek ambo patah samangaik tapi nyo. Kareno hal itu ambo manjadi urang yang biso kini, malah banyak juo kini ambo caliak urang gadang nan masiah tabata bata mangaji. Padohal sebagai urang muslim awak harus lah pandai mambaco ayaik Allah dan tamasuak wajib untuak tau caro mambaconyo. Untuak itu kalian nan alun bisa mambaco al quran kini, indak ado kato talambaik barajalah.",shame
7069,"Carito-carito tantang pambulian rasonyo indak ado abihnyo. Paliang mangarikan kalau pambulian alah malewati bateh kamanusiaan. Korban yang dibulli dalam waktu nan lamo mambuek parasaan takuik yang manghantuinyo bisa dirasoi salamo nyo hiduik. Mental, raso indak pacayo diri dan capek takuik di masyarakat mambuek payah basosialisai dan payah untuak manju ka muko karona bayang-bayang panakanan dek bully taraso taruih manaruih. Yang nan mambulli kadang indak manyadari parilakunyo dihantui dek raso berang, sakik hati atau adonyo sifek nan buruak dalam dirinyo. Yang lamah manjadi lamah dan nan bakuaso manjadi indak tau diri. Pambullian rasonyo harus di usut tuntas dari sagalo pihak nan tarlibat.",fear
4667,"Lisa nan saat itu sadang di perjalayang untuak baliak ka rumahnyo tibo-tibo dihambek perjalananyo oleh 3 urang lelaki nan sadang parkir di tapi jalan. Awalnyo Lisa indak mangiro kalau urang tasabuik adolah panjahek karano mereka indak di tempat nan kalam. Namun sialnyo Lisa basuo jo urang tu dan tibo-tibo disuruh baranti. Lisa awalnyo indak nio baranti karano alah curiga mereka adolah urang jahek. Namun mereka menodongkan sanjato tajam takah senapon, golok, dan pisau. Mancaliak mereka menodongkan sanjato tajam ka arah Lisa, tubuh Lisa langsuang bagetar serta keringat dingin. Reaksi Lisa nan sadang ketakuikan mereka langsuang sajo mengambik motor bisa serta bawaan nan sadang Lisa sandang. Karano Lisa sadang diarahkan sanjato tajam ka lihianyo Lisa hanyo bisa diam mancaliak bawaannyo di perampok dek mereka.",fear
7127,"Sarangan panik atau panick attack adolah muncua nyo raso takuik nan balabihan nan tajadi sacaro tibo-tibo dan bisa batahan salamo babarapo minik. Yang bisa awak waspadai adolah palpitasi atau jantuang badaguak kancang dan indak baraturan. Salanjuiknyo bakaringek, badan manggaretek, angok manjadi ciek-ciek, rasonyo sadang tacakiak, sakik dado atau dado taraso indak nyaman, mabuak dan paruik taraso indak nyaman, kapalo taraso pusiang dan nak pingsan, sansasi mati raso, takuik indak bisa mangontrol diri atau manjadi indak takandali, maraso takuik ka mati detik itu juo. Mako dari itu, jikok maraso satu atau labiah dari gajalo di ateh, labiah rancak langsuang parikso kondisi kasehatan ka dokter nan tapacayo. Salalu waspado kapado babarpo panyabab sarangan panik.",fear
4484,"Pelanggan VIP dalam sabuah pelayanan biasonyo akan diperlakukan labiah khusus dibandingkan dengan pelanggan biaso lain. Hal iko pun dapek dikatokan adil karano walaupun pelanggan VIP iko mandapekan perlakuan nan bebeda sahinggo sagalo urusannyo taraso labiah gampang dari pelanggan biaso namun usaho nan didapekan oleh pelanggan VIP iko babeda. Satiok pelanggan nan alah dikelompokan badasarkan gadang kontribusinyo tahadok perusahaan iko mampunyoi keistimewaannyo masiang-masiang. Babaliak kapado makna dari adil manyasuaikan tahadok kebutuhan dan tampeknyo. Mako dari itu, jiko awak sabagai pelanggan biaso indak paralu maraso berang karano perlakuan khusus nan diagiahkan oleh perusahan karano dinilai dari kontribusi sajo alah jaleh babeda. Sahinggo hak istimewa pun layak didapek untuak urang nan dipentingkan oleh perusahaan. ",angry
7385,"Sabagai urang nan pernah digalak an kawan sakelas, ambo pernah maraso malu sampai indak nio mangecek samo kawan. Bukannyo indak nio bagaul atau lainnyo, karano biasonyo kawan-kawan akan mangungkik carito manyanangkan dek inyo katiko bakumpua. Maulang carito nan mambuek awak malu jo sadiah rasonyo kalau diungkik baliak mambuek berang tapi apolah dayo awak bakawan. Kasalahan-kasalahan ketek nan awak adolah salah satu hal nan mambuek carito manambah labiah lawak dan takadang jatuahnyo mancameeh.Nio rasonyo manghilang dan indak basobok kawan-kawan katiko itu. Katiko mandangaan inyo mangecek iraso malu batambah manjadi-jadi dan taingek salalu nan mano saharunyo alah payah nio dilupokan. Tapi ambo maklum pulo mungkin dulu masih ketek.",shame
5555,"Karajian di kaja dek hewan adolah hal nan manakuikan nan indak nio awak alami. Hal iko bisa manimbuaan raso takuik nan balabiah dan bisa pulo manimbuakan trauma. Salain sacaro langsuang kajadian di kaja hewan jugo acok awak alami di mimpi. Di dalam mimpi kadang awak alah di kaja dek hewan dan awak indak bisa lari. Konon katonyo kalau di kaja dek ula di dalam mimpi itu patando ado urang nan suko ka awak tapi indak nio mangecekan nyo. Jadi kalau banyak ulanyo bararti banyak pulo nan suko ka awak. Mako darii itu indak paralu takuk lai, karano itu bukanlah patando buruak",fear
1504,"Kok dipikia-pikia mangga lah ambo dulu sempat malu karano di galak an anak tukang becak dek kawan sakelas ambo. Padohal apo se nan nyo lakukan dek urang tuo awak tu salagi karajo nan halal dan ndak marugian urang banyak adolah hal nan mulia karano nyo rela bakorban dan bantiang tulang untuak maiduik an awak. Tapi manuruik ambo mungkin karano waktu itu ambo masik sangaik ketek. Apo bana lah pemikiran saurang anak TK katiko itu. Nyo alun bisa mancaliak sesuatu tu dengan suduik pandang nan labiah elok. Nyo hanyo bisa bamain, bagalak-galak, dan basang-sanang. Jadi ndak lo ambo bisa manyalahan pemikiran ambo nan dulu tu do.",shame
4202,"Pacaraian nan kini sadang marak tajadi di Indonesia badampak ka generasi salanjuiknyo nan takuik untuak manikah. Angko pacaraian taruih naik di tahun 2013-2015 sakitar 15 persen. Banyak penyebab nan mambuek pacaraian iko tajadi contohnyo hubungan nan indak harmonis, pasangan nan indak batanggung jawab, ado pihak katiko nan masuak kadalam hubungan rumah tangga, atau faktor ekonomi. Dalam pernikahan nan barusia mudo yaitu kurang dari satahun alah rentan jo permasalahan nan diakibekan ekspetasi jo realitanyo. Katiko alah malewati tahun ka limo biasonyo permasalahan nan tajadi yaitu bosan. Untuak pernikahan nan usia labiah lanjuik biasonyo mamiliki permasalahan yaitu kurangnyo interaksi sahinggo permasalahan nan indak kunjung tasalasaian. Tapi baliak ka realita disisi lain yaitu pernikahan pun dapek balasuang saumua hiduik dengan kebahagian dan menyertainyo. ",sad
7361,"Inyo baharap ritual iko akan mambantunyo mampunyoi saurang putra. Salain indak mandi, Kailash indak pulo mancuci atau bahkan mamotong rambuiknyo. Sayangnyo, apo nan alah dilakukannyo ndak babuah nyato. Satalah 38 tahun manjalani ritual indak mandi, Kailash justru mamilik tujuah padusi bukan laki-laki. Namun mungkinkah tajadi? Faktanyo, usia Kalvati Devi, Istri Kailash, nan alah manginjak 60 tahun mampaketek kamungkinan untuak hamil. Kalavati alah mancubo sagalo caro untuak manyakinkan lakinyo untuak manyarah pado sumpah (indak mandi sabalum punyo anak laki-laki), tamasuak mangancam untuak indak lalok saranjang jo inyo lai. Namun, pado akhirnyo inyo adalah urang partamo nan manyarah untuak mamakso lakinyo mandi.",disgusted
