id,text,label
799,"Api dê coa sabên amên itê ade dê têmotoa kêkênoi tun dê têmotoa itê o itê coa kênal, itê coa namên amên têpuak têjijai ngên itê mungkin waktau itê panêu jano min kendaraan. Amên têmau barêak yo itê mêak gacang bêpeker amên tun o ade niat kidek ngen itê, itê usaho tênang ngen peker niên coa tun o têmotoa itê amên niên jano maksudnê têmotoa itê, do igai amên si têpuak ade niat kidek ngen itê jano lakêak dê harus itê manêu. Amên gidong panêu  su ang amên asai ade tun dê têmotoa itê usahoba utuk nam bêdan kilêak nak pnan aman misalnê nak pulu rami jano nak ade tun glung o, amên min kendaraan itê usaho bêdan kilêak awêi nak umêak makan jano pnan misai minyok. Kuni di itê bakêa namên si o têmotoa itê niên jano coa. ",fear
219,"Ujian skripsi dê uku manêu adeba kegiatan dê harus nanêu mahasiswa utuk nam lulus ngen dapêt gelar sarjana. Proses skripsi dê uku kêmrêjo pas bi sudo mlajêa kêkêdau matai kuliah ngen jumlah dê bi têntau sesuai ngen bidang studi dê uku mok. Pas sidang skripsi dê uku mêding uku agok coa tnang sabên mêak coa lulus sidang, amên nadêak kêkuwaat dê bi sudo dutê nadêaknê agok payêak. Tapi uku têmotoa tahapan sidang skripsi ngen baik, trus uku nam lulus ngen revisi. Asa coa tnang nano nyêp trus gitêa asai snang kêrno dêlakêak igai uku nam milêm ujian pendadaran ngen nam wisuda trus jijai sarjana.",happy
315,"Kêlnyêp tun dê itê cêmito pasêt ba têmingêa duko nyên. Asai kêlnyêp o nam pengaruh ngen kesehatan psikis ngen fisik tun dê têningêa. Amên asai sedih yo nunyau, kondisi yo bakêa jijai masalah lêm idup. Mêmasing tun ade ca onê sêsu ang amên madêp krenyeng. Bukti penelitian pa o tun nam gacang mêlnyêp krenyeng cuma kêkêdau bilai ngen amên dapêt dukungan kuni tun paok di, nam kulo manêu dê biaso bêbilai si manêu utuk supayo coa brapo mingêt igai. Waktau krenyeng tip tun o coa si srai ade dê cuma kêkêdau bilai ade kulo sapêi bêbulên-bulên ngen ade kulo sapêi têtaun.  ",sad
921,"Amên itê galok lêlalau biasonê itê amên lok mênyêak jano mising do pasêt mêsoa toilet umum, lok si nak umêak makan jano nak pnan itê bêdan misalnê nak pnan itê misai minyok jano luyênnê. Uku pêrnêak waktau o pas belek kuni sadêi, jijai uku mêding tênêiku agok gis lok mising padahal utuk nam bêdan do o gi uak kêrno keme gi masiak nak têngêak imo jijai coa ade pnan bêdan. Asai cigai taên o smudonê uku masuk nak pnan wisata biding laut uku meker nak yo bi pasêt ade toiletnê. Pas bi masuk uku mêsoa toilet trus uku masuk moi toilet o tapi uku akhirnê coa jijai mising kêmliak toilet di kêmbiak kotornê, smudonê coa jijai mising nak di kêmliak lêm toilet o uku asai lok mutêaknê, gês mising coa nyiram, mon kêmbiak usuknê do o dê mênêa uku jijik nyên smudonê uku moi biding laut mêsoa pnan dê coa kten ngen tun trus uku mising di ngen têmaên asai lok mutêak kêrno tingêt nak toilet yo nano.",disgusted
930,"Bi dau bukti itê idup ngen têtanggo o amên coa sêsamo ngêrtai jano sêsamo meker bakêa têjijai bribut gêgara bnatang. Awêi ipê coa, itê coa têmuan bnatang dê itê piaro tapi itê tip bilai mêrsih têi bnatang têtanggo tê dê gabok pnan tê. Têtiko itê sêrbo salêak lok madêak sabên mêak bribut coa madêak lok sapêi têngen itê bogoa mêrsih têinê. Dio jijai peljaran utk tê kutê mêak sapêi itê têmuan bnatang dê itê piaro tapi itê coa nam jano ku ang mrawatnê. Dê kideknê utuk têi bnatang o, si têtiko mising nak ipê bae ngen itê kulo coa namên jano coa lok namên masalah o, makonê amên sapêi si mising nak umêk têtanggo do o dê bakêa jijai masalah lai utuk tê. Jijai intinê utuk itê dê lok sêmido bnatang baiknê itê kêkiro siap coa utuk nam mrawatnê.",disgusted
956,"Utuk kêkêmuk do o itê mêstai jêmago nyên kebersihannê mêak sapêi awêi dê uku pêrnêak mêding. Jijai waktau uku mêsên lotong sayur pueng nak pnan tun jagêanê waktau muk uku coa kêmliak amên nak pinganku o ade kaitnê, bi têngêak uku muk uku kêmliak ade kait nak pinganku, uku trus madêak ngen dê jêmuwoa lotong o amên nam mên amên uku mêsên igai mêak pakêi kait nadêakku, sinê langsung minoi maaf ngen kten selek nak papêanê, kêrno têmau kait o uku coa têmrus muk igai samo masên uku pêsên bae ngen dê jagêa o utuk sudo yo agok têliti didik mêak sapêi têjijai igai nadêakku, tapi ayok uku madêak uku minoi maaf kilêak ngen si, waktau uku masên kulo si coa lok caciku nadêaknê tak usah ngen si minoi maaf coa tê namên kêdau kilai, uku madêak coa jênano ngen mêsên mêak sapêi têjijai igai.",disgusted
947,"Ade do pnan dê uku kêmliak waktau lalau moi umêak kuwatku do o gennê pêgas nupuk kêmbiak daunê, kuni uak bi kêmon usuk lok masuk paok di tamêk usuk sêmnoknê asai lok mutêak. Sapêi pnan kuwatku uku têmnai gêntai pêgas o sapêi dau barêak o, si madêak do o bi paok dêbulên pêgas o coa si nakut kêrno stom dê biaso mok pêgas o kabarnê usak nadêaknê. Tapi maso nyên coa ade tindakan kuni aparat di utuk sementaro nam mua ang pêgas o nadêakku, kuwatku madêak bi sudo koordinasi ngen kelurahan simêtnê cuma sabar kilêak, jijai ngut uyo do o ati si nu ang pêgasnê.",disgusted
544,"Asai snang ngen têkanjêt adeba wajar utuk tun dê dapêt kêjutan ipê igai bêrupo hadiah dê itê bi an lok. Kêkêdau penelitian pêcayo amên adedau dê bakêa têjijai nak awok pas dapêt hadiah ngen si. Tun dê têmimo hadiah bakêa mêding snang cao emosional, kten papêanê kulo snang kêrno coa sêsako bakêa têmimo jêrkai bêrupo hadiah dê si lok sêlamo yo ade kulo dê sapêi nginoi kêrno têkanjên ngen snang. Biyoa matai snang o adeba bêtuk emosional kêrno têkêmin nak lêm asai snang. Makonê nak lêm kondisi jano bae itê nam mpas asai emosi tê coa kutê asai emosi o cao baik.",surprise
317,"Ade igai gi sêpasuakku si o inoknê dê mêningêa, si kutênê pat basuak duai sêlawêi duai sêmanêi. Sepasuakku o inoknê bi an sakit ade kêkiro lêmo taun, si sakit struk dê nidêpnê, waktau si opname nak Bogor uku spêt têmungau nak umêak sakit kêkiro tujuak bilai. Kuni o abiak duai taun si mêningêa, waktau ningêa o kutê anok-anoknê kopoa, utuk dê sêmanêi uku kêmliak coa si an sêdingênnê. Amên sedih bi pasêtba kutê itê sedih, tapi anok dê pisêt sêlawêi dê dio ba dê agok an sêmdingên inoknê, uku madêak ngen si amên ko sayang ngen inoknu wêawit mbo duo utuknê, amên ko bogoa sêmdingên ngut têngen do igai slen kulo ngen dê bi mêningêa pasêtba si coa tênang nak di nadêakku.",sad
620,"Utuk sêgai agamo kulo itê mêak sapêi mênêa tun singung ngen kecek tê, kêrno masalah agamo yo agok sensitif, jijai amên gidong kopoa ngen luyên agamo itê amên nam milok nguta masalah agamo. Têtiko itê ngen coa sadar kêmidek agamo luyên, amên sapêi barêak yo itê coa gi bakêa an nguta nam bae itê baka bribut ngen kuwat tê dê luyên agamo. Utuk itê dê dau kêkuwat kuni agamo luyên jibêak pêrnêak itê madêak ipê igai itê sêmingung masalah agamo, jijai amên si cêmrito agamonê itê têmi uk bae, walau itê coa têmimo kêbênêa dê mnurutnê cukup nak lêm atêi tê bae. Uku mungkin kêkuwatku ade gnêp mêcêm agamonênê tapi keme cet kopoa ngen keme kulo walau luyên agamo keme bi awêi sêpasuak.",angry
