id,text,label
4710,"Aya gerbang warna na koneng polos mani alus jaba bersih resik katempona teh, di gigirna teh aya tatangkalan hias. Mun di tingali ti harep mah badena teh pabrik, tapi sepi jeung tukang na teh aya leweung awi. Urang jeung babaturan keur neangan pabrik manufaktur sakeur tugas di kampus, tapi grus babaraha jam neangan can ka panggih jadi weh icing heula di gerbang eta bari popotoan. Awalna mah sepi eweh nanaon, jalanan ge sepi malah jiga bangunan kosong pas urang ngintip di gerbang na anu kabuka saetik. Teu lila aya sora anjing ti kajauhan, urang jeung babaturan bingung kusabab teu nyaho sora anjingna ti mana. Ai heug teh makin lila sorana makin deukeut, nyaho na mah tukangen aya anjing opat keur lulumpatan rek ngudag urang jeung babaturan. Pas di udag teh urang nepika ngadegdeg kasieunan, soalna anjing penjaga tea anu ganas. Buru-buru naek ka motor, tapi babaturan urang sasah da hese ngagas jadi weh suku urang beunang di gegel tapi teu pati jero teuing da make sapatu.",fear
7554,"Salah sahiji cara anu tiasa dilakukeun kanggo jalmi anu sieun ka jarum suntik nyaeta kedah sering ningal jarum suntik. Awalna mah ngan ditingalikeun ti gambar atawa pidio hungkul teras ningal jarum suntik langsung, nyepeng jarum suntik, nepikeun proses suntikna. Supados janten leuwih tenang oge tiasa ngalakukeun meditasi nyaeta diuk sing nyaman jeung tenang. Diuk tegak, simpen lengeun dina paha sabari ngatur napas nepika napas teratur salila kurang leuwih hiji menit. Teras napas tina hirung opat detik teras dihembuskeun ngaliwatan baham opat detik. Basa ngalakukeun meditasi oge urang kedah nyugestikeun hal-hal positip sapertos nyarios ka diri sorangan yen kuring teh pasti tiasa ngaliwatan ieu. Meditasi ieu minimal dilakukeun salila opat belas poe. ",fear
5964,"Rata-rata sok aya jalma anu sieun mun ngaliwatan astana atawa kuburan teh. Komo mun ngaliwatna tipeuting mah, mantak becir pisan lumpatna ge. Salian eta, mun ngaliwatna nyalira oge sok keueung rarasaan teh. Padahal mah ngaliwat ka astana teh teu kudu sieun da sabab urang ge sarerea pasti bakal maot. Loba nu alesanna teh sabab sieun ngaliwat tempat nu maot. Padahal kan nu maot mah moal mungkin hudang deui atawa ngaganggu deui da geus beda alam. Tong panik atawa becir sorangan mun ngaliwatan astana teh bisi tungtungna jadi cilaka ku polah sorangan! Batur teu nanaon kalah rarasaeun riweuh jadi we kalap.",fear
3277,"Tempat runtah. Tempat ieu kotor pisan sareng pinuh ku sampah.
Area tepi kompor. Wewengkon kompor kotor kusabab sésa-sésa kadaharan asak sareng sésa minyak goreng.
Area bak mandi. Kusabab sok katepaan ku cai, matak jadi lumut jeung leueur.
Solokan. Ieu tempat kotor ku sabab cai ngeuyeumbeu anu bisa ngabalukarkeun bau jeung jadi tempat reungit anu bisa ngabalukarkeun panyakit.
Kamar mandi. Kusabab teu cukup beresih, kerak cai bakal teuas sarta lukut tumuwuh di tempat beueus jadi leueur.
Kusabab kecoak resep ngudag sareng ngalebar dina awak (suku). Jeung ngudag teu satengah-satengah, make gaya ngalayang oge. Sareng nalika aranjeunna sumebar dina awak, karasana sapertos rambutna nangtung. Enya memang teh teknik pertahanan diri ti kecoak, lamun urang sieun maranehna sabenerna bakal pindah ka urang. Tapi kuring oge rek ngomong yen enya kitu oge manusa, lamun sieun geus ngawasa diri, sagala pangaweruh jeung teori ngadadak ngejat, leungit.",disgusted
213,"Saenggeus prasidang, meureun aya kana 6 bulanan bakal diayakeun sidang. Urang ge ngusahakeun supaya bisa kaudag jeung miluan sidang bulan Desember, ngameh wisudana bulan Februari. Pas poean sidang, urang make jas warna hideung, kemeja bodas, make dasi oge, tuluy calana jeung sapatuna warna hideung. Anu rek sidang, narungguan di deukeut panto rohangan sidang, sabari nungguan dipanggil hiji-hiji. Pas giliran urang, urang leumpang menuju korsi sidang, anu dirasakeun degdegan pisan. Urang diuji ku opat dosen, aya kana 30 menitan sidang urang beres. Geus kitu, urang kari nungguan hasilna saenggeus lohor. Pas lohor kabeh peserta sidang ka rohangan, disebutan ngaran hiji-hiji. Teu lila ngaran urang dipanggil, alhamdulillah urang lulus jeung meunang nilai anu memuaskan. Didinya arurang ajrug-ajrugan kubakat bungahna. Pas kaluar gedung, geningan loba babaturan nu nungguan jang ngucapkeun wilujeng sakaligus mere bingkisan. Bingkisanna rupa-rupa aya nu di wadahan, aya nu di kalungkeun, aya oge nu mere kembang.",happy
2533,"Pirite, atawa ""emas palsu"" sakumaha dipikawanoh (Kuring teu nyebutkeun anjeun teu kudu nyokot eta up, tapi lamun manggihan eta bari néangan batu jeung ngaidentipikasi eta salaku emas nyata, mangka anjeun bakal era jeung malu lamun batur ngabejaan Anjeun. yén sadaya nu kapanggih éta hal umum jeung kirang berharga. Pikeun adil ka uninitiated, aya ogé emas alam dina bentuk kristal nu kasampak pisan sarupa pirit. batu berwarna, bisa jadi eta aya nu naon manggihan téh ngan emas semu, teu emas nyata. Emas nyata bisa gampang dipotong-potong kaluar kalawan digores sedengkeun pirit loba harder ti emas nyata. baris kitu kudu hati hati yen katika nimu harta karun.",surprise
4713,"Pamikiran jalma pikeun anjing pasti mangrupi hal-hal anu di pika sieun, saperti kasieun di udag-udag. Teu jarang biasana jalma pas karek nempo anjing na ge geus ngaboga rasa kasieun, padahal anjingna mah keur icing misalna. Sabenerna pamikiran kasieun kanu anjing teh bisa di ubah pola pikirna, eweh anjing anu galak tanpa sebab. Rata-rata sato komo mun anjing bakalan nyaho naon nu ku urang rasakeun, saperti mun urang keur amprok jeung anjing eta teh anjing bakal nyaho mun di jero hate urang aya rasa kasieun, jadi mun bisa mah amprok jeung anjing teh kudu nyantai ulah tegang jeung ulah nunjukeun kasieun. Mun kitu mah anjing moal ngudag, jeung moal ngagegel. ",fear
6963,"Lulus ti SMA abdi tos gaduh rencana hoyong kuliah di jurusan Hukum. Ieu oge tos janten cita-cita abdi ti SMP keneh. Abdi nyobian ujian kanggo asup ka jurusan hukum di salah sahiji perguruan tinggi. Abdi tos yakin pisan bakal katarima di perguruan tinggi, malahan abdi ngomong ka rerencangan lamun abdi lolos abdi bakal meulikeun tuangeun kanggo rerencangan. Pas tos waktosna pengumuman, abdi sareng sakulawargi ngantosan di hareupeun komputer lantaran hasilna diumumkeun di website. Abdi tos atoh pisan lantaran teu sabar hoyong geura kuliah. Tapi pas dibuka hasilna teu lulus, abdi teu percaya nepikeun mastikeun sababaraha kali. Butuh waktos samingguan nepikeun abdi narima yen abdi teu lulus kuliah di kampus anu abdi hoyong. ",sad
2506,"Pertama kali kuring manggihan yén kuring hamil ku triplets. Tentuna kuring kaget. Jeung geus kadéngé keteg jajantungna. Perasaan anu pasti mimiti muncul nyaéta kaget, bungah, sareng sieun,"" tulis Indung Putri dina unggah videona. Indung Putri harita ngarasa bingung lantaran kudu nyaritakeun pangalaman nu munggaran ieu ka kolotna. Sanggeus bébéja ka indungna, Ibu Putri dijurung sangkan kakandungan kembarna tetep rahasia. Indung Putri ogé ngajaga kakandungan triplét na sangkan teu aya nu pangdeukeutna bakal salempang teuing ngeunaan kandungan nya. ""Saatos bébéja ka indung kuring, indung kuring nyarios yén kuring tetep ngajaga dugi ka teu aya anu terang kecuali kulawarga salaki kuring sareng hiji bibi,"" nyeratna. ngeunaan kakandungan kuring,"" tambah Indung Putri dina unggahna.",surprise
731,"Harita keur masantren, urang masantren teh di tempat lanceuk. Da kabeneran lanceuk teh kawin jeung nu mibogaan pasantren. Jadi mun teu di kobong urang sok cicing di imah lanceuk urang. Di ditu mah nongton TV teh ulah, komo deui mibogaan TV. Da meureun pas jaman rosul euweuh TV. Hiji waktu lanceuk urang indit, urang nongton TV di kamarna, bari ngajak babaturan. Teu kanyahoan lanceuk urang geus balik, tuluy urang di tampiling beungeut nepikeun ka beureum. Urang ambeuk sabenerna mah lantaran kakaraeun ditampiling kieu ku dulur sorangan, bari ngomong ""Ari akang bet wani-wani nampiling anak batur"". Anjeunna teu ngajawab deui, da urangna langsung ngaleos.",angry
