id,text,label
4194,"Saat sadar ternyata bisnis na didalankon ternyata mandatangkon kerugian, hamu.porlu  malakuhon perubahan sian marbagai aspek na dibutuhkon, misalna mangubah model bisnis, strategi pemasaran mangikuti parkembangan teknologi dan target pembeli na tepat. Bahkan perubahan-perubahan menek na dilakuhon pun dapot mandatangkon parubahan godang bagi perusahaan. Tips Selanjutna yaitu tetap optimis dan berusaha bangkit sian keterpurukan. Sebagai halak pengusaha hamu harus selalu optimis dan percaya bahwa hamu akan kaluar sian zona na inda diinginkon tersebut. Anggo hamu pesimis dan pasrah dohot keadaan, kondisi rugi na dihadapi inda akan pernah selesai. Terlebih lagi, ango hamu pasrah, bukankah pegawai hamu juo akan ikut pasrah? ",descriptive
3713,"Molo hita dihadopkon dengan keadaan bencana alam, misalna bencana alam banjir adong do beberapa hal na harus hita pasiap i ima diantara na, hita akkon mamparhation istilah paringotan bencana nai, baru mamahami tingkat karentanan tempat tinggal terhadop benana nai, manyiapkon langkah evakuasi hita akkon pohom do i sanga idia sajo tempat sanga pe dalan na manuju tempat evakuasi na madung ditottuon. Na paling porlu na hita lakuon ima hita mamahami sanga idia ganan ni giot mamateon aliran listrik ni bagas ni hita. Rap mamparsiapkon sude kabutuhan ni hita molo hita giot mangungsi sanga pe kehe tu tempat evakuasi na madung di tottuon.",expository
3219,"Salah sada mocom  ni alat olahraga ima matras yoga. Molo giot mar olahraga di bagas, rasona inda do lengkap i molo inda pedo adong parlengkapanan na na sada on. Matras yoga i ima salah sada alat na potting molo rutin dohot giot mangalaksanaon yoga sanga pe meditasi. Alat olahraga matras on ima alat na manfaat na giot mangalakuon marmocom gerakan olahraga na lain, misal na senam lantai, plank, push up sanga pe sit up. Matras yoga i mar fungsi giot manjago, andegean ni hita aso tetap aman doppak malakuon gaya-gaya yoga. Bisa jugo do i mangalindungi pamatang ni hita sian tumburan molo madabu hita tarsilandit dippak olahraga. Hita bisa do i nyaman leleng-leleng mangalakuon yoga molo manggunaon matras. ",argumentative
1944,"Saonari porlu do hita mambahen akka usaha naboi tapungka, tarlumobi hita akka naposo. Akka naposo songon hita godang dope hagogoon dohot pamikkiran na denggan di hita ido na mansai porlu tabahen gabe tu na denggan. Unang pola pintor tapikkiri sian sonari lao karejo di inganan ni halak, manang mangalului karejo di inganan ni halak. Na mansai porlu sian saonari, boha ma tabahen asa boi hita mambahen karejo akka jolma. Ndang boi nian pintor gabe saut i hatop, ikkon nenget-nenget ma tapungka. Marsitutu ma hita lao mangkarejoi i sude, asa boi di joloan ni ari gabe sitiruon hita di jolo ni loloan ",persuasive
1837,"Molo taboto naeng dilapa dokter unang gabe lak gale hita, ikkon boi ma ta pa pos diritta asa boi hita denggan tu joloan ni ari. Asa pos rohanta porlu do hita mangkatai tu kaluarga ta na jonok, unang gabe hita pasip. Songon natorasta, abangta, anggita dohot na asingna. Alana halaki boi do annon mandukung hita asa unang mabiar be. Dung i, ikkon boi do hita marpikkirian na denggan, unang gabe na roa torus tapikkiri. Alana molo akka na denggan do na tapikkiri boi do annon parohon akka na denggan sautna tu hita. Jala hita be lam tabo ma hita hilala, alana nga um godang dame di hita",persuasive
4616,"Panganut liberalisme mayakini bahwa pamerintah diperluhon untuk malindungi individu agar inda dirugihon oleh halak na lain. Akan tetapi di sisi lain, halai juo mangakui bahwa pamerintah sendiri dapot manimbulkon ancaman bagi kebebasan.Liberalisme adongma paham politik na masih dianggap relevan sehingga masih dapot martahan hingga saat i. Bahat negara manganut paham liberalisme. Contoh negara panganut liberalisme antara lain, Amerika Serikat, Prancis, Belanda, Jepang, Kanada, Selandaia Baru, dan masih bahat juo.Liberalisme adongma sala sada istilah na paling jotjot disalahpahami. Liberalisme adongma suatu istilah na lobih jotjot dipahami sebagai paham panganut kabebasan na sabebas-bebasna tanpa aturan.Di Indonesia, liberalisme adongma sesuatu na lobih jotjot dipahami sebagai kabebasan sebebas-bebasna. Untuk manghindari kasalahpahaman i, ponting mamahami liberalisme mulai sian hal na paling mandasar.",expository
1724,"Di hamajuon di jaman nuaeng on ikkon mansai las ma rohanta alana nunga mansai godang akka na dibahen jolma i lao paurahon karejo. Songon akka barang elektronik on ma mansai tabo ma di akka panomuan-panomuan na nunga adong. Songon najolo molo macetak akka dokumen ndang boi dope hatop alai nuaeng nunga adong be alat lao mancetak boi hatop. Gabe nunga dilehon be tu hita akka hamudaon lao karejo. Laba na asing tu hita boima um hatop hita karejo sian na somalna. Molo manunsi hian hita olo sampe sajom lobi, alai dung mamakke masin boi ma gabe um hatop sae dibahen.",persuasive
1619,"Si Tiko mansai lomo do rohana olahraga na esktrem. Na hinalomohon ni rohana ima marungkor tu dasar ni aek. Molo jolma na mamereng ibana nunga mansai mabiar, jala natoras dohot kaluarga nunga dilagai ibana asa unang be sai marungkor. Godang do akka olahraga na so pola ekstrem dok ma i diula. Ale ibana hot do di pandirionna na ikkon marungkor on do. Boasa mansai barani ibana alana ibana nunga leleng mamparsiajari i. Sian SMP ibana nunga dohot latihan marungkor. Parjolo marlati di kolam ma ibana dohot na mangajari ibana. Ale dung leleng nunga adong lima tao boi ma ibana marungkor ndang holan di kolam ale nunga boi di tao dohot laut.",narrative
424,"Samuel diparenta laho mangurapi anak siampudan, na ima anak gembala, anak baoa on margoar Daud. Dung i, tingki porang Israel dohot Filistin, sahalak raksasa margoar Goliath marusurak mangalo tantangan tu halak israel na naeng manaluhon ibana di porang i. Ala hombar tu ibana, ndang adong na sukkup barani mangalo ibana. Dung Daud mambege Goliath manantang pasukan Tuhan, dipaboa ibana ma tu Raja Saul molo ibana tong naeng mangalo raksasa i. Lomos rohani Raja Saul, alana Daud ndang sahalak pejuang. Alai Daud mamullit laho mangadopi raksasa, marpahean songon gelleng gembala dohot katapel na gabe sanjatana. Ro ma Goliath tu ibana, Daud pamasukhon batu tu katapelna jala manembak raksasa i. Mare ma si Goliath.",argumentative
1884,"Unang pe sai ditabai akka jolma i hau na adong di harangan, alana i mansai godang do labana lao manahan aek asa unang hatop banjir. Sipata akka jolma on ndang ganjang lao marpikkir, jala holan lao tu hauntungon na do dibahen. Molo tung pe hona taba akka hau na adong di harangan i, ikkon boi ma muse disuan panggantina asa boi tubu muse hau na imbaru. Molo nunga palpal do di harangan i, dang adong be akka hau, harugion na balga mai tu akka jolma na adong. Sai anggiat ma i diparrohaon akka jolma i, lao manjaga akka alam na denggan na nunga dilehon Tuhan tu hita ganup jolma manang idia pe hita mian.",expository
3987,"Saat manonton tim favorit menang, maka fans cenderung merasa sonang,  dan perasaan akan manjadi lebih baik. Pada fans, perasaan bahagia  tersebut tarjadi harana hormon dopamin na adong di bagasan otak maningkatkon  saat manonton partandingan olahraga. Hormon dopamin merupakan hormon  na berpengaruh pada motivasi, perasaan sonang, dan rasa percaya diri.   Perasaan bahagia juo dapot muncul saat melihat fans sian tim na sarup merayakan euforia kemenangan. Identitas kelompok na sarupo menyebabkon hita momo merasakan emosi bahagia na dibawakan oleh orang tersebut.Kebahagiaan na muncul harana kemenangan tim favorit dapat pula  maningkatkon kepercayaan diri. Saat melihat tim na  hita dukung monang  dalam pertandingan, hita merasa manjadi bagian sian kemenangan na diraih oleh tim tersebut. Kepercayaan diri na muncul i marbanding  lurus dengan paningkatan perasaan bahagia.Perasaan bahagia inda  hanya ditimbulkon harana kemenangan sian tim favorit. Berkumpul dohot sesama fans sian tim favorit dan meluapkan berbagai emosi saat pertandingan berlangsung juo mambuat hita merasa lebih bahagia.",descriptive
190,"Dung pandemi, godang jolma na marpikkir molo naeng lao tu ruar jabu, mardalani huhut marolahraga. Ndang hu boto ise na mamulai parjolo, alai jolma-jolma Indonesia mura hian tarsamur tren. Ra adong sakalompok jolma na manarik perhatian jala si pemirsa laho mangihuti. Dung i sar ma tren lereng on. Tren na bagak molo jolma-jolma nunut tu hobi na. Na porlu dipature ima etika parlereng naimbaru di dalan na sipata mangokhi dalan. Alai unang lupa ihuti protokol kesehatan asa tujuan olahragana unang gabe marsahit. Ambl ni hata, akhir-akhir on songon na nungga mulai turun tren na marlereng on. Godang hu bereng jolma mangais lereng-lereng bokkas. ",narrative
