id,text,label
92,"Rumput laut maega tuo ri pulaue. Ri bahasa ilmiah e, biasai ri aseng algae ato ganggang. Yaro rumput laut e, warnana maccembulo ridi ato sikola' lango-lango . Bentukna de' gaga daungna na de' gaga to ure'na, jaji elo'mi mappada batang tapi' mabiccu, laingnge ri cappana pong na macidu' ato ma deppa. Rumput laut maega ri pake untuk bumbu nasu-nasu, pada karoppo. Engka to mappake rumput laut untuk abellongeng, nasaba' mamello untuk uli' e. Khasia' laingna untu' kesehatan ale, mello ri anre ko elo' ki pano timbangatta, ma jaga aro, na laing-lainge. Masagala tau, manre langsungi yaro rumput laut e, biasa anu pura ri ebbu mani engka ri balu. ",descriptive
164,"Sebelumna Mila mattama ri SD, melli baju sikola doi' na tommi. Jaji yaro wettunna biccu Mila esso-essoi ri areng doi' tacedde ri bapakna ko polei ma' jama. Yanaro mellini celengang untuk nataro doi' ri arengi ri taue. Attamareng doi' na Mila maega, nasaba' yaro wettue mabiccu empi. Engka pole ri sajingna pole indo' na bapakna ko malleppei. Biasa runtui ta dua pulo sebbu. Nakko bapakna palingan doi' recemi ri arengi, tapi ko maitta maega to. Si  minggu sebelumna mattama massikola kelasa' seddi, na bukka ni celenganna. Na rekeng-rekeng maega, napakei yaro doi' e melli sapatu, tase', bobbo, na baju sikola. Liwe' rennungna lokka massikola' ri esso pertamana ma baju baru hasil taro-taro na.",narrative
296,"Aldi lokkai lomba ri saliwengna kotana. Berangkat yaro pewasatnya tette 11:00 WITA elo' lokka ri WIB, na lalengna lokka kero na alai sekitara' tellu jam, na esso juma' i yaro essoe, jaji pas lettu tette 13:00 WIB. De' na mullei massempajang juma', nasaba' purani taue ri masiji' e. Lisuna matu kero pole ri onrong natujue, elo' lisu bolana tette 10:00 WIB ri ele' e, akko matu ro lettui tette 14:00 WITA, na esso juma' si yaro essoe. Egkani kadua na salai sempajang juma', nasaba' sangi' juma' mani wettu menre ri pesawatna. Na isseng keda engka empa seddi kesempatanna padecengi lobba na, apa' ko katellu ni de' lokka urane massempajang juma', ri konci ni mata atinna. Ko ri situasina Aldi, de' ma na lalai yaro, nasaba' engka mua alasanna mannessa, meskipun makkero, tettemi maja' nasedding.",narrative
536,"Golo' gym ato gym ball merupakang ala' olahraga mello untuk makkunrai, khususna ibu-ibu mattampu'e. Makkoe carana mappake golo' gym ko nappaki elo' cobai. Rimulanna palessoi yaro golo'na ri ase'na tappere. Pakeki sapatu antiselip, nappa millauki tulung tau lainge untuk balingki patudangi aleta, sambil nakatenniki pole rimunri. Seimbangkangi aleta, na ri pano' ajeta ri tappere. Malaki posisi melloe risedding nappa ri taro jarita riase'na uttu ta. Cobaki kedo lokka risamping ato maju munduru'ki. Cobaki gerakan lainge yaro ri pa'pantulki golo'na. Ko de'pa riyakin mulle jamai, malaki kadera pakkatenni. Pakeki maloang onrong ko elo'ki jamai yae olahrage, aja' ri allupai jagai kedota stabil. Salama'ki olahraga mappake golo' gym.",expository
729,"Sala seddi balu'-balu' anre maringeng maega laku yaro riasenge tahu krispi. Yae anre seddie matanre peluangna untuk rui'i minatna pangngellie. Bahkan ri siaga taung ri munrie, usaha tahu krispi populerki ri masyarakat. Cara mebbu'na malomo jaji cocok untuk tau nappa'na mappammula bisnis. Mappake modala' de' na matanre eggang, mulleki runtu keuntungan matanre pole yae usahae.  Tania bawang ri pajaji anre biasa, yae tahu krispi mullei ri pajaji anreang. Yanae saba'na tahu krispi na poji maneng taue. Tapi' parelluki mingngerrangi aja' na engka de' ri bati-batingi riasenge perencanaan na pasadia. Bisnis na de'gaga sadiata, de' ri mulle tahang nasaba' de'gaga rencana na hal elo' ri tuju selama prosesna. Mariki mingngerrangi yae rencana na pakasadia.",persuasive
855,"Negarae engkana nabentuk lembaga pengawas ko ma'toddoi taue (bawaslu), tapi' maga na maega empa  serangan fajar kennai masyarakat. Bahkan yaro masyarakat sangi'na to mattajeng riasenge serangan fajar, jaji mawatang to makkokkoe. Cedde sisengmi masyarakat tolak i riasenge serangan fajar, na yaro serangan fajar sangi'na lokka ri tau marendae ekonomina. Terus, aga pale jama-jamang bawaslu, na awasimi bawang na de' na arengi sanksi, tanrang egana ato yamaneng partai ma'jama riaseng serangan fajar. Padahal ko ri berantas mettoni makkokkoe, yae generasi selanjutna, de'na gaga mattajeng riasenge doi' serangan fajar na yaro pa' kampanye, ma kampanye tanpa engka na arengi doi' masyarakat untuk pilei yaro calon pole ri kelompok kampanyena. Elo'i mancaji aga negarata matu', ko yae serangan fajar ri pancajini hal biasa bawang, padahal liwa' egana ja'na bahkan dosa ri runtu'.",argumentative
32,"Burger mancaji topa sala seddi anre upoji ladde ko linoe. Engka seddi pabbalu andalangku, ri asengni cozy burger. Bentukna yaro burger e mallebu, engka lise'na mallapi-lapi kaju, dageng, mayonnaise,  ladang, roti saliweng. Pas ku melli, pakeka dageng manu'. Hargana yaro burger cozy burger seppulomi lima sebbu ko ukurang biasa, engka topa malampe tapi deppa ku engka cobai yaro nasaba' masuli' cedde ellingna dua pulo sebbu seddi. Jaji ko lokka sikka matu' ri Mandalle kampusku, elo' ka leppang si manre cozy burger. Mawatang to ko macinnaki melli ri ele' ato tangasso nasaba' tette eppa pi liwa' tellu pulo ri arawenge nappa tabbuka.",descriptive
280,"Tika massikola SMA mabela pole ri bapakna na anringna. Akkero pa' mateni emmakna, elo'i massikola SMA tapi makurang doi'na bapakna, jaji riolli wi ri sajingna emmakna massikola ri kampongna emmakna ri Gowa, na bapakna ri Pangkep ki monro. Massikolani kero, ri elliang topi motoro' ri amurena na onroi monro. Mello mua ri mulanna, ne ri munri-munri massu manengni ja'na. Sangi' na moto Tika mappacakka ko subuh ma'pel na masserring, ko arawengi haruspi na sessakang maneng baju'na amurena na cikalingna, sessa jari. Pas kero mattama essoi ri SMA na pa' ujiangni, magai na tea tuo motoro'na. Na talipongi silongna lokka malai, yaro silongna ruane. Maga na pas na lisu pole massikola, ri suroi medde ri cikalingna, yaro amurena monromi na ita-itai. Na kokkong manengni aga-aganna medde, nappa lokka ri bolana nenekna. Decengna kero maneng mua monro sessurengna ma'na. Liwe' peddi atingna, tapi de' na ulle jokka sambil terri lokka ribolana nenekna, jaji na perrengi alena. Maddani ni na sedding ri bapakna na anringna.",narrative
983,"Cinta lokasi merupakang hal biasa ri angkalinga lokka ri ruane na makkunrai sangi'e siruntu'. Makkotoniro massilongmi rimulana Kiki na Farid, pada-padai mahasiswa baru, tappa maitta ma'cewek i. Farid sibawa Kiki makkuliai ri kampus mappada na jurusan mappada to. Yae anak duae beda mua sikolang SMA na, tapi siruntu'i pas wawancara UKT konie siruntu' matterru, murusu'i urusan pendaftaran lainge. Sibawa matterrui ko engka elo' na urusu', apalagi masing-masing ale-alenami pole ri sikolanna mattama akkero ri kampus e. Siruntu'ni esso-esso, si talipong, gangkenna sipoji. Yanae ko makkunrai na ruane maitta massilong, yakin siseng engka seddi akkero poji silongna lainge. Nasaba' engka riaseng cinta lokasi, ko sangi' siruntu' ri seddi lokasi, tuoi matu' pappojina lokka ri silongna. ",descriptive
659,"Siningna yaro peristiwa mappitau'e kennaki ri taroi rilalengna otakta riasengi hipokampus mulle ri ingerrang makkuling-kuling yaro peristiwana, de' napada pole ri memori biasae ripake mattaro yaro ri ingngerrange. Memori bencana mebbue trauma, ritaroi marilaleng na maitta, mawatang na de' naulle lenynye. Yanaro parellu sisengki mabbura ko puraki nakenna bencana, apalagi ko engka traumata. Psikiater ato psikolog makkatenni peranan loppo akkoe untuk missengi masala mentalta pura nakenna bencana, na pattentu toni yaro aga-aga weddinge rijama. Ko idi ato tau ri sideppe'ta nekanna riasenge PTSD ato lasa lainge, termasuk lasa mental, aja' na ri ragu mabbura. Engka na doktoro mulle murai setiap lasa kennaki.",persuasive
