id,text,label
2908,"Ani bik sakancaan kantor pessen seblak gebey kakanan istirahat narek. Cah-kancanah Ani mon pessen seblak riyah pasteh menta tambaan ceker ajem, tapeh Ani enjek. Ani lok dhujen ben lok senneng ngakan ceker ajem maggiyeh mareh eolah deddhih masak'an apabein. Kocak'en Ani beji' mon ajhelling otabe sampe ngakan cekerrah ajem, polanah cekerrah ajem riyah sokonah ajem se mareh neddhek apabein. Toman sekalean, Ani cek terronah ngerassaen ceker ajem riyah. Ani pas mentah andik'en kancanah se teppak bekto istirahat ngebeh ceker ajem, gilok ekakan sampe tadek Ani le lok kuat, aherra emuntah aghi ceker gellek se mareh ekakan sakonek juwah, pas deri bekto jiyah Ani tamba lok endek ngerassaen ceker ajem pole.",narrative
392,"Odi' kadhibi' lakar ta' nyaman. Jha' sampe' andi' pekkeran terro odi'a kadhibi'. Arowa padana ta' ngarghai ka Pangeranna. Mon odi' kadhibi' tako'en Pangeran ta' merri' pa-apa ka dhibi'en. Paleng dhagghi' ghun eberri' dhusa se bannya'. Monla dayya, odi'en la paste ta' salamet neng dhunnya ban akherat. Bisa keya odi' neng dhunnya areya senneng marghana mentana dhibi' odi'a kadhibi', tape jha' kaloppae, jha' Pangeran areya ta' buta. Ta' meddhem jhelling oreng se ta' enda' ka Pangeranna. Karo dhingla eberri' moseba nyebbhut asmana Pangeranna. Dhingla senneng ta' enga'. Senga' ghu'-agghu' bada balessan se engko' bi' kake reya ta' tao. Mon ngoca' terro odi'a kadhibi' areya tako' mortad mon ta' bisa abhareng bi' ibadana otaba ta' ngeba Pangeranna. Ta'la mon tojjhuwanna terro odi'a kadhibi' sambi neng-sennengngan bi' Pangeran.",descriptive
516,"Brahmana se anyama Sidi Mantra olle dhunnya ban bine se raddhin. Akabinna reng kaduwwa jiya eberri’ ana’  lake’ anyama Manik Angkeran se mon la raja andi’ tengka jhuba’. Iya areya matada’an dhunnyana reng towana ghabay tarowan. Eppa’en ngeding sowara soro atapa neng Ghunong Agung pas nemmone Naga Besukih. Ka nagha Besukih, dhibi’en ajhellasaghi maksod datengnga. Nagha maambu amerri’ ca’-baca’an sesse’ emmas. Manik terro taowa dari dimma dhunnyana eppa’en. Mare la tao, dhibi’en entar ka Naga Besukih. Polana angko ban tama’, Manik mapeggha’ bunto’en nagha. Tape ebales bi’ ngobbhar dhibi’en sampe’ mate. Eppa’en ta’ narema. Menta soro paodi’ pole ana’en. eppa’en menta ana’en keya andi’ kaodi’an se anyar, se mesa dari dhibi’en bi’ ana’en. Nagha jiya amerri’ apa se ekapenta. Pas dari jiya, kalowar aeng se anyama Selat Bali.",expository
3213,"Oreng se lok biasa odik bik patek riyah pasteh semmo takok mon ajelling patek. Polanah patek riyah mon ngekkek sakek ben seneng ngejar oreng. mOn neng Medhureh riyah rang-rang bedeh patek kecuali bedeh oreng se sengaja ngobu patek riyah. Tapeh mon entar ajhelenan dek luar Medhureh, kaden neng polo Jebeh otabeh Bali riyah patek riyah parak padenah ben koceng, bennyak se odik bebas ben elomber. Tentonah pateh was-was lebet neng jhelen se bedeh patek'en mon tak biasa, tapeh makle lok ekejar ben patek riyah kodhu asikap biasa bein. Jegik mengetelak mon seompamanah takok, ben ajhelen biasa bein jek aberkak makle tak ekejar ben patek jiyah.",persuasive
1239,Ghaduwan bareng se ekaterroen lakar la daddhi pangaterroan reng oreng se butoh tarotamannah. Namongg hal neka kodhu badha parjuangannah. Kaula ngobange HP iphone paneka badha alasannah ban badha parjuangan bisaos. Hp neka kaulah obange dhari hasel kaula se nabung olle 5 bhulan kalabhan dhari a lakoh daddhi Marketing Komunikasi neng salah settong perusahaan startup. Kaula ngobange paneka dhele apasah lok entar melleh otanba nongkrong kopi sareng cakancah ban lok boroh aotang neng online shop. kaontongan badha hp jariya kaula bisa ghabay konten sareng kamerannah se bhagus ban daddhi jhalan kaula olle penghaselan lebbhi dhari amaen medsos ban dhari hp hasel tabungan neka. kulah rassannah seneng sarah.,descriptive
26,"Se dhujan kakanan se esoddhu' ban epangghang pagghun tao sate reya kakanan asli Madhura se lombrana ngangghuy plappa kecap otaba kacang se nyamana mreca. Tape setiya reya sate banni ghun coma sate ajam, embi', otaba sape. Bada sate se nyaman ban lebbi moda tape plappana pagghun asli Madhura. Sate seemaksot reya sate pentol tahu. pada epangghang ka areng ban rassana nyaman. Mon e Pamekasan se Ajhuwal sate pentol tahu reya bada eyada'en Kantor Dinas Kesehatan (Dinkes) Pamekasan. Se terro ngakana sate tape pessena eman otaba nangghung ta' osa kobater pole la bada jhalan kalowarra rassana pada ta' kala maso sate asli.",expository
0,"Mon nyare kakanan se nyaman ban se moda rassana se paleng nyaman lakar nase' ghuring. salaen nyaman ban ta' nobukgghi nase' ghuring ta' pate larang ban sapa'a bhai bisa melle. kakanan reya lombrana e Madhura abarna mera amargha eberri' caos dalem plappanna. Nase' ghuring bada se abak larang mon la jhuko' se ecamporaghi acem-macem. Manabi e Pamekasan nase' ghuring biyasana coma bada e bakto malem are, Mon siang otaba peddhuk biyasana tada' oreng ajhuwal. Mon la mataare compet otaba malem, cora'en banni ghun e kotta, magghi e Dhisa bannya' se ajhuwal. Mon e kotta se dhaddhi kennengnganna kakanan se acem-macem ban se paleng bannya' macemma nase'ghuring reya bada e jhalan Niaga.",narrative
3634,"Bede pole carana mun tako` ongghe ka panggung polana ta` biasa otabe korang pengalaman, ye ruwa pertama ator nyabana ghellu, tarek nyabana lem dalem lebat elong teros buang lebat colok otabe pagghun elong ne` sakone`. Kaduwe` nginum otabe ngakan manisan pas e kunyah sakone`. Katello` adhuwa ghellu jhe` loppa sabellunna majhu ka ade` otabe tampil, polana mun dhuwa ruwa biasana bisa malancar oca` se ta` lancar ben mu temmu ta` todus tampil ka ade`. Kaempa` sambi apa bhai bharang se nyaman aghibe gehbey tampil ka ade`. Misalla mun dhaddhi MC ye nyambi kertas kene` tape se bhagus ben layak. kera-kera ye essena seputar susunan acara.",expository
4431,"Kita mesteh setuju jhek Indonesia lebbi bhagus deri Singapura. Tapeh arapah SIngapura negehreh se sekennek ghereng elong jiah bisa andik kunjungan wisata se lebbi rajeh deri Indonesia? Taon 2015 total kunjungan wisatawan mancanegara neng Singapura sebennyak 16,1 juta wisatawan. Mon neghereh kita riah keng olle 10 juta wisatawan mancanegara. Arapah? Polanah fasilitas ben transportasinah mereka jheu lebbi maju. Selaen jiah kemajuan infrastruktur kiah se ngedukung kabbhi dheddhih ghempang ghebey awisata neng dissah. Polanah bennyak oreng nyareh kenyamanan ben hal se ghempang ghebey preien. Akelenjer dek Singapura lakar nyaman. Lok ruwet ben bebas deri sepeda motor se ajhelen den beden. Kottanah mereka atatah rapi ben bherse,",argumentative
1667,"Nah, kejadiannah jyah anapah jyah mek bisa nyandher ka kulah ban nyapah kulah jeh kadhineka caretannah. Teppak kulah ngakan mie se terkenal nekah addhep ka temor ban dep addebbhan sareng sala settong reng lakek tor kancannah jughan padha lakek eng. Acorak jareya ngalakone kalakoan ruah ban partemmoan sareng kancannah se jughan lakek sadhaja ka empa' oreng. Kulah nekah lakar la semmoh loppah sareng nyamannah kancah kulah, tape manabi muannah enga'. Kulah nga' enga'an tape jareya rassannah nga' enga'aan jughan. Akherrah oreng neka nyandher ka mejannah kulah. Kulah sajhen ngejjhit ban takok ""Lisa yeh ?"" ghi kulah ajeweb engghi bein, terros tiba tiba jyah ngeppak kulah ban lek ghellek, ""kulah Anton"", tor kulah ngejjehit sarah. Yaallah.",narrative
3145,"Acara neng TV riyah setiyah parak bedeh kabbhi neng internet ben youtube se bisa etegguh deri HP, Mangkanah jheman setiayh riyah bisa ekocak mon TV riyah korang eminaten ben oreng sajjhen bennyak'en HP. Polanah oreng amaen HP riyah bisa kederuy margenah kennek ben rengkes ben kabbhi bisa esareh lebet HP riyah sampek dek acara TV kabbhi. Apapole berita malah lebbih cepet neng HP deripada siaran neng TV.  Meskeh maken korang oreng se gellem nonton TV tapeh mon emba-emba se lok pateh taoh dek HP riyah, TV tetep deddhi hibureng nomor settong. Apapole se emba matanah le rabun otabe trahom  lok pateh jellas negguh, ajelling TV jiyah solusi polanah layarah rajeh.",argumentative
1385,"Sateap kadaddhian se ampon e lebedhin pastennah bedeh rassah sakek. Kulah dhibi' ghaduwan rassah sakek jareya manabi enga' kadaddhian se maghabay kaula trauma ban takok ngulangen pole. napah pole kita daddhi manossa kodhunnah bia saleng a sosialisasi sareng oreng laen kan. Kadaddhian se ampon elebedhin jha' bisa'ah kita neka ikhlas ngadebbhinnah ban naremah saghalannah. Hal jareya, amargha sateap kadaddhian pastinnah bedeh himannah kan ? Dhukah ? Pasteh. Wajar bein ban normal bein. Kulah dele stres selama semengghu. Tape Alhamdulillah samangken bisa narema makeh butoh bhaktoh. addhi sampeyan tennang bein ban akadhi aeng bein. mangken san le depak bhaktonnah, sampeyan jughan oneng maksoddeh.",persuasive
2322,"Oreng se magegger kandungannah jyah dhusannah rajeh sarah kacoali neka lakar la ampon anjurannah dhari dokter. Namong, manabi benne anjurrennah dhari dokter ghi jha' cem macem ngal mebengal ghebey mageggher kandhungan sebab lakar dhusah se cek rajhennah. Melanah dha' neka anapah nak kanak ngodeh jareya kodhu ngaonenge jha' sampek e kenneng perghaulan se bebas sarah. Apah pole reng bhinek se eka'dhimmah hal jareya nambaen ka sadhajana masalah tarotamannah neka ka reng sepponnah. Lakar lok bisa e kaonengen, melana kita daddhi oreng kodhu bhik tengateh ajhaga kahormadhennah kita daddhi reng bhinek ban daddhi reng seppo, sopajha bisa selamed salanjhangah ban e jhau aghin tindaghen aborsi otabah mageggher nyabennah anak dhibi'.",descriptive
4434,"Pertama kali entar dke luar negeri ngara dheddhih momen se menegangkan ghebey sebegien oreng. Marghenah bedeh bennyak hal anyar se e temmoen selama perjalanan. keng perjalanan perdana jiah kiah bisa dheddhih cek nyennengin sarah sampe kita pola dheddhih keloppaen beberempah hal se penting se parloh e siapaghi. Ghebey maksimalaghi perjalanan pertama dek luar negeri, wisatawan seenjek eng u jheu deri 10 kesalahan riah, akaidk se e rangkum deri The Travel. Sittong, lok ajher bhasa daerah. Hedeh lakar lok kodhu melajherin sittong bhasa sampe faseh seghilok eng mangkat ghebey ngelakonen perjalanan. Keng bennyak wisatawan se ghik bhuruh mangkat pertama kali dek luar negeri ngeremehaghi pentingah taoh beberempah kata otabeh frasa umum se e angghuy neng neghereh tujuan.",persuasive
2554,"Benyak oreng se matadek bekto luanggah bik berkebun. Maskeh oreng ning kottah se tak andik tana benyak bisa berkebun angghuy metode hidroponik. Separloh e lakonik dhe'adhe'en riyah nyiapaghi alat ben bahan se ekabhuto engak bibit, kennnegan semai, paralon ben bedhenah aing. Sekaduwe' pas lobangih pipa paralon. Pas totop ujung paralon makle aing a gennang. Ka tellok pas esseh aing e dhelem paralon. Ka empak pas pamasok sayoran ka dhelem gellas plastik dhe' lobeng paralon. Se terakhir pas cek volume aing teros. Metode riyah tak benyak butoh aing, tapeh akar taneman tak olle sampek tak kabhegien aing. Dheddih aing koddhu terros a gennang. ",expository
