id,text,label
1243,"Alai sipata molo na mardongan on marragam do akka pangalaho ni akka jolma i, nunga na denggan nibahen alai ndang hea mandokkon mauliate. Alana nunga hea songoni hajadian, mamorluhon hepeng ma ibana lao manggarar utangna, ro ma ma tu iba lao maminjam hepeng on, jala marjanji ma ibana sabulan nai dipaulak ibana. Ala dongan porsea ma iba, ndang marbagus ibana. Alai salpu ma sabulan ndang adong boha-boha sian ibana, lao manungguli. Jala iba do na gabe manungguli, dung ni jalo ndang adong dope hepengna inna. Mambege songoni mansai losok do roha, alana ndang boi ibana mangulahon aha na idokkon na parjolo.",religion
3933,"Slide wheel dapot dimasukkon dalam daftar alat olahraga di bagas yang worth it. Sebab, ia efektif dalam malatih otot perut. Slide wheel sendiri marupahon alat olahraga rumahan na digunaon dohot cara sederhana, yakni hita cukup berada dalam posisi merangkak dengan kedua tangan manggolom  tangkai samping slide wheel.Kemudian, gerakkon badan tu jolo dohot  dibantu roda sian alat tersebut, sehingga badan jadi lurus dan lutut tetap menyangga badan.Meskipun latihan on tarlihat sederhana, tetapi tantangan sian latihan ini ialah adanya hal yaitu tekanan pada butua. Pastikan otot butua tetap kencang saat hita margorak tu jolo . Gunakan butua untuk manarik tubuh tu bolakang saat hita kembali mundur, bukan dengan kekuatan lengan atau lutut.",sports
1755,"Molo naeng ma servis mobil listrik on hita ndang pola na susa jala maol. Molo mobil na mar bahan bakar ikkon ringgas do hita man servis masinna, mangganti olina, dohot akka na asingna. Alana molo ndang ringgas hita mamboan tu servis gabe hatop ma annon sega. Molo mar mobil bahan listrik ndang pola na maol, naparlu taparrohaon holan ban, radiator, AC asa tabo dung diboan. Ido umbahen molo na mamakke mobil listrik on nunga um mura hita jala ndang pola na maol lao paturehon. Boi ma tabereng sian pamakkeanna, molo um jotjot do hita mamakke boi ma hita ringgas mamereng baterena.",technology
469,"Songon boi do hita mambalos dos tu na nungga sibahen jolma tu hita songon boi mangantuk, manunjang, jala paleahon halak i muse. Alai, maaphon jolma na jahat tu hita i lobi dihalomoi Allah SWT gari hita balos. Jadi ninna Habib Nabiel, tingki hajahaton i nungga adong haitanna tu parsoalan haugamoan songon manutung kitab suci, jala manutung jabu ibadah molo i dilarang keras Allah laho mambalos i. Molo mandapoti kitab suci hita jala rumah ibadah ditutung ikkon marsabar hita unang hita balos. Dilaran do i di Islan,"" ninna ibana. Martona do Habib Nabiel molo songon umat Islam unang ma leas tohanta tu kitab suci, inganan ibadah, manang Tuhan nasida. Ala sabotulna kutab suci ahul songon Injil, Taurat dohot Zabur pe angka rasul do na mamboan i.",religion
1241,"Si Ando mansai manghaholongi akka donganna manang songon dia pe ibana, ndang alani na mora gabe i dongani, manang ala pogos gabe ndang i dongani. Molo ibana mansai burju do tu sude halak, nangpe ibana namora. Nunga dibahen ibana tu sude akka donganna songoni, molo adong na mamorluhon siurupon pintor dilehon ibana do. Manang molo adong na hurang hepengna lao mangulahon sada ulaon olo do ibana maminjam tu dongan naon. Alai nang pe burju ibana, mansai sogo do rohana tu halak na sai margabus. Molo nunga margabus sasahalak donganna tu ibana lao tu joloan ni ari ndang dihaporseai ibana be i.",religion
1334,"Dibahen i mansai porlu do hita lao tu inganan-inganan na adong dope sahat tu saonari na manimpan akka sinjata tradisional. Alana manang songon dia pe porlu do botoonta i, alana mansai godang do akka sinjata tradisional na adong di luat ta on. Molo nunga godang taboto, boi ma hita manjaga sude nai aso boi tong dibereng akka na ditorunta haduan. Unang pola hatop hita manegai akka na nunga ture. Alana ndnag taboto molo nunga mar puluh taon na naeng ro, adong dope akka sinjata i. Molo denggan do tajaga sian saonari, porsea ma hita tu joloan ni ari pe lam denggan ma dapotta.",culture & heritage
1567,"Molo adong pe olahraga na lomo rohanta tikki gelleng mansai denggan doi, alana nunga boi hita mar olahraga sian na gelleng. Alani i ikkon taboan ma sahat tu na balga hita. Alana mansai godang do akka jolma dung balga gabe ndang lomo be rohana mar olahraga, gabe holan so ma halaki di ingananna. Sada ulaon naso tikkos do molo songoni, akka habiasaon na denggan sian tagelleng ikkon boi ma taboan sahat tu na balga hita. Molo lomo do rohanta tikki gelleng olahraga marikkati manogot nai, dung balga ikkon boi ma ta torushon muse. Nang pe nunga um jempek hita na marikkat on, alai ikkon olahraga ma hita.",sports
3082,"Tari Serimpi ima salah sada tarian tradisional daerah na tari nai marasal sian daerah Yogyakarta. Tari Serimpi on juo na hanya di pentaskon di Keraton sajo. Tarian on juo adong do puna beberapa jenis i, songon genjung, babul, layar, bondan, anglir mendung rap dohot dhempel. Panari tari Serimpi on na marjumlah 2 sampe 4 halak. Tari Serimpi on na diiringi do i dohot iringan gamelan jawa. Kostum ni halak na manari Serimpi on ima mar kebaya rap dohot na ditoruna jarik na anggun songon putri. Tari Serimpi on mangalambangkon api, aek, alogi rap dohot tano na manjadi hagogoan ni alam.",culture & heritage
1224,"Si Tohap tokoh agama do di huria na, umbahen i mansai tarida do pambahenanna tu akka ruas na adong. Molo adong na dibagasan parsahiton ruas i pintor lao do ibana mamereng jala manangiangkon. Molo dao do ruas i di ruma sakkit lao do tong ibana mamereng ndang gabe sidalian dibahen ibana asa unang lao. Umbahen i mansai lomo do roha ni ruas i mamereng ibana, alani pambahenanna. Akka ruas i pe gabe olo do mangalehon sipanganon tu tu ibana, dipataru ma tu jabuna ala nunga godang dibahen ibana tu akka ruas i. Ima diulahon ibana torus tu akka ruas i.",religion
1693,"Godang do sara naboi tabahen asa manat akka anakonta manonton akka na adong di TV. Naparjolo ikkon tabahen do leleng ni halaki na manonton i, alana molo akka dakdanak sai naeng torus doi manonton, molo tadokkon ndang so, dipatorus doi. Gabe ikkon hita do mambahen tikki tu halaki. Songon sajom sadari, molo nunga lobi sian i pintor tadokkon hatanta asa dipamate TV on. Napaduahon, ikkon tadongani do halaki na manonton on, unang annon gabe sude ditontoni hape ndang suman dope umurna. Disi ma hita gabe mararti molo nunga boi mambahen na denggan tu akka anakonta, asa boi tong halaki mangihuti aha na tadokkon.",technology
