id,text,label
493,"Masjid kui ora mung sekadar dadi panggon kanggo wong muslim salat. Masjid kui kudune dadi pusat peradaan lan pusat aktifitas masyarakat sekitare. Makane kui, masjid kui kudu duwe ruangan-ruangan tambah sak liyane panggon salat. Masjid kudu duwe ruangan sekre. Ruangan kui fungsine kanggo ruang rapat takmir lan kanggo nyimpen dokumen-dokumen sing ono hubungane karo masjid lan kegiatane. Masjid uga luwih apik duwe pawon dhewe. Pawone kui ora sing gedhe-gedhe. Paling ora iso cukup kanggo masak banyu kanggo godok teh lan goreng gorengan. Sing telu, masjid kui kudune duwe perpustakaan. Masjid ora mung kanggo awak dhewe ngejar akhirat naning uga perkoro donyo.",religion
7890,"Aku dijaki karo mama nang omahe tanteku, jarene lagi pingin dolen ae. Berhubung aku lagi gak onok kegiatan opo-opo, tak iyoni ae. Pas tutuk kono, aku malah dolen karo dulurku sing sek cilik iku, dan mamaku keenaken ngecewes karo tanteku. Moro-moro dulurku iki njaluk digawekno coklat anget. Akhire aku njaluk izin nang tanteku gawe ngutak ngatik pawone dan dioleni. Pas tutuk kono, aku bingung soale kompore gak koyok kompor nang omah. Pas tak cek, dadakno iki kompor listrik. Awale aku bingung, iki yaopo cara nganggone. Timbang ngerepoti tanteku, aku coba nggolek tutorial cara nganggo kompor listrik nang internet. Gak suwe aku nemu dan tak gatekno disik yaopo nyalaknoe pas awal, terus nambah level kepanasane, karo cara matenine. Wes mantep dan paham, baru aku nggawekno coklat anget gawe dulurku.",technology
3140,"Sekolahku biyen iku duwe olahraga sing ancene digawe kegiatan tambahan sing lumayan akeh, salah sijine yoiku bulu tangkis. Nah kabeh bocah mesti akeh sing seneng soale resiko tiboe ora gede koyok bal-balan. Dadi nag wayae olah raga iku maeng mesti rame ambek mesti ono pertandingan ben bocah-bocah iso dadekno olahraga iku maeng semangat ambek manfaat kanggo kesehatane. Mari ngunu, nag olahraga iku maeng ora mok sokor ngunu tok. Tapi sing ngulang yo ngulangi carani balekno kok iku piye, terus carane nampek iku piye, ambek liyan-liyane sing sekirane iso dadekno bocah-bocah ik ngerti carane bulu tangkis sing temen ambek ora dadekno loroe nang awak.",sports
464,"Jaman saiki, aku wong sing pengen dadi bener dhewe. Ora ono wong sing ngakus salah, senadyan dheweke sak jane ngerti yen dheweke kui salah. Iki termasuk neng agama lan perdaan aliran. Kabeh agama utowo suatu aliran agama kui ora gelem disalahke karo kelompok liyo. Sing parahe kui, wong iso tekan kepegen bela-belani sinau kitab suci agama liya kanggo ngebuktike kelompok sing liya kui salah. Nanging kui sebenere ora perlu. Alasane, yen sinau mung setengah-setengah kui podo wae mergo argumentasine bakal ora valid. Sing keloro, kanggo nyalahke wong liyo kui, udu fungsine kitab suci. Sak ben agama kui duwe kitab suci ben umate iso dadi wong sing luwih apik.",religion
9687,"Upacara sing aku durung tau ngerti yaiku upacara Rabu Abu. Upacara iki yaku tradhisi sing dilakokake karo umat Katolik. Aku diceritani proses uoacara Rabu Abu karo kancaku. Sing kaping siji, Rabu abu iki dadi kegiatan sadurunge Paskah. Kaping loro, yaiku ana Rama sing ngewacakna nasihat sing ana ing Alkitab. Kaping telu, proses nyematna tandha salib ing bathuke umat Katolik karo awu. Sawise umat diwenehi tandha salib, iku uga nandakake yen wis dimulai mangsa pasa lan pantangan kanggo wong Katolik. Wong-wong padha nahan kanggo ora ngurusi donya lan sapanunggale supaya bisa fokus ning pertobatan lan perbuatan apik karo padha manungsa liyane. ",religion
7313,"Dr. Firanda Andirja Abidin utowo biasa dikenal sebagai ustad Firanda Andirja iki lahir nang Suroboyo tanggal 28 Oktober 1979. Beliau nduwe jeneng liyo, yaiku Abu Abdil Muhsin. Ustad Firanda iki ulama Salafi sing aktif ngisi macem-macem kajian Islam ndek Indonesia. Mbiyene tau melu ngerantau karo wong tuwone nang Sorong, Papua. Masa cilike dientekno nang kono. Baru pas lulus SMA, ustad Firanda lanjut kuliah nang Fakultas Teknik UGM program studi Teknik Kimia, tapi mek dilakoni rong tahun tok. Beliau luwe milih sinau agama nang Pondok Pesantren Jamilurrahman Bantul selama sak tahun setengah. Mbari ngono beliau lanjut kuliah nang Universitas Islam Madinah sampe nduwe gelar doktoral.",religion
7404,"Upacara Sedekah Bumi iku salah siji upacara adat berupa prosesi seserahan hasil Bumi teko masyarakat nang alam. Upacara iki biasane ditandai ambek pesta rakyat sing diadakno nang Balai Desa utowo lahan pertanian utowo panggon-panggon sing dianggep sakral ambek masyarakat. Upacara iki wes dilakoni turun temurun teko nenek moyang wong-wong Jawa. Biasane, upacara Sedekah Bumi iki dadi ajang kekayaan wong-wong deso sing ngelakoni. Hal iku mergo wong-wong sing ngelakoni upacara iki bakal nyiapno seserahan teko bahan-bahan sing paling apik sing diduweni. Teko kono, bakal ketok endi seserahane wong sing nduwe kato wong sing pas-pasan ae, soale isi seserahan e pasti bakal ketok bedo.",culture & heritage
9645,"Agama Islam iku agama sing gampang ning ora bisa digampangke. Iku salah siji pituduh utawa nasihat saka khotbah Jumat. Khotib nyampekna menawa wong Islam iku sakjane wis diwenehi kegampangan karo Gusti kanggo ngelakoni ibadah. Tuladhane kaya nalika ana ing dalan lan ora bisa sholat pas wektune, Gusti Allah ngewenehi keringanan kanggo jamak sholat. Tuladha nomer loro nalika pasa. Misal wis ora kuat pasa amarga ana udzur kaya lara, bisa disaur utawa diganti ana ing dina liyane. Gusti allah wis ngewenehi keringanan kaya ngono kanggo wong Islam aja nganti malah tambah nyelena lan nggampangke karo ora gelem ibadah marang Gusti Allah. ",religion
3105,"Biyen olahraga sing paling disenenge pas cilik ancene bal-balan ambek mlayu. Terus bal-balane ambek mlayune maeng mesti ora gowo sandal. Asline nag ancene pengen olahraga kudune sing apik gowo sepatu ben sikile ora loro, tapi nag desok sing koyok ngunuku iku ora jaman kejobo saiki soale saiki dalane wes apek. Mangkane bocah-bocah saiki nag olahraga mesti dikongkon wong tuone gowo sepatu ben ora loro sikile. Tapi asline gowo sepatu iku apik lo, soale iso nyelametno sikile nag ono awtu-watu atos, watu lincip, ambek wedi sing cilik utowo beling. Dadi nag iso olahraga yo sing apik gawe sepatu, ojo yeker koyok jaman biyen, nag pengen nyeker yo kudu delok dalane disek.",sports
882,"Senadyan ora jago-jago banget, olahraga sing tak senengi kui salah sijine renang. Pas renang, aku ngeroso koyo cah cilik meneh, bocah sing senengane dolanan banyu. Awale aku yo ora iso renang. Aku sinau renang kui seko opo sing biyen tau diajari lan delok video neng internet. Alon-alon aku wis iso renang seko ujung kolam neng ujung sing liyane. Bar renang kui, aku ngeroso lebih seger wae. Pas awal mentas seko kolam renang, awakku keroso dadi enteng banget. Napasku dadi keroso enteng lan getih sing ngalir nent utek kui keroso luwih lancar. Senadyan keroso enteng, bar tekan omah, awakku uga kerasa pegel-pegel, terutama pas awal-awal ngewiwite renang. Ketoke pas kui, awake isih kaget.",sports
7362,"Kitab Taurat iku salah siji kitab suci sing dituruno sak durunge kitab Al-Qur’an. Kitab iki diwahyuno nang Nabi Musa AS gawe pedoman ambek petunjuk gawe Bani Israil. Kitab Taurat dituruno pas abad ke-12 sak durunge Masehi. Kitab iki ditulis nganggo boso Ibrani dan jaman saiki dadi kitab sucine umat Yahudi. Kitab Taurat iki isine 10 pokok perintah. Secara keseluruhane kitab Taurat iki isine tentang perintah gawe mengesakan Allah SWT, menghormati wong tuwo, ambek nyucikno dino Sabtu. Nang njero kitab iki onok larangane sisan. Mulai teko nyembah berhala, nyebut nama Allah SWT dengan sia-sia, mbunuh menungso, nyolong, dadi saksi palsu, ambek njupuk hakne wong liyo. ",religion
5465,"Wong sing ngelakoni olahraga ekstrem iki mesti wis ngelakoni latihan sing suwi lan uga ngalami gagal lan berhasil kaping bolak-balik. Kaya misale nyilem bebas tanpa alat bantu. Olahraga iki mbutuhake akeh kemampuan lan tata cara ben ora gampang panik. Nanging kabeh iki uga ana pitulungan saka wong sing luwih profesional lan luwih ngerti babagan iki. Perenang utawa wong sing gawene nyilem iki ora sembarangan bisa ngelakoni olahraga iki, kajaba wong saka suku Bajo sing pancen wiwit cilik kerep ngelangi tanpa piranti sing standar lan wis kelatih nyilem. Kamangka kuwi, renang lan nyilem bebas iki mung bisa dilakoni karo wong sing wis siap secara mental uga fisik. ",sports
2751,"Tahun iki aku ambek koncoku ora iso ngerayakno Idul Fitri nag omah utowo kampung soale isek melok anjurane pemerintah sing ora oleh mudik. Aku ambek koncoku sing kerjo nang kuto yo wes nurut wae. Tapi masio ora ngerayakno idul fitri nag kampung tibak'e nag kene yo lumayan ramelah, soale isek ono konco-konco sing podo ambek awak dewek sing ora iso muleh. Dadi podo ngereyakno idul fitri nang koto kabeh. Yo akhire rame-rame bareng sing penting iso dadekno dino riyoyo iku iso dadi mulyo utowo rame soale ancene anjurane ngunu teko agama. Masio ono konco sing ora muslim, tapi ambek konco-konco yo isek tetep podo ngregani.",religion
3283,"Berita teknologi sing kat tahun wingi iku semliwer yaiku onone sistem autopilot utowo autonom sing dipasang nang montor-montor model anyar saiki. Nah sistem iku dikabarna iso gampangno wong sing nyetir montor. Terus yo iso ganteni nyetir barang koyok sopir pribadi ngunu. Sak liyane iku sistem iki yo iso dadekno wong sing nyetir iku selamet utowo ngelongi nemene kecelakaan nag ancene kedaden kecelakaan. Terus fungsine sistem iki yo akeh pol koyok contone yoiku iso delok utowo ero barang sing ancene ora kenek didelok teko spione montor, terus iso ngetutno montor sing ono nang ngarepe koyok contone montor ngarep iku maeng banter yo melok banter, nag alon yo melok alon.",technology
7885,"Saiki endi arek kos sing gak nduwe rice cooker? Sampe kabeh iku hapal merk rice cooker opo sing biasa digawe karo arek kos. Tapi ancene, rice cooker iku dadi penyelamat arek kos banget. Biasane iku arek kos pasti bakal nggawe sego dewe, terus baru tuku iwak nang njobo. Itungane isok luwe murah sisan timbang tuku sego nang njobo. Wes ngono, nek awakmu kreatif, rice cooker iku isok digawe masak sing enteng-enteng. Contohe koyok mie instan sing dadi andelane arek kos. Terus rice cooker sisan isok digawe ngengetno panganan sing wes adem. Wes talah, pokoke rice cooker iki akeh banget manfaate gawe arek kos.",technology
517,"Delok omah adat langsung kui saiki wis angel banget. Senadyan ono neng daerahe, awak dhewe durung tentu iso nemoke omah adat seko daerah kui. Carane ben awak dhewe iso kenal kui seko awak dhewe ngunjungi panggon wisata khusus omah adat. Beberapa omah tradisional sing gedhe utowo bersejarah kui saiki didadeke panggon wisata utowo museum. Yen pengen delok omah adat seko daerah liya, awak dhewe iso golek-golek informasi utowo gambar seko Internet. Luwih apik meneh awak dhewe iso nemu video sing iso nunjuke sak ben sudut lan detail seko omah adat.  Yen pengen delok langsung omah adat seko daerah liya secara langsung, awak dhewe iso melu acara sing digawe ikatan mahasiswa daerah. Biasane kui komunitas kui gawe acara sing ngenalke budayane dheweke. Senadyan, ora iso delok omahe secara langusng, dekorasi-dekorasi sing dipasang neng kono iso ngewakilke omahe sing asli.",culture & heritage
564,"Awak dhewe kudu luwih menghargai meneh pagelaran musik tradisional. Alasane sing pertama, awak dhewe kudu ngehargai pagelaran kui mergo piranti-piranti musike kui angel gawene. Pengerajin alat musik kui duwe keterampilan sing ora gampang dipelajari. Sing keloro, alat musike kui uga sitik sing duwe. Mergo gawene sing ora gampang, regone dadi larang. Sak liyane larang, alasen liyane alat musik kui sitik mergo ora akeh wong sing pengen main utowo ngerungoke alat musik daerah kui. Alat musik modern luwih akeh sing mainke mergo luwih familiar neng kuping wong akeh. Sing paling penting, awak dhewe kudu menghargai alat musik tradisional kui mergo kui salah siji warisan saking leluhur. Warisan kui sing bakal dadi bukti identitas awak dhewe neng masyarakat global iki.",culture & heritage
