id,text,label
4693,"Kepala Bidang Perpustakaan ben Kearsipan Kulon Progo Sarjana, SE ngejelasaghi jhek acara nobar final piala dunia antara Perancis ngelaben Kroasia jiah andik makna se luas, ajiah kaitannah bik ningkataghi minat mecanah masyarakat. ""Peningkatan minat mecah parloh kontribusinah masyarakat,"" kocak eng Sarjana. Negghuh bhereng riah ajiah sala sittong bentuk ngelibataghi masyarakat. Bedeh kiah bentok bentok ngelibataghi masyarakat se laen ajiah kunjungan siswa, mettek film, aceretah, pameran buku, pameran lukisan, bimbingan ajher, pelateyan noles ben ngerajut, ben ghik bennyak pole. Suasana bhunga cek gheressanah e delem acara nobar riah, make sesekaleh bedeh celetukan se congocoh anada ghejek'en deri pendukung sittong tim dek pendukung tim labennah.",sports
486,"Kennengngan ibadana oreng Islam saongghunna bisa edimma bhai kalaban syarat kodhu socce. Namong se bannya' ekennal maso oreng Indonesia reya Langghar, Musolla, ban se paleng otama Masjid. Langghar mongghu oreng Madhura, bi-lebbi e dhisa se ghi' taneyan lanjhang reya paleng argha ban biyasana lebbi bhaghus etembhang romana dhibi'. Langghar banne ghun eghabay kennengnganna oreng abhajang, ngajhi otaba arembhak. Paleng segghut Langghar eghabay kennengnganna abhak-rembhak otaba akompol tor biyasana eknnengnge tdung keya. Biyasana Langghar ekaghabay dari perreng otaba kaju jhate ban tengghina sanggherra paleng enja' sameter dari tana ban sokona Langghar elangghanne maso bhata tahu se raja ma'le ta' ekakan raprap.",religion
1546,"Manabi ghi' kanak kaula ban tedungah neka selaloh sareng ebhu jareah e ceretaen pa apah bein. Bhakto neka teppak malem jumat lakaran, biasannah reng roma jaruah lakar tedhung semmoh agghuan dhari areh biasannah. Melanah dhari jareya kulah tedhung pokol 8 la masok kamar. Kulah tedhung sareng ebhu ban alek kulah lambannah. Lajuh sabelum tedhung ngangghuy menyak telon ban abecco tor ngajih sekejji'. Lajuh jareya ebhu acareta jha' neng budinnah compo' neka abdha makannah Pangeranan se kodhu e jhaga ban e rabhat melanah bhuju' jareya badha kaidhannah sareng kerajaan majapahit lamba' ban badha caretannah ksatria jhaman kerajaan neng polo Madhura. Kulah ghi coman ngedingaghin bein, melannah kulah keng lebhur ceretannah dhari dhungeng ngah reng lambannah.",culture & heritage
502,"Ayam Den Lapeh areya lagghu dari Sumatera Barat otaba Minang. Maske lagghu seddhi otaba aesse kasossa’an, Ayam Den Lapeh epadapa’ dalem kabada’en senneng. Bisa ejhellingaghi dari monyena. Lagghu reya da’-kaada’en eparamme bi’ panyanyi Minang se ekennal bannya’ oreng bakto jiya, Elly Kasim. Ayam Den Lapeh reya egharap bi’ Nurseha, monyena dari Abdul Hamid. Ajam neng Minang andi’ arte se argha. Polana reng lamba’ ta’ bannya’ oreng se bisa ngobu ajam. Bila eker-pekker, banne ghun sossa polana ajamma mate, lagghu reya aghambaraghi caretana Nurseha se kandhas sabellun entar ka pangolo. Lakar bada arte laen dalem essena. Nyamana lagghu ya pagghun bannya’ andi’ maksod laen, se ta’ bannya’, se noles kodhu tao.",culture & heritage
1847,"Alat olahraga jareya jha' bellih, tapeh biasannah sakeng kulah neka politik daddhina kulah ngebey dhibi' sabedennah neng roma wkwkwk. Bhakto preien abit sakolaan, kulah neka senneng ngabiin bhakto sareng hal se positif akadhi awel juwel otaba a pede ghebey mabenthuk beden neka. Kulah kan koros nak kanak eng daddhi neat kulah lakaran abhentuk beden kalabhan odhu rajhen ban bhejeng sarah a gym ba men bisa nganggka' bebban se berrre'. Ban Ahad neka biasannah kulah entar ka kennengan gym ban kulah a daftar neng sekanjeh tapeh programma kulah neka biasaanh ben malem se entar ka ka'hissah, saenggha lastarennah neka pas mandih ban tedhung ngalakone aktivitas laennah.",sports
4703,"Sudoku otabeh Number Place otabeh Nanpure, ajiah sejenis teka teki logika. Tojjhunah jiah ghebey ngesseen mer nomer deri 1 sampe 9 dek delem ring jaring 9 x 9 se bedeh 9 kotak 3 x 3 tapeh adek angka se ngulang neng sittong bheris, kolom otabeh kotak. Pertama kaleh e terbitaghi neng sittong koran Perancis neng taon 1895 ben pola e pengaruhin bik matematikawan Swiss Leonhard Euler, se ngebey terkenal Latin square. Versi modernnah game riah e molaen neng Indianapolis teppak 1979. Terus dheddhih terkenal pole neng Jepang teppak taon 1986, teppak penerbit Nikoli nemmoen teka teki riah se e ciptaaghi Howard Gams.",technology
507,"Laghu Selayang Selayak areya dari Sumatera Selatan. Laghu reya aesse sen-pessen ma’le areng-bhareng arembhak, abhanto, ban maghi rassa senneng ban kaeklasan ka sakabbhinna oreng. Banne ghun jiya, lagghu jiya epadapa’ bi’ bannya’ acara neng dhisa asalla. Neng laghu reya, bento’en lakar para’ pada’a bi’ apantun. Panton se kaseyan. Biyasana ebaghi ka oreng se senneng ka oreng. Biyasana panton epadapa’ bi’ na’-kana’ se andi’ bangaterro. Banne terro bharang. Tape terro dalem arteyan pada bi’ orengnga. Bannya’ laghu kalowar se lakar ghabay na’-kana’ ngoda se andi’ rassa ka sapantaran otaba ka oreng se ekaterrowe. Mangkana bannya’ na’-kana’ ngoda anyanye mabang terro eyabasa bi’ oreng se ekaterro. Bisa keya lagghu reya dhaddhi oca’ panyambhung dari kaduwa’ oreng jiya.",culture & heritage
822,"HP reya lakar kabhutowan wajib mongghu jhaman modern enga' setiya tape mon ghun eghabay ya-gauyaan parcoma. Parcomana ghella' polana pagghun marogi ka aba'en dhibi'. Oreng penter melle Hp nyare se spekgha otaba epatotaghi kalaban kabhutowanna tape oreng angga' melle Hp ghun polana noro'e som-osoman, oreng enga' reya biyasana oreng se ta' toman mekker lanjhang ban ghun ajhelling kabada'anna oreng se pessena bi-talebbi tape aba'en kadhang ta' tao jha' aba'en reya melle Hp larang polana oreng soghi bannya' andi' Hp ganteng ban ma'le ekoca' soghi noro' melle keya sanajjan otanga atompo'an ban ta' ghellem nyerra. Tape ya ta' rapa engko' ta' noro' andi' otang. ",technology
443,"Keyae Holil Yasin acareta bakto moleyan pondhuk tabra'an dhala sokona teppang abit se barassa. Sabellunna sossa ban sakabbhinna karowetdhan atompo'. Tape samarena petteng pagghun bada tera' ban sakabbhinna moseba reya pagghun bada hikmana kor yakin da' ka se kobassa. Baliyan pondhuk Ke Holil abali ban bakto jiya bannya' kalakowan kaangghuy arengkessan pondhuk, tape keyae adahabu mon Holil jha' palako. Aherra Ke Holil enga' jha' hikmana tabra'an iya areya pas ta' epalako ra'-berra' sakale ban ghun ngala' jhellingan. Dari careta ghella' aghandhu' arte sakabbhinna manossa odi' ta' kera lopot dari moseba kaangghuy maenga' aba' da' ka Allah ban bhakal eparenge jhalan kalowar ban kajhembharan. Tada' are reya ojhan malolo pagghun bada nambhara'en.",religion
4684,"Apede jiah andik bennyak manfaat ghebey abek. Misallah ajiah ngelancaraghi peredaran dere. Pengertian apede jiah gerak bhedhen ghebey nguataghi ben nyehataghi abek. Tebhenah lok heran mon sala sittong manfaat apede jiah bisa noronaghi resiko penyakek jantung. Ajiah polanah aktivitas apede se e lakonen secara rutin bisa ngebhentoh ngelancaraghi peredaran dere e delem bhedhen. Lebet jiah resiko e kennengen penyakek kardiovaskular akadik penyakek jantung, tekanan dere tegghi, sampe penyakek stroke bisa akorang. Apede kiah ningkataghi daya tahan abek. Mon rutin e lakonen, daya tahan abek bisa sajen kuat. Metabolisme bhedhen kiah bisa sajen lancar ben sistem imun bhedhennah kita sajen meningkat.",sports
