id,text,label
3823,"Piranga kanreanga kullei najagai kagasinganna otokka. Tena ampaduli siagami umuruka, tena nia' kana sallo ancang ancang pakaramula ngandre kandre-kandreang salewangang solanna tena gampang nataba garring akkalupai. Nia kanre-kanreang harusu dipalili punna eroki salewangang siagang tena akkaluppai. Golla majai tena nabaji' pasalewanganga' nasaba abumbungi anjo gollayya ri otakka anjari gampang tau-tau akkaluppa. teai na golla kassika wajik rikurangi, golla ri inungang tekne, sodayya, siagang kanreang ri langgayya. Kanreang ri singaraka pole nikurangi juga nasaba puna jai dudu minyak rikandre kullei depresi taua. Karbo kammayya kanre, roti, ballok, siagang paparangga tena tong nabaji ri pasalewanganna otaka nasaba punna jai dudu ri pake siagang antamaki ri lalang battanga anjari palupaki",food & beverages
5234,"Nampaiki siallo antamak kantorok? Ommalek nassami iyya mara’-maraengi nikasiak ka tala niakpi ni isseng urang kantorokta ngaseng. Kodina anjo biasa pakkasiaka apalagi punna anjo maraeng akkumpulukmi nampa surang nganre ngaseng, katte a’nganga mamiki dende. Mingka niakji cara antekamma batena sollanna bajiki allota ri kantorok. Kulleki mange ri kantorok bari’basak dudu kijai, tala niakpi manna sekre tau battu. Punna katte paling riolo niak ri kantoroka, nassami nakua anjo maraenga iyo towwa tau rajing anne. Sambil attayangki jang kantorok, kulleki nganre rolo’ atau kisusungi pakakkasakta ri mejangta atau kulle tongki pasannangi rolo’ kalengta sollanna tena ki nga’ngalik dudu punna sibuntuluk ngaseng maki urang beruta ri kantorok.",business
1244,"Kurang labbi siagang punna tena na salah, inti na lalang na anjo singkamma anne ri rawa yaa. “Punna erok ki accarita siagang jujuruk mae ri Karaeng Puang Allah Ta’aala yahh jujuruk maki bawang boss. Tak buka memang tong maki. Tea maki parek basa basi atoka palak doang at tele tele. Singkamma mo anjo ki sabbuk Puang ta, katte erok pareki anjo kamma kamma anne. Karaeng Puang ku erok ka anne. Puang ku pikkirang ku siagang pikrasang ku kamma anne ku sakring ee kodong. Puang kamma mi anne kaleng ku. To the point maki bawang, lekba mi anjo ji bawang kah antu Karaeng ta Puang ta na isseng ji itu nai ikatte sebenar benar na. Tena ni issengi katte erok apparek dosa kah tena ka. Tena na niak parallu ni tutup tutupi” .",religion
4513,"Attalipong siagang bayuang, iareka sanging najama Krisna punna niak wattunna rinballak mingka tala niak naparek. Sangingna mamo anjo attalipong nampa sallona poeng accarita. Memang iyya ka nampai accewe’-cewe’ njari nila’jui. Punna nikioki ri ammakna, tena napilangngeri, ka attalipong. Nakaluppaimi nganrea, tenamo na aklampa jeknek, tenamo nassuluk-suluk ri kamarakna nasabak anjo tarrusuk naparek dende. Njari untuk tau maraenga, punna accewe’-cewe’ki tenaja na ngapa, mingka teaki sanna’ dudu. Kulle jaki attalipong mingka sebatasna, teaki siallo bujuruk, ka bambang tonji anjo nikasik tolinnu. Punna accarita tojekki ri taliponga, sinampe tenamo niissengi apa la nipau punna sicinikki. Njari teaki kaluppai tau toata nasabak bayuangta kamase.",leisures
3333,Kasia' na bola gym ka wattu ta a'rafa anjo kulle na tambai seimbang na kale ta. Mempo ri rateanna bola gym ka na butuhkan otot dongko' ka na battang na kulle na jaga seimbang na bola ya. Punna ri pantama bola gym ka ri a'raga ta baji' ki na bantuk postur kalea. Kasia' na bola gym ka poe ri a'raga ya kulle na salewangngang dongko' ta na tulang ri boko ta. Bola gym baji' dudui punna niak garring dongko' ta. Ka punna a'giok ki ri a'raga ya anjo bola gym ka na dukungi dongko' bagian rawa ya. Inne mi anjari salah se're alasan angngapa Chiropractor na ahli terapi fisikka na sareang solusi a'raga siagang bola gym ka.,sports
294,"Niak sikuntung tujuan pencipta manusia niaka tattulisik lalang Kitab Suci Al-Qur’an. Tena na anjo saja, tujuan ni ciptakanna manusia pole niak tertuang lalang hadis riwayat ni isseng kana battu ri sabda na Rasulullah SAW. Lalang Kurangan siagang hadis, tujuan ni ciptakan manusia anne pasti niak alasanna siagang tena na sia-sia. Sebagai makhluk ciptaanna Allah SWT paling bajik, manusia ammiliki tujuan mulia untuk attallasak ri anne linoa.
Siagang ni pahami tujuanna penciptaan manusia berdasarkan Al-Qur’an siagang hadist kamma mi tena na secara langsung kulle na pareki lebih sukkuruk atas tallasak na sareangki Allah SWT. Salain anjo, katte pole parallu senantiasa kulle menghargai kaniakkanna parangta tau.
",religion
299,"Fitnah iami antu dosa lompo lalang ajaran Islam. Lalang Al-Qur’an ni kana anne Fitna lebih kejam daripada ammuno tau. Bahkan, Al-Qur’an pole angkana dahsatna fitnah lekbaka kajadian lalang ri anne linoa. Lalang bobok”Jihad Melawan Relegious Hate Speech”. Prof Nasaruddin Ummar na Jelaskan, dahsyatna firnah niaka ni caritang lalang Al-Quran niak rua kasus. Pertama, iamiantu fitnah mae ri pembesar Mesir yang menjebak Nabi Yusuf akrua siagang sekre baine battu ri bija kerajaan. Makarua, iamuantu fitnah na passuluka ri babana oleh Abdullah bin Ubai bin Abi Salul mae ri Aisyah siagang seitau parajurit. Anne ruayya fitna assingkamma temana, battuanna untuk ampakatantang tau tangkasaka ammake cara keji iareka na carita kodi mae ri parangna tau.",religion
2044,"Tindakan pertama ya katte ni parek antu mi ni hubungi konveksi konveksi antu niaka barak kulle ki kerja sama. Ibarat na peribahasa “sambil menyelam nginung jekne” katte todong ni pakarammula mi ambage bage tugas barak ni parek media promosi (media sosial, desain siagang maraenga). Nampa target pasarak ta anjo wattua. Punna tahan anne lekba mo selesai, promo na langsung mi ni lappasa mae ri agang agang ta. Orientasi ta katte tena ni boya untung anjo wattua, mingka ni boya antu impresi na pelanggan ta sambil ni parek branding anne usaha ya. Alhamdulillah, pesanan papparekkang na anne baju seragam kelas ka langsung katte ni gappa battu ri tallu kelasak beda beda ya. ",business
4400,"Lekbakko pasti tiba-tiba cipuruk nukasiak wattunna nucinik iklan kanre-kanreang? Padahal sebenarna tania cipuruk, mingka eroknu ji nganre nipakamma nuciniki anjo gambarak atau iklan kanre-kanreanga na mattiki loro’nu. Anjo gambaraka iamintu asselekna battu ri jama-jamang nikuayya food stylist, tugasna iaminjo apparek kanreang nyamanga nicinik, njari eroki tau langsung nacobai punna naciniki anjo gambaraka. Anne food stylist maraengi siagang chef. Punna chef parallu apparek kanre nyamanga ri lillayya, mingka punna food stylist parallui naparek kanrea nyamangi nicinik ri matayya. Populermi anne jama-jamang ri negeri maraeng, mingka punna ri Indonesia sikekdek kija dudu tau anjama anjari food stylist. Mingka kamma-kammayya anne nasabak pesatmi bidang kulinerka atau kanre-kanreanga appakaramula tommi loe restorang akboya tau kulle anjari food stylist. ",food & beverages
1356,Nakke anak muda antu laherek sanggeng ku dewasa kamma anne (appa taung mami na ku umuruk tallupulo mo) sanging mantang ja ri Kebumen. Battu ku SD sanggeng ku kuliah nampa kamma kamma anne anjama ma ri kebumen narrusuk gaes. Bayang kan mi anjo tekamma cupu ku battu ri romantika kehidupanga ri kota kota lompoa. Sedih naa. Niak nikana Lanting Bumbu antu rasa na sannak gurih siagang nyaman (tergantung prosedur parek na iyaa). Mingka nakke ku jamin iyaa kulle ni pileh berbagai varian rasa na. Katte ku ni balli kulle ri seluruh toko oleh oleh khas kebumen battu ri Gombong sanggeng na Ambal. ,culture & heritage
