id,text,label
6490,"Arung jeram marupokan olahraga ekstrem nan batampek di alam tabukak, tapeknyo di sungai nan mampunyoi jeram-jeram. Olahraga ekstrem ko lah ado samanjak abad ka 19. Urang nan manamukan olahraga arung jeram adolah saurang pramuka nan barasal dari Amerika. Namo urang itu adolah John McGregor. McGregor manamukan olahraga arung jeram katiko mamimpin ekspedisi sungai di Colorado. Parahu nan digunokan dek McGregor katiko itu adolah parahu siso parang dunia bajenis pontoon. Meski nan manamukan olahraga arum jeram adolah McGregor, urang nan disabuik sabagai bapak arum jeram dunia adolah Mayor John Wesley Posell saurang tantara Amerika. Hal iko tajadi karano ekspedisi Mayor John di Sungai Colorado diabadikan.",sports
5392,"Yoga ko marupoan olahraga tubuah jo pangana. Jadi olahraga ko fokus ka kakuatan,kalanturan, sarato jo panafasan. Hal iko baguno untuak maningkekan kasehatan mental jo fisik. Kini awak bisa malakuan yoga di dangau masiang-masiang jo caro mancaliak tutorial youtube. Alah banyak kini tutor yoga nan mambuek video di youtube, jadi awak bisa manirunyo. Ado banyak janih yoga takah yoga bikram, yoga ashtanga, yoga inyengar, yoga vinyasa, yoga yin dan banyak sabagainyo. Janih yoga ko tagantuang garakan jo tujuannyo. Ado banyak manfaat yoga takah manguangan stes, manjago bantuak tubuah, mancagah gangguan pancernaan dan lain sabagainyo. Mako dari itu marilah mulai iduik sehat jo rutin malakuan yoga.",sports
4302,Lagu diciptoan bukan hanyo sabagai panghibur samato tetapi ado maksud lain contohnyo sabagai promosi. Lagu daerah yang barasal dari Solok nan bajudul Bareh Solok. Lagu iko sabanyo diciptoan untuak ajang promosi ateh bareh Solok nan mampunyoi keunggulan dibandiang bareh lainnyo. Lagu nan diciptoan samo Nuskan Syarief iko bahkan alah manjadi ikon untuak Solok. Lagu ikopun manjadian bareh solok sangek tarkenal sa Sumatera Barat bahkan kalua daerah lainnyo. Mancaritoan tentang lamaknyo bareh Solok. Apolai ditambah dengan samba lado sahinggo raso nasi akan labiah lamak. Makan pun manjadi lamak sampai-sampai urang lalu pun indak dihiraukan. Bareh nan alah tanamo di babagai daerah mambuek bareh solok sangek diminati samo urang banyak. ,culture & heritage
2286,"Latia menghadiri acaro pernikahan tanten inyo di hari minggu ko. Keluargo latia ko urang batak, tantunyo di acara pernikahan tantenyo ko ndak asiang mancaliak tarian tor-tor. Urang nan manari tarian tor-tor ko diiriangi jo alaik musik gondang. Gerakan tor-tor cenderung labiah mudah indak rumit bana jadi bisa dipalajari capek dan labiah mudah karena gerakannya yang ditampilkan adolah gerakan monoton. Keluargo latian nan datang ka acara tu langsuang di suruah bagabuang dan manari basamo. Lucu bana mancaliak apak jo amak nyo manari tor-tor dengan samangaik nyo. Tarian tor-tor ko bisa awak pelajari labiah mudah dan lamak lo manggariak nyo. Banyak urang nan datang disuruah bagabung ka tarian tor-tor.",culture & heritage
5421,"Rafting alias arung jeram marupokan salah satu olahraga aia nan tamasuak dalam olahraga ekstrim. Kagiatannyo iolah mangarungi jeram-jeramnyo sungai nan sangaik manantang. Maskipun arung jeram tamasuak dalam kategori olahraga ekstrim namun bisa dilakukan dek sado urang, tamasuak juo dek urang-urang nan alun parnah malakukan arung jeram sabalumnyo. Satiok urang memang mampu malakukannyo, asalkan dia dalam kondisi elok, kato “elok” di siko dalam arti pamahaman teknis, kamampuan mambaco medan sacaro kognitif, sarato sehat fisik maupun mental. Olahraga iko dapek manjadi salah satu kagiatan sero nan bisa dilakukan katiko sadang malakukan wisata basamo kawan-kawan atau kaluarga gadang. Maskipun olahraga ekstrem memang punyo resiko tinggi tapi banyak taselip manfaat dibaliaknyo.",sports
968,"Supayo kasua barasiah kini alah ado Vacum Cleaner. Ndak cuma mambarasiahan abu tapi vacum cleaner kini alah ado lo fiturnyo nan bafungsi untuak mambarasiahan tungau. Jadi ndak paralu mamanggia jaso pambarasiah tungau dan mangaluan biaya taruih manaruih. Bagi kalian nan sadang baranak ketek tantu kalian harus manjago kesterilisasi di satiok suduik rumah kalian khususnyo tampek lalok. Oleh karano itu, alat ko paguno bana untuak kalian. Pokoknyo kalian harus bali. Ndak masalah bagai mangaluan pitih agak gadang di awal, soalnyo manfaat dari alat ko bisa dirasokan dalam jangko panjang. Apolai haragonyo ndak lo maha kok dibandiang jo upah jaso pambarasiah satiok bulan.",technology
5410,"Mata pelajaran olahraga disekolah ndak hanyo diadokan untuak mambuek anak bagerak, sehat, atau bakaringek sajo. Tapi ado hal positif lain nan didapekan anak katiko serius dalam belajar pendidikan olahraga. Nan partamo bisa malatiah kamampuan sosialisasi anak, karano pendidikan jasmani olahraga biasonyo dilakuan sacaro akalompok, sahinggo dapek maningkekan sosialisasi dan karajo samo anak. Anak dapek beinteraksi ka sasamo kawannyo dan saliang batukar pikiran untuak maatur strategi baa caro bisa manang. Kaduo, mambina sikap anak. Sikap nan diajan dalam pendidikan olahraga yaitu kedisiplinan, kejujuran, sportivitas dan juo babuek adil. Dan nan tarakhir mangenal potensi anak, karano katiko bagerak anak akan mengenak potensi dirinyo untuak marangsang patumbuahan intelektual dan interaksi sosialnyo.",sports
2300,"Katiko maadoan upacara adaik bantuak upacara Ngebabali di Lampung ado jo upacaro yang lain-lain. Upacaro adaik ko kan upacaro yang turun tamurun jadi paralu ado nan mamimpin dan mangarati bantuak kapalo suku atau katuo adaik di daerah-daerah yang kental jo adaik nyo. Manuruik ambo adonyo tokoh adaik ko mambantu awak dan bisa mambuek adaik yang ado semakin terlestarikan, karena tugas tokoh adaik ko kan berperan menegakkan aturan adaik. Tokoh adaik ko juo bisa mangandalikan sikap jo tingkah laku warga masyarakat supayo sasuai jo ketentuan adaik dan indak malanggar adaik salagi masih elok dan demi kebaikan basamo. Seorang tokoh adaik biasonyo cocok juo tampek untuak bacarito kahidupan.",culture & heritage
568,"Mungkin bagi urang Minang ndak asiang jo salah satu alat musik tradisional, rabab, nan berasal dari Minang. Rabab ko mamiliki bantuak saroman jo biola. Nyo mamiliki 3 bagian yaitu badan, tangkai, jo kapalo. Tapi nyo mamiliki bunyi nan babeda jo biola. Bunyi rabab ko labiah khas. Biasonyo dalam acara-acara alek urang minang permainan rabab ko akan diiriangi dek panyanyi rabab nan biaso disabuik jo pertunjukkan rabab. Dalam rangko mamariahkan malam pesta baralek kakak ambo akan ado penampilan rabab di jam 7 malam. Bagi kawan-kawan sadonyo nan alun pernah mancaliak pertunjukkan rabab khas dari suku Minang kalian bisa langsuang datang ka rumah ambo malam ko",culture & heritage
7060,"Caro marawat kamera nan elok jo batuah. Jauahan kamera dari aia. Maskipun kamera DSLR diklaim waterproof usahokan untuak tetap manjauhan kamera dari aia. Aia nan masuak ka dalam kamera bisa marusak komponen internal kamera DSLR. Jago kabersihan lensa kamera. Salah satu caro mambarasihan kamera manggunoan cleaning kit, tapi bisa pulo manggunoan cairan nan khusus. Salain itu salalu pasang lensa cap katiko lensa sadang indak digunoan. Baok kamera dalam tas. Katiko nio mambok kamera untuak hutning foto, gunoan tas khusus untuak kamera. Tas khusus malindungi kamera supayo indak capek rusak dibaok kamano-mano. Langkok an LCD kamera jo palinduang layar. Palinduang ko manjago layar bisa indak tagore atau kanai sidik jari.",technology
