id,text,label
497,"Dengan adonyo kasus covid 19 yang penyebarannyo idak tekontrol lagi, mako pemerintah menghimbau untuk uwong uwong dilarang keluar rumah untuk kumpul kumpul diluar rumah. Mak itu pulo dengan kegiatan agama untuk sementaro ditunda dulu, dak tekecuali kegiatan sholat jumat atau sholat jemaah di masjid. Untuk sementaro waktu pemerintah menghimbau ke pengurus masjid agar meniadoke sholat sholat bejamaah di masjid. Tapi beberapo umat muslim masih dak galak mengindahke aturan pemerintah. Sebenernyo bukan di Islam bae yang di larang buat me masjid, tapi agama laen jugo mecak agama kristen, katolik, protestan jugo idka biso datang beribadah setiap minggu ke gereja. Ini cumak dalam batas waktu sementaro yang memang belom ditentuke sampe kapan. Tapi ayo sebagai wargo negara yang baik kito biso meloki aturan pemerintah. Bukan masalh beduso atau idka beduso, tapi namonyo penyakit kito jugo harus ikhtiar untuk ngebantu pemerintah biar virus corona cepet biso dikendalike. Jada dak mandang apo agama kalian, ayo kito samo samo ngedukung pemerintah untuk menangani kasus corona dinegaro kito ini. ",religion
27,"Masih galak beli untuk cemilan anak di rumah? yuk bikin bae dewek dirumah , selain biso menghemat bikin cemilan dewek dirumah jugo lebih sehat untuk anak kito. Cemilan sehat ""jasuke"" jagung susu keju yang gampang buatnyo dirumah masing-masing. pertamo-tamo siapke bahan diantaranyo jagung manis, susu, keju samo mentega. Bersihke jagung manis dari kulitnyo trus direbos kurang lebih 10 menit. setelah direbus tungguke dingin trus dipipili jagungnyo sikok-sikok. Jagong yg sudah dipipili tadi trus dikukus bentar bae biar anget lagi, trus ditarok diwadah kasih mentega samo parutan keju dipocoknyo trus disiram susu. Siap disajike buat anak anak dirumah. Ayo buat ibu-ibu dirumah cubo resep ini dijamin anak-anak seneng. ",food & beverages
972,"Seiring berkembangnuo jaman, kemajuan teknologi yang canggih bahkan kemunculan kecerdasan buatan mecak robot memnag banyak ngebantu gawean manusio, tapi sebenenrnyo ado dampak buruk yang mungkin jadi masalah baru buat kehidupan manusio. Menurut aku walaupun kehadiran robot sangat ngebantu, tapi lapangan pekerjaan yang seharusnyo biso digaweke manusio pado akhirnyo kagek digantike samo robot. Bakal banyak manusio yang susah doaet gawe kareno perusahaan bakal lebih milih robot dari pado ngegaweke manusio. Menurut aku hal ini sudah biso kito rasoke dijaman sekarang yang mano banyak mesin mesin robot yang digunoke, bukan bae di pabrik pabrik ataubperusahana besak. Di rumah bae sekarang kito banyak yang make mesin robot, mecak nyapu ngepel, mesin cuci baju, mesin cuci piring dan laen sebagainyo. Mungkin jasa pembantu rumah tangga bakal dak laku lagi kedepannyo.",technology
80,"Kurma adalah jenes buah yang biso tumbuh kapan bae sepanjang taon. Tapi umumnyo, buah ini sering dipanen pada musim gugur atau awal musim dingin di negaro asalnyo. Alesannyo ujinyo kerno di musim dingin kondisi buah ini pas lagi seger-seger nian. Buah yang jugo sering disebot buah nabi ini nyatonyo kayo nutrisi menguntungke. Secaro umum, kandungan utamo dari buah ini tuh karbohidrat sederhana (terutama gulo seperti sukrosa dan fruktosa). Amper 70% dari kurma terkandung karbohirat didalemnyo. Kurma jugo mengandung beberapo sumber nutrisi lainnyo, mecak: 7 gram serat, 2 gram protein, 20% kebutuhan kalium harian, 14.% kebutuhan magnesium harian, 18% kebutuhan tembaga,15% kebutuhan ,mangan,  5% kebutuhan zat besi harian, 12% kebutuhan vitamin B6 harian. ",food & beverages
111,"surgo kecik dikarimun jawo. Karimunjawo merupoke wilayah kepulauan di utaro Pulau Jawo. Kepulauan Karimunjawa secaro administratif merupoke kecamatan dari daerah Kabupaten Jepara yang jaraknyo kurang lebeh 45 mil amke arah barat laut dari Kota Jeparo (Gustiani & Delyuzar, 2012). Untuk nyampek ke tempat ini macak ditempuh lewat duo jalur, yaitu jalur laut samo jalur udara. Untuk jalur laut dari Pelabuhan Tanjung Mas Semarang pacak dengan kapal cepat amen pegi dari Pelabuhan Kartini Jeparo pacak dengan kapal feri. amen lewat udaro pacak dengan pesawat terbang yang mendarat di Bandara Dewadaru Karimunjawa. Karimunjawa dikenal pulo sebagai “Indonesia Mini” kerno penduduknyo beragam nian, terdiri dari berbagai suku mecak suku Jawo, Bugis, Madura, Buton, Bajo, dan Mandar (Anis, 2015). Oleh kerno itu, idak salah amen Karimunjawa diomongke mecak pulau kecik yang punyo macem-macem budayo yang kentel. Sebagian besak penduduk di Karimunjawo tu pendatang yang terus nyari jalan idup trus menetep di pulau itu, sampek akhernyo Pulau Karimunjawo idak punyo suku asli (Anis, 2015).",leisures
488,"Masjid merupoke tempat ibadah buat umat islam. Masjid merupoke tempat yang suci yang memang dikhususke untuk uwong besembahyang atau nunaike sholat. Masjid tertuo yang ado di pulau jawo adolah Masjid Agung Demak yang dibangun samo wali songo. Masjid ini menyimpan banyak cerito tentang sejarah islam pertamo dipulau jawo. Masjid ini merupoke simbol kerjaan pertamo Islam yang ado di pulau jawo saat itu, yaitu Kerajaan Demak. Masjid ini dibangun sebagai pusat pembelajaran umat Islam waktu itu di kerajaan demak. Masjid agung Demak ini tegak bediri kokoh menyaksike pergantian jaman sampe akhirnyo Islam merupoke agama yang hampir dipeluk samo mayoritas penduduk di Indonesia ini. ",religion
829,"Permaian olahrago sepak bola yang kito kenal sekarang dna disenengi banyak uwong di dunio, awalnyo sudah ditemuke dari jaman dinasti Han di Chino. Dulu masyarakat chino dipercayo sudah maen sepak bola walau ketemtuannyo idak mecka sekarang. Bola yang dipake untuk bemaen dijaman itu merupoke bola yang tebuat dari kulit binatang yang digulung gulung. Nah di beberapo belahan dunio lain mecak di jaman romawi jugo ado permainan yang samo mirip samo sepak bola. Nah perbedaanyo biasonyo di alat yang dipake yaitu bolanyo, menurut cerito boal yang diapke bangso roma tebuat dari tengkorak kepalak manusio. Ado jugk ditemuke permainan yang samo mecak sepak bola diperadaban suku astec, sednagkan di suku astec bola yang dipake tebuat dipercayo tebuat dari karet.",sports
576,"Indonesia terkenal nian dengan keberagamannyo. Terutamk tarian daerah di Indonesia punyk banyak nian ragam. Setiap tarian daerah lasti lunyo ciri khas dan bedo bedo tiap daerah sesuai samo budayo dan adat istiadat daerah setempat. Diantaro yang terkenal sampe ke penjuru dunia adolah tari saman dari aceh, tari jaipong dari jawo barat, tari gendhing sriwijayo dari palembang, Tari topeng dari betawi, Tari kecak dari Bali dan masih banyak lagi yang laennyo. Amen kito perhatike dengan seksamo amen tari tarian tradisional yamg kito punyo ini biso jadi dayo tarik dewek buat wisatawan dalam negeri amulun dari manconegaro. Oleh kareno itu sebagai generasi mudo, ayo kito samo samo lestarike tarian dari daerah kito biar biso terus dinikmati samo generasi kedepan.",culture & heritage
114,"Gili Ilyang tempat untuk menikmati oksigen tebaek yang tesembunyi diujung pulau maduro. Di Gili Iyang ado tempat untuk menikmati oksigen terbaik. Tempat nyo adalah Titik Oksigen yang ado di Desa Bancamara yang letaknyo sekitar 10 menit bermotoran dari dermago. Tempatnyo mudah ditemuke kareno kamu agek  bakal nemu sikok pelang ditandoke tulisan “Titik Oksigen” yang mengarah ke lahan bepagar bambu dengan luasnyo dak lebeh dari 200 meter persegi. Pas masuk, pengunjung agek dimintak ngisi buku tamu trus bayar seikhlasnyo untuk retribusi kas dusun. Di sana ada sekitar 10 gazebo yang bisa digunakan untuk sekadar duduk-duduk dan beristirahat sambil menikmati kesegaran udara. Tempat ini juga sudah dilengkapi dengan fasilitas toilet yang bersih.,",leisures
922," Laptop jaman sekarang ni lah banyak model samo hargonyo. Nak nyari laptop mahal sampek murah jugo ado. Tapi banyak nian wong yang gengsi beli laptop mahal tapi dkankatek manfaatnyo,atau makso beli laptop mahal cumak buat maen game. Bukan dak boleh tapi menurut aku belilah sesuatu yang memnag sibutuhke dan sesuai samo duit yang kito punyo. Jangan galak meloki gayo gayo uwong lain. Boleh abe sih amen nak beli yang mahal amen ado budgetnyo, tapi tekadang budak budak mudo ni maksoke beli laptop mahal mahal cuma buat gaya atau maen game bae. Trus tu dak jingok budget samo kegunoannyo, akhernyo banyak yang kejebak samo utang kredit online. Nah menduut aku belilah yang sesuai samo kegunaanyo dan kalo biso dipake untuk begawe, ngonten yang ngasilke duit lagi. ",technology
833,"Olahraga itu oentung buat kesehatan tubuh kito, tapi tekadang banyan uwong yang dak semoet beolahrgo kareno waktu dak ngatek atau kurang konsisten buat ngelakuke olahrag tiap hari. Nah makmano kiro kiro ngakalinyo biar kito tetep galak olahraga? Menurut aku kito biso jadi emmeber ditempat pusat kebugaran, disano banyak alat alat olahraga yang biso ngebentuk badan kito jadi lebih ideal. Trus disano jugo jadi biso nyari banyak kawan yang bikin kito semangat olahraga. Dak perlu beli alat olahraga kareno lah tesedio lengkap di sano. Nah tapi amen memnag bagi yang dak ngatek waktu samo sekali buat pegi ke tempat gym atau pusat kebugaran mak itu. Mungkin biso beli alat alat olahraga yang sederhano mecak dumbell, tali skipping, karpet yoga, dan laen sebagainyo.",sports
33,"Sayur dan buah-buahan bukan makanan paporit budak-budak kecik. Secaro statistik fenomena mak ini terjadi bukan di indonesia bae, melaenkan di sejumlah negara laen. Menurut riset penelitian dan pengembangan upaya kesehatan Masyarakat 2014, ado sekitar 97,7% budak di Indonesia berumur dibawah 5 tahun yang idak galak makan buah atopun sayuran. Kebiasaan dak galak ngonsumsi sayur dan buah ini biasonyo belanjut ke maso remajo nyampek ke masa tuo. Di riset laennyo menunjuke bawa remajo di Indonesia dengan umur tertinggi sekitar 98,4% idak galak mengkonsumsi sayuran samo buah. Jadi amen ditotal samo wong besak totalnyo sekitar 97,1 persen penduduk indonesia idak seneng ngonsumsi sayuran samo buah. ",food & beverages
823,"Christiano Ronaldo jadi pusat perhatian sejak dio gabung samo Manchaster United 2003. Aku ngidolake dio semenjak itu jugo, amen ditanyo ngapo biso ngidolake sosok christiano ronaldo? Sewaktu pertamonkali liat christiano maen gabung samo Manchaster united memang lah tejingok keahlian dio dalam main sepak bola. Jadi memang lah tejingok calon bintang di lapang ijonyo. Selaen itu sifat dermawan nyo christiano ronaldo, masih jnget kejadian tsunami tahun 2006 di Indonesia. Waktu itu dio dateng ke Indonesia dan ngebantu korban Tsunami di Indonesia, saat itu pulo makin aku ngidolake dio. Ditambah lagi penampilannyo yang memnag menarik bikin betino mao bae pasti ngidolake dio. Nah menurut aku cukup alasan ini bikin aku ngidolake sosok christiano ronaldo.",sports
1247,"Kamu baru nak mulai ngebuka bisnis online tapi masih susah buat ngembangke bisnis kamu? Saran buat pemulo di  idnag bisnis, sering seringlah belajar lewat webinar gratis yang biaso diadoke online. Bisnis dijaman sekarang ini sebnernyo lebih mudah kerno secaro pemasaran banyak platform yang bakal bantu bisnis kito untuk dikenal banyak uwong. Nah untuk biso masuk ke dunio online kamu jugo harus tau ilmu marketing di banyak sosial media samo marketing. Amen kamu sudha nguasoi marketing lewat social media, dan produk kamu jugo bekualitas mako tinggal nunggu susksenyo bae . Nah pengen sukses memang harus banyak belajar tentang update terbaru dibidnag bisnis biar dak ketinggalan jaman. Ayo buat pembisnis pemulo, kamu harus lebih kreatip lagi dalam ngebangun brand kamu dewek.",business
35,"Siapo yang idak kenal samo binaragawan seterkenal Ade Rai? Walopun masuk usio senjo 50 tahunan, penampilan ade rai masih tetep bugar, sehat dan jugo awet mudo. Ternyato Makanan favouritenyo Ade Rai tuh Nasi padang. Nah dio punyo trik biar tetep pacak makan nasi padang, tapi tubuh tetep tejago kesehatannyo dna kebugarannyo. pertamo dio cumak ngambek nasi seukuran kepalan tangannyo. Abes tuh dio milih lauk Ayam Pop bagian dado yang tinggi protein, dan ayamnyo dicuci makek teh tawar panas yang biaso dikasih gratis samo restoran padang. Gunonyo biar lemak dari ayam pop tadi jatuh ke teh tawar panas tadidan garam dari ayam jugo melok luntur, sehinggo kalori yanga di di ayam pop tadi berkurang. ",food & beverages
