id,text,label
402,"Kegiatan nak lêm agamo adeba kutê dê kênrêjo dê mnyakut magêa Tuhan Yang Maha Esa, beriman ngen bertakwa. Kegiatan agamo yo coa si cuma nanêu nak dasêi dê jijai kawajiban bêbilai bae tapi nak sêkulah kulo dê jijai lembaga pendidikan wajib kulo dêmorong ngen mbimbing siswanê supayo têmuan sipêt dê baik ngen made kegiatan agamo yo. Ngen manêu kêgiatan agamo nak sêkulah bakêa jêmijai  sipêt murid sesuoi ngen dê najêa nak lêm agamo, ngen majêa kulo cao nam mênêa suasano religius. Dau kêgiatan dê ade nak lêm sêkulah awêi lêm agamo Islam, nak sêkulah kulo bi sêmdio mushallah utuk murid ngen guau nam manêu kegiatan rutin agamonê.",religion
41,"Dau kuwatku amên ngupi pasêt dê makêi gulo, amên uku snang nyên  ngupi coa makêi gulo, têtiko amên gidong mlanai umêak tun si sêmdio pasêt makêi gulo, têpakso nyên uku muk kupi o. Waktau muk coa ade masalah tapi sudo o pas nak dasêi gis ulau pusuak ku têtiko sapêi mutêak, dê niên nê utuk ku dewek bi biaso muk kupi pet, coa si uyo bae memang kuni bêl o sêsi coa pêrnêak makêi gulo amên mênêa kupi. Makonê amên uku nak pnan kuwat dê biaso uku mlanai si bi namên coa pêrlu uku madêak amên utuk kupi, dê kideknê coa tê namên kupi bi sapêi jijai coa padek kulo amên coa uku muk.",food & beverages
1066,"Itê dê bi pasêtnê coa gi idup su ang, itê kulo perlu tun dê paok tê jano paok umêak tê dê gennê têtanggo. Uku ade kêkiro duai puluak taun idup ngen dau têtanggo nak iding umêakku, keme biaso amên ade jêjano do o sêsamo, mêak gi lêm sakit mnyakit  têmasuk utuk kebutuhan bêbilai kulo keme nam saling namên. Jijai uku ngen têtanggoku o bi lêbiak kuni sêpasuak, amên uku madêaknê têtanggo o adeba sêpasuak dê paling paok utukku. Itê mêstai sêbaik ngen têtanggo mêak sapêi bribut amên ade masalah do o itê harus smudonê ngen cao kêluargo, amên nam itê dê mngalêak do o coa jêjano dê pêtingnê mêak si jijai masalah. Misalnê anok tê dê gi titik bribut itê tun tuai mêstai mêak mnotoa jano milêm mribut urusan anok titik, amên ade dê silêak mnyilêak do o itê mubêt dê pasêtnê nam smudo masalah ngen cao keluargo yo nano.",slice of life
25,"Susu dê kuni kacang tahu, lêm dê glas susu amên mnurut ahli kesehatan ade kandungan sotos kalori ngen dau kandungan  awêi protein, karbohidrat, lemak ngen serat. Dau kulo mêcêm vitamin ngen mineral, awêi vitamin A, vitamin B, vitamin D ngen vitamin E, ade kulo kandungan zat besi, kalium ngen fosfor, coa si Cuma do o bae susu yo kulo mengandung anti oksidan awêi flavonoid ngen isoflavon. Mako nê susu yo baik utuk kesehatan muloi kuni titik, tun bi dewasa, tun tênêi lai jano gi mgêp anok sapêi tun tuai. Do o ba mêmêcêm manfaat kuni susu kacang tahu yo,jijai kmbiak bêguno nyên utuk awok tê utuk jêmago kesehatan.",food & beverages
451,"Iduladha amên keme madêak Rayo Ajai, nak bilai yo keme ja ang belek msadêi. Uku biasonê jijai panitia qurban nak masjid iding umêak keme, amên awêi galok nak pnan keme dau tun qurban jijai panitia o sapêi botos tun. Kuwatku biasonê si jijai tukang motongnê, uku cuma têmulung ayok motong ngen bi sudo notong. Biasonê utuk acara yo keme makêi ade tanêak tun di dê kosong, jijai nak muloi kuni pnan mpek qurban dê lok notong sapêi sudo acara magiak kutê daging qurban. Pnan o kuangnê didik agok uak kuni biyoa jijai utuk biyao ngêpuk keme harus sêmlang kuni umêak tun dê paok kuni di, nak lêm acara yo kutê keeme dapêt tugas mêmasing, jijai kutê nak panêu awêi kênloknê.",religion
492,"Luyên kuni lêpuk ciri khas kêmuk kuni pnan keme Jang adeba juadêak tat ade kulo dê madêak juadêak tênoa. Juadêak yo amên critonê waktau zaman mêna o dê muk cuka kêluargo tun têpandang  bae, uyo api bae nam mênêa asal bahannê pas ukurannê. Betuk juadêaknê lêlibêa amên itê lok muk baru itê mêgit jan têmtok awêi klok tê. Juadêak yo kulo tip bilai rayo biasanê itê mudêak têmau kêrno tun dau mênêa. Uku amên belek msadêi coa bilai rayo uku bi pasêt têmukua juadêak yo kêrno bi dau tun jêmuao utuk rubo. Memang ba utuk asainê coa si barêak itê mênêa dewek, tapi jijaiba amên utuk rubo kêrno juadêak yo coa si tun jêmuwoa nak pnan jano daerah luyên luyên kuni daerah Kulau jano Jang.",culture & heritage
84,"Banyuwangi dau tun namên kuni di dau asea lemeu dê paling dau nak Jawai Timur. Lemeu siam kuni Banyuwangi yo bi dau tun kenal kulo sapêi luwa negrai, lemeu siam yo asainê mis ngen dau kandungan biyoa, kalêaknê mipis mudêak kêmkoknê do o ba ciri kuni lemeu yo, ukurannv agok titik dêbaning ngen lemeu keprok buaknê bulêt kalêaknê warno ijo agok kuning, kêrno ciri khas nê o ba lemeu siam Banyuwangi jijai pavorit ngen dau tun galok, coa saro tun amên lok mêsoa lemeu yo nak toko buak jano mall jano pasar tradisional. Menurut Agus Ali Maksum, suplier holtikultura asal sadêi Jajag Kecamatan Gambira madêak bi kuni lêmo taun si made lemeu siam Banyuwangi utuk distributor Jawai ngen Bali, muloi kuni Hero supermarket, Mall Asia Plaza, sapêi Tiara Dewata Bali.",food & beverages
654,"Kegiatan ekstrakurikuler jijai pnan utuk kêmbang bakat siswa dê nam mêlêi epek positif. Siswa dê bakêa nam ade karkter dê kreatif ngen jiwo gotong royong, mandiri ngen ade akhlak. Sêkulah ade kêwajiban utuk nam made kegiatan ektrskurukuler ngen majêa utuk kêmbang bakat siswa. Lêm Peraturan Mentri Pendidikan dan Kebudayaan Republik Indonesia No.62 taun 2014 tentang ekstrakurikuler adeba kegiatan utuk kêmbang karakter siswa ngen cao optimal dê nanêu nak luwêa jam bêlajêa nêbimbing ngen nawas sêkulah. Dê do kegiatan ekstrakurukuler adeba olah raga dê jijai ekstrakurikuler dê dau niliak kêrno olah raga yo dau siswa dê têmuan minat nak bidang yo. Biasonê bidang olah raga dê nanêu nak sêkulah o sêsuoi ngen pasilitas dê ade nak sêkulah, jijai pas siswa bêlajêa nak sêkulah coa si cuma pitar cao akademis tapi nam kulo kêmang bakat dê ade ngen siswa o kêrno milêm kegiatan ekstrakurikuler.",sports
477,"Kêan uku tingêa nak Lampung uku kulo mêlajêa baso ngen lêgau daerahnê. Amên nak Lampung yo lêgau daerahnê tun dau namên mungkin pertamo kêrno paok Jakarta keduainê tun Lampung dewek anok uainê coa mêsing selek utuk mêlajêa lêgau daerahnê. Makonê Legau Lampung yo kuni daerah luyên kulo dau namên, uku waktau gi SD kêkiro kelas lêmo guau keme nak sêkulah kulo majêa lêgau Lampung tapi waktau o gi masiak makêi gitar utuk mi ingnê, uyo jak zaman bi maju lêgau daerah Lampung bi têmasuk makêi musik maderen. Awêi lêgau dê nêmin penyanyi asal Lampung Andi Achmad Lampung Tanah Lada, ngen dau igai penyanyi-penyanyi asal kuni lampung dê min lêgau Lampung dê bi dau tun namên.",culture & heritage
121,"Ku ang lêbiak dêtaun dê sudo uku ngen kuwat kantor cêmubo moi pnan wisata dê coa alêak baêsnê, amên uyo tun kuni ipê-ipê dau dê bi namên pnan yo, sapêi tun luwêa nêgrai kulo bi dau dê mini gennê Pulau Pahawang têpatnê nak Kabupaten Pesawaran  Propinsi Lampung. Keme moi mini rêrami kerno keme biasonê ade jadwal mto sêsamo, buliak kulo min kêluargo kêrno nak di keme kulo bi mêsên pnan têmalêm. Kêrno kêmbiak raminê jijai itê mêsênnê dêbulên ayok mini, amên coa o itê coa gi bakêa dapêt pnan. Memang baês niên Pulau Pahawang yo, kuni biding itê têmingia kêpêa titik dê muêt tun kêkiro pat puluak. Jijai pnan tê nak di kulo pas itê sapêi bi sênyap. ",leisures
