id,text,label
12,"Roti Gempol aya di jalan Citarum, posisina ditukangeun Gedung Sate. Restoranna sajajar jeung Roti Cane jeung kafe LOS Tropis. Mun ditinggali di luar bentukna siga restoran jaman baheula. Cet tembokna warna krem lamun cet gerbang panutupna warna coklat. Pas asup ka restoranna, aya tangga nu kudu ditaekan ameh sajajar jeung lantaina, jumlah tangga na aya opat. Pas asup ka jero, bakal katingali korsi panjang ti ujung ka ujung ti sabeulah kenca tuluy ditambahan meja buleud anu leutik dihareupeun korsi eta jang nendeun roti, susu, jeung sajabana. Di jero na aya oge etalase anu jangkungna 1,5 meter. Lamun pembakaran roti na posisina nyanghareupan ka jalan, jadi ti luar oge bisa katingali proses nyieun roti bakarna.",food & beverages
3058,"Pilihan bisnis imahan leutik anu nguntungkeun nyaéta muka usaha jahit bumi. pikeun anjeun anu resep ngaput, ieu cocog upami anjeun ngajantenkeun kasempetan salaku panghasilan. per bulan usaha ngaput ieu bisa ngahasilkeun 1,5-3 juta. Sedengkeun modal anu dibutuhkeun teu pati ageung, mimitian ti Rp 2,5 juta tiasa ngajalankeun usaha rumahan anu hiji ieu. Muka barbershop ogé pilihan bisnis leutik nguntungkeun. Sababaraha barbershops kawentar nu mimiti leutik bisa kantong nepi ka 80 juta. Teras, sabaraha modal anu diperyogikeun pikeun muka tukang cukur ieu? ku modal 30-50juta cukup pikeun anjeun muka usaha ieu, asal anjeun terang kumaha motong rambut anu rapih, khususna upami anjeun parantos ngagaduhan sertifikat dina widang ieu, ieu mangrupikeun daya tarik pikeun pengunjung.",business
587,"Teu babari jadi kuncen teh. Aya sababaraha sarat nu kudu dilakonan. Contona wae jadi kuncen Gunung Slamet. Nu kahiji, mibogaan kamampuan jeung pemahaman ngeunaan legenda di Gunung Slamet jeung cicing di sakitar lereng. Kadua, aya kasapukan ti masarakat ngaliwatan musawarah. Nu katilu, diangkat jeung direstui ku kuncen saacanna. Sarta sarat nu paling utama mah nyaeta mibogaan kasaktian jeung bisa ngobrol langsung jeung Eyang Slamet ku cara laku prihatin jeung semedi. Kuncen mibogaan tanggung waler nu gede, siga maturan pendaki ngameh salamet nepika tujuan. Sapanjang hirup salaku kuncen, Warsito diajar mikawanoh gejala alam nu aya pakuat-kaitna jeung aktivitas gunung api aktif eta.",culture & heritage
473,"Gerakan takbirotul ihram anu bener. Nyaeta ngankat dua leungeun, tuluy dua leungeun diarahkeun ka kiblat posisina rada nyerong. Kaayaan ramo-ramo leungeun diantepkeun anggang siga biasana. Leungeun diangkat nepikeun ka juru ramo sajajar jeung ceuli bagian luhur, indung ramo sajajar jeung ceuli bagian handap jeung talapak leungeun sajajar jeung punduk. Saenggeus eta teundeun dua leungeun dibagian kenca antara bujal jeung dada, posisina lengeun katuhu numpakan leungeun kenca, indung ramo, jariji, jeung cingir leungeun katuhu nyepengan pigeulang leungeun sabeulah kenca. Curuk jeung jajangkung nu bagian leungeun katuhu dipanjangkeun dina luhur leungeun kenca. Saenggeus kitu tinggal maca doa iftitah. Tuluy cicing heula sakeudeung.",religion
4230,"Lamun ngobrol ngeunaan dodol, tangtu moal leupas tina Kabupatén Garut. Garut mangrupa daerah di Jawa Barat anu kasohor ku dodol unikna. Dodol nyaéta kadaharan jajanan anu miboga tékstur kenyal sarta lengket. Dodol ogé mindeng boga rasa amis sarta ogé digabungkeun jeung rupa-rupa rasa. Dodol teh sabenerna mirip mirip jeung permen ngan beda di teksturna. Loba nu nyebut oge yen dodol teh permen tradisional. Garut daerah panglobana anu nyieunan dodol gara gara eta garut anu dingaranan Kota Dodol, tangtu Garut ngabogaan sajarah jeung carita anu panjang ngeunaan jajanan mamah ieu. Padahal, dodol mangrupa salah sahiji oleh-oleh khas Garut anu matak pikasebeheun.",culture & heritage
814,"Ku ayana Pandemi tangtuna aktivitas jadi teu bisa sagawayah dilakonan, siga contona mun biasana olahraga di luar rohangan atawa di lapangan nu loba batur, ayeuna mah jadi teu bisa. Tapi sanajan kitu urang masih bisa tetep olahraga ku ngalakukeun olahraga anu ringan, nu teu kudu kaluar imah, jeung teu kudu make alat-alat khusus. Olahraga ringan ieu mantuan pisan pas keur pandemi, jadi sanajan pandemi masih tetep bisa olahraga di imah. Salian ti nyehatkeun, urang oge bisa kahindar tina virus pas keur pandemi. Oge ku sabab babari dilakukeun, urang oge teu kudu boga peralatan khusus, cukup make awak sorangan geus bisa ngagawean olahraga ieu.",sports
5494,"Di lembur abdi teh aya sababaraha tokoh adat nu masih keneh aya dugi ka ayeuna. Aya nu jagjag keneh, aya oge nu tos pikun jeung uduran wae. Salah sahijina nyaeta Ki Sahmad. Ki Sahmad teh masih keneh jagjag dugi ka ayeuna. Kaleresan abdi dinten ayeuna bade ka bumi anjeunna kangge wawancara milarian informasi ngeunaan asal-usul lembur ieu. Abdi wawancara teh duaan jeung rerencangan. Pas datang dugi ka bumina, kaleresan Ki Sahmad aya ti teras bumina nuju santai. Tuluy abdi perkenalan jeung sasadu kana maksad abdi kadinya. Tuluy anjeunna ngijinan kangge diwawancara. Beres wawancara teh ngobrol heula sakedap ngaler ngidul. Alhamdulillah tos beres ngobrol, abdi sareng rerencangan uih deui ka bumi.",culture & heritage
4131,"Isra Miraj oge salah sahiji hari besar dina agama islam, isra miraj datang na di tanggal 27 bulan Rajab lamun nurutkeun kalender hijriah, hari besar ieu mah di mumule jeung dipikaweruh ku loba jelema ku sabab di jadikeun hari besar nasional di teteupkeun jadi hari libur nasional. Dina tahun 2023 ieu isra miraj ragrag dina tanggal 19 februari 2023. Isra miraj the paristiwa anu penting keur di inger pikeun urang salaku umat islam, paristiwa dimana parintah sholat 5 waktu dina sapoe sapeuting anu datang ti gusti Allah saenggeus nabi muhammad ngajakeun parjalanan anu panjang pisan. Keur ngingetan urang ka paristiwa ieu biasana sok di ayakeun acara, acara ieu eusi na aya ceramah jeung sajabana.",religion
7074,"Kitab suci agama Hindu nyaeta Weda, buku ieu lumaku sapanjang umur. Dimimitian ti jaman manusa prasejarah nepi ka jaman modern. Weda ngandung katerangan ngeunaan Gusti sareng alam semesta anu saluyu sareng kamampuan pikiran manusa. Numutkeun Drs. I Wayan Midastra, dkk. dina buku Widya Dharma Hindu Religion for Middle School, Weda disebut Apourucyam. Sabab, kitab suci ieu lain disusun ku manusa biasa, tapi ditarima ku jalma anu suci. Weda asalna tina kecap vid anu hartina ""diajar uninga"". Upami diinterpretasi sacara umum, Vedas mangrupikeun kitab suci pikeun diajar sadayana, ti anu biasa dugi ka anu sesah diuningakeun. Kitab ieu gaduh opat samhita.",religion
5379,"Al-Qur'an jadi salah sahiji kitab suci pedoman umat Islam dina sagala aspek kahirupan di dunia jeung di akherat. Dina Al-Qur'an eusina ngeunaan petunjuk hirup umat Islam nu diwujudkeun oge melalui kisah-kisah teladan nu jadi conto kahirupan. Kitab suci ieu dianggap kitab suci penyempurna kitab-kitab samemehna, nyaeta Taurat, Zabur, Injil, jeung Daud. Salah sahiji kaistimewaan Al-Qur'an nyaeta eusina nu sasuai jeung kahirupan umat manusa ti zaman baheula dugi ka zaman ayeuna-ayeuna. Hal ieu ngabuktikeun bahwa Al-Qur'an ngandung hiji kasucian jeung kaistimewaan nu eusina teh sasuai jeung sagala kondisi jeung zaman. Tangtu wae ieu jadi salah sahiji bentuk ngayakinkeun umatna yen leres ieu kitab suci teh pedoman hirup nu kedah diturutan.",religion
