id,ind_text,tgt_text
indolem-train-1995,"RT @VIVAlife_: Mau Bunuh Kecoa, Wanita Ini Malah Bakar Toilet Kantor http://dlvr.it/8jTVcJ","RT @VIVAlife_: Mo Bunu Kakarlak, Parampuan ini Pi Bakar Kantor Kamar Mandi http://dlvr.it/8jTVcJ"
emot-train-2464,"Masih ingat ""CITRA"" kala itu? #1996 Tempat LDRnya mahasiswa atau sekedar tempat berlabuhnya di tgl tua minta transfer sama ortu. ""WARTEL"" itu tepat dipinggir JATOS hari ini. Tak sekedar tempat kumpul2 padahal dulu tak ber WIFI atau mungkin di atasnya ada kostan mahasiswi.","Masi inga ""CITRA"" dlo tu? #1996 mahasiswa pung hubungan jao pung tampa ato kaya tampa sandar di tanggal tua minta mama bapa kirim uang. ""WARTEL"" tu ada pas di sabla JATOS skarang ni. Bukang cuma tampa bakumpul padahal dolo to seng ada WIFI ka seng mangkali di atas tu ada kost par mahasiswa parampuang."
emot-train-955,Inget jaman SD sekitar kelas 3-4an. Tiap pulang sekolah pasti mampir ke rumahnya [USERNAME] buat main dan nonton meteor garden sama mamahnya. Ikut mandi sama makan juga. Baru pulang kalo udah di telepon mamah. Haha.,Inga pas SD klas 3-4 bagitu. Tiap pulang skola pasti barmaeng dolo ka [USERNAME] pung ruma par maeng deng nonton meteor garden deng dia mama. Iko mandi deng makang lai. Baru pulang kalo mama su telpon. Haha. 
emot-train-2458,Dukaku karna tak mampu katakan sedih ku karna sakit ku!! #iniserius #seriuscumatulisan #tulisandarilubuhhati #hatiyangcukupdalam #tapigakdalamdalambanget *emot mekkel sip*,Beta pung duka barang seng bisa par bilang beta pung sadi tagal beta pung saki!! #seriusni #seriuscumatulisan #tulisandarlubuhati #hatiyang cukupdalam #tapisengdalamdalamskali *emot mekkel sip*
indolem-train-3404,Kamarnya sebenarnya nyaman tetapi dari toiletnya tercium bau selokan padahal berada di lantai 2. Semoga diperbaiki lebih baik lagi ya.,Akang kamar nyaman mar dar kloset ada bobou got padahal ada di lante 2. Smoga tamba biking bae labe bae lai e. 
indolem-test-302,CEMILAN TIDAK ADA PADAHAL NGINAP SAMPE 4 HARI BERTURUT2,CEMILAN SENG ADA PADAHAL TINGGAL 4 HARI FOLL
indolem-train-1418,"lantai berdebu, air kurang lancar","lante baabu, aer bajalang seng tlalu lancar"
emot-train-1187,"Terima kasih Saling mengingatkan dengan yang baik, semoga menjadi berkah bagi kita semua","Dangke su baku kasinga deng yang bae, smoga jadi berkah par katong samua"
indolem-test-470,Bagus... air panas nya tidak menyala,Bagus... akang pung aer panas seng mnyala
indolem-train-1888,"Begitu masuk pertama, kesan yg diterima adalah jorok.. Mohon maaf, ad kotoran (eek) msh melekat di bibir kloset.. Seperti tidak dibersihkan.. Kemudian semakin malam, banyak kecoak bermunculan,, awalnya sy baca review dr app tetangga yg blg byk kecoak, sy tdk percaya.. Tp begitu mengalami sendiri,, sangat horor,, tidur jd tidak nyenyak..","Pas maso pertama, kesan langsung paleng badaki.. Minta maaf, ada tai (eek) masih tatempel di kloset pung bibir.. Kaya seng dapa kasbersi.. La makin malam, kecoa banya muncul,, pertama beta baca review dar app tetangga yang biilang kata kecoa banya, mar beta seng percaya.. Tapi pas beta dapa akang sandiri,, paleng abis horor,, tidor jadi seng sono.."
emot-train-2607,"[USERNAME] ngumumin tunangan di hari ke tujuh, bulan ke tujuh, karena menurutnya itu angka keberuntungan, beeeh aku patah hati nya dobeeel, ku yg pengen bgt tuh tgl segitu wkwkw... klo nikahnya ma [USERNAME] rada gpp sih, tp knapa ma die sih hihi..","[USERNAME] ada kastau tunangan di hari katuju, bulan tuju lai, barang dia bilang itu angka hoki, beeeh beta saki hati badobol, bet yang mau sklai tanggal bagitu wkwkw... kalo kaweng deng ma [USERNAME] tarpapa la, ma kanapa deng ana ni hihi.."
emot-train-3372,Sekedar mencoba masih jauh dari kata sempurna Belum tau caranya memperpanjang durasinya?? #sajak_detik #sajakrindu #diam #tanyajawab #janganpergi,Cuma coba masi jao dar kata smpurna Blom tau kaspanjang durasi pung cara?? #sajak_detik #sajakrindu #diam #tanyajawab #janganpergi
indolem-test-820,"Ini adalah 1x sy pakai airy.Kesan 1 memang beda pelayanan dengan hotel berbintang,but fine.Kaget surprise dan seneng bngt dpt box meal free pula.Kebersihan kerapihan kamar keren dexh.Apalagi kamar mandi bathup mantabbb wes.sayang Ac kurang dingin,TV mati hidup swndiri berulang2 bahkan respon receptionist buruk.Internet juelek pollll.lumayan aja wes","Ini partama kali beta pake airy. Pertama memang beda pelayanan deng hotel yang pung bintang, mar seng apapa. Takajo deng sanang lai barang dapa kotak makang frei. Kamar barsi deng rapi paleng bagus. Kamar mandi pung bak mandi jua mantap. mar sayang AC seng tlalu dinging, TV mati manyala sandiri ulang la orang yang resepsionis lai seng bagus. Internet lai jaringan seng bar. lumayan sa suda. "
emot-validation-10,"Berlajar prosedur bedah sekalian makan sahur ah *buka youtube* *nonton proses bedah dentoalveolar* *ga sanggup makan* *nutup laptop* ""Udahlah makan aja dulu"" *makan sambil deg deg an*","Balajar prosedur beda skaligus makang sahur do *buka youtube* *nonton proses bedah dentoalveolar* *seng mampu par makang* *tutu leptop* *Makang dolo kapa"" *makang sambil jantong tapukul*"
emot-train-2509,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. Trs pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]","[USERNAME] Min ini bagemana? kurir su sala kirim, ka orang laeng pung alamat. La akang pung tanggung jawab mana/ Respon capat jua suda. Dangke. [URL]"
indolem-train-1154,"Ac tidak dingin, sangat kurang nyaman.","Ac seng dining, paleng seng nyaman."
indolem-train-1434,@JANJISUCI_TTV: lhooo.. itu @RaffiAhmadLagi ngapain yaaa ke pangkalan ojek pake kostum kelinci?? #JANJISUCITTV,@JANJISUCI_TTV: Heee..itu @RaffiAhmad ada biking apa eee ka pangkalan ojek pake baju klinci?? #JANJISUCITTV
indolem-test-790,karyawan kurang ramah dan kurang baik,karyawan seng tlalu rama deng bae
emot-train-1232,"Sebenernya badan ini kurang sehat dibawa makam susah, keringet dingin dari pagi tapi dibawa sehat untuk d'bawel apalagi ada acha. karna janji udh lama. Udh ke toilet 5x ditahan kalo gk ditahan bakal lebih, hmmm.","Sebenarnya badan ni kurang bae makang jua stenga mati, karingat dinging dar pagi mar bawa bae sa par dbawel apalai ad acha. barang su janji lama. ka kamar mandi 5x dapa tahang kalo seng tahang su labe, hmmm."
indolem-test-566,"Wifi tidak bisa, hampir 3 hari dalam masa perbaikan. Kebersihan tempat tidur kurang, seprai terlihat kusam dan noda kurang bersih.","Wifi seng bisa, amper 3 hari biking bae. Kebersihan tampa tidor kurang, sprei kaya kusam deng noa kurang barsi"
indolem-train-655,"Akan ada saatnya lo kangen duduk di kursi sekolah. Jadi, buat yg masih sekolah, jgn sia2in moment2 penting bareng temen2 sekolah lo. :)","Nanti ada akang pung saat se kangen dudu di kursi skola. Jadi, par yang masi skola, jang kasiasia momen penting deng se pung tamangtamang skola. :)"
indolem-train-243,Jokowi Tak Rugi bila Ditinggal PDIP | Kabar24 - http://Bisnis.com  http://bitly.com/1zyyYyZ  via @Bisniscom,Jokowi Seng Rugi Kalo PDIP Kastinggal | Kabar24 - http://Bisnis.com  http://bitly.com/1zyyYyZ  via @Bisniscom
indolem-train-3487,check in check out mudah.air hangat ada meski tak begitu lancar.ada dispenser di setiap lantai.parkir luas.kamar tak seluas seperti gambar.ada meja.tak ada lemari.saluran tv tak begitu jelas.lift dalam perbaikan.kamar mandi perlu ditingkatkan kebersihannya.,maso kaluar gampang. aer angat ada biar seng bajalang baebae. ada dispenser di samua lante. parkir basar. kamar seng basar kaya di gambar. ada meja. seng ada kas. tv pung saluran seng jlas. lift ada biking bae. kamar mandi pung kebersihan musti kastingkat lai
indolem-test-786,"Handuk kotor, pelayanan tidak sopan, sama sekali tidak nyaman.","Handuk badaki, pelayanan seng sopan, paleng abis seng nyaman. "
indolem-test-373,kamar ga sesuai yg di foto. ga ada air panas. banyak bgt nyamuk kamar nya. cemilan ga di kasih lagi di hari kedua. kain seprai dan selimut kurang bersih.,kamar seng kaya yang di foto. seng ada aer panas. nyamu paleng banya di kamar. cemilan seng dapa kasi lai pas su hari kadua. kain sprei deng slimut seng tlalu barsi.
indolem-test-491,Tidakkah kau sadari apa yang telah terjadi Kau dan aku terluka ? Bukan Rama Shinta by Raffi Ahmad ? https://path.com/p/1uDIED,Se seng sadar ka yang su jadi ni se deng beta dapa akang luka ? Bukan Rama Shinta dar Raffi Ahmad ? https://path.com/p/1uDIED
indolem-train-1175,"RT @TeamsFollow_ID PDIP Dinilai Aneh bila Terima Badrodin Kapolri: INILAHCOM, Jakarta - Anggo... http://j.mp/1Lmust6  ? ? ? #TFB","RT @TeamsFollow_ID PDIP Dapa Nilai Ane Kalo Trima Badrodin Kapolri: INILAHCOM, Jakarta - Anggo... http://j.mp/1Lmust6  ? ? ? #TFB"
emot-validation-202,Benny: nay kata orang-orang api itu panas Naya: ya iyalah ben.. Benny: tapi ada yang lebih panas lagi nay Naya: apaan itu ben? Benny: kobaran cinta aku nay... Naya: O in aja..,Benny: nay orang ada bilang api tu panas Naya: iyolah ben.. Benny: mar ada yang labe panas lai nay Naya: apa tu Ben? Benny: beta pung kobaran cinta nay... Naya: O sa jua...
indolem-validation-299,"Massa Nelayan Kepung Kantor Menteri Susi, Gambir Macet Parah http://dlvr.it/8kzgMy","Banya Nelayan Kepung Kantor Menteri Susi, Gambir Macet Paskali http://dlvr.it/8kzgMy"
indolem-train-638,"RT @aprilliaqu #CeritaNebeng Pagi ini nebeng pa guru @aalizani dan sampe sekolah jam 6. 28, haha paguru n buguru tebeng2an, makasih yaa","RT @aprilliaqu #CeritaNebeng Pagi ni numpang Bapa Guru @aalizani la sampe skola jam 6. 28, haha bapa guru deng bu guru baku utmpang, dangke ee"
indolem-train-3537,"Benarkah Bila Hatta Memimpin, PAN Selalu Di Bawah Bayang-Bayang Demokrat?"""" by @SangPemburu99 http://chirpstory.com/li/252988  | @PintarPolitik","Batul Ka Kalo Hatta Yang Pimpin, PAN Slalu Di Bawah Bayang-Bayang Demokrat?"""" by @SangPemburu99 http://chirpstory.com/li/252988  | @PintarPolitik"
emot-train-2725,"9. Bibi Esta [USERNAME] OH MY GUD KESAYANGAN AKU BANGET, bibi baik bangett :* sayang bibi wkwkwkwk bibi asik banget, perhatian banget, aah sayang banget hiks sama bibi tiada kata yang mampu mengungkapkan rasa sayangku pada mu bi","9. Tanta Esta [USERNAME] ASTAGA E BETA SAYANG SKALI KA, tanta bae skalii :* sayang tanta wkwkwkwk tanta asik lai, perhatian skali, aah paleng sayang skali hiks par tanta seng ada kata yang bisa bilang beta pung rasa sayang par tanta"
indolem-train-3060,"AC mati hidup, dan kalau menyala suara AC nya berisik..","AC mati manyala, deng kalo manyala akang suara AC baribot.."
indolem-train-1662,"Pengamat: Imbas Konflik Jokowi-PDIP, Demokrat Incar Jabatan http://dlvr.it/8fD556  #Kabari","Pengamat: Kana Imbas Konflik Jokowi-PDIP, Demokrat Ser Jabatan http://dlvr.it/8fD556  #Kabari"
emot-validation-381,"Sebagai cewek gw salut banget sama via vallen ini. Buat kita para cewek, tindak pelecehan ini semacam aib yg gak pengen orang tau. Tapi dia berani! Thats why gw sangat emosi baca komen yg menghujat dia. Sesama cewek bukannya saling menguatkan malah menjatuhkan. So sad!","Jadi parampuan ni beta bangga deng via vallen. Par katong parampuan ni, pelecehan ni kaya aib yang seng mau orang laeng tau. Mar dia barani! Makanya beta paleng emosi lia komen yang kata dia. Sama-sama parampuang musti bakukaskuat bukan kasjato. Paleng susa!"
