id,ind_text,tgt_text
indolem-train-818,"hobi banget ngapain? ? selfie , sama mainan hp wkw belajar juga sih tapi gak keseringan bgt wkw http://ask.fm/a/c0dmqfll ","hobi banget ngapain? ? selpi , ama maenan hape wkw belajar juga sih tapi kaga keseringan amet wkw http://ask.fm/a/c0dmqfll "
indolem-train-841,Thanks babes for coming @FNHaziqah_ @FtinAtighah @___szr. baju dh santek mai posing hancoq ? #HasnolAnisSolemnization,Makasih sayang udeh dateng @FNHaziqah_ @FtinAtighah @___szr. baju udeh santek mai posing hancoq ? #HasnolabisSolemnization
indolem-test-540,"Lumayan nyaman, cuma ac kurang dingin dan kebersihan perlu ditingkatkan","Mayan kerasan, tibang ac kurang dingin ame keresikan perlu ditambahin "
emot-train-1744,Dear [USERNAME] sang penerima penghargaan Travel and Tourism Awards dan Predilat LCC Bintang 4 Skytrax! Saya sdh berkali2 telpon call center dan email pengaduan ke customer care dgn nomor pengaduan 239835 dan RSV229808 kenapa complain sy tdk ditindak lanjuti??,Nyang têrhormat [USERNAME] sang pênêrimè Pênghargèan Pêrjalanan dan Pariwisatè amè Prédikat LCC Bintang 4 Skytrax! Ayè udèh bêkali-kali télpon pusat panggilan dan émail pêngaduan kê layanan pêlanggan dêngan nomor pêngaduan 239835 dan RSV229808 kenapè kêluhan ayè kagak ditindaklanjutin??
indolem-test-157,Demokrat nilai Jokowi beri bukti bukan janji http://tinyurl.com/n73ony5,Démokrat pontên Jokowi ngasih bukti bukan janji http://tinyurl.com/n73ony5
indolem-train-367,dalam gelap takkan kutinggalkan?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2tBOp6,dalem gelap kagak bakal aye tinggalin?? ? Untukmu Aku Bertahan oleh Afgan ? https://path.com/p/2tBOp6
indolem-train-2606,"kamarnya kotor,tidak ada tissue dan tempat sampah. lampu tidur dikamar juga mati,selimutnya hanya setengah badan saja.","kamarnye kotor,kagak ada elap ame tong sampeh. lampu merem di kamar juge mati,ambalnye tibang separoh badan aje."
indolem-train-992,Kamulah Takdirku - Single by Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5,Kamulah Takdirku - Lagu dewek dari Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5
emot-train-248,"Wa inii ... mantep nii Wa inii, wa inii tok, dari kemarin jg belum nonton deadpool, han solo gr"" gaada temen kasian ! Dasar miskin, gapunya temen ! [URL]","Waa inih ... mantep inih wah inih, wah inih aje, dari maren juge belon nonton kolem kematian, han solo gegare kagak ade temen kasian ! Dasar kere, kagak punye temen ! [URL] "
indolem-train-546,Cara Atur Pola Makan Bagi Ibu Menyusui Agar Cepat Turun Berat Badan http://tinyurl.com/qbbptuz,Care Ngatur Pole Ngleyom Buat Ibu nyang lagi Nyusuin Biar Cepet Turun Berat Awak http://tinyurl.com/qbbptuz
emot-train-3261,"Hanya modal walikota Solo,bgmn mungkin bs menaklukkan belantara Jkrta.Dan disusul bs menaklukkan Nusantara.Dia sendirian?.Tanpa dukungan TAIPAN,dan media sosial,Mustahil.Konsekwensi:dikomando taipan. [URL]","Tibang modal walikota Solo,pegimane mungkin bise naklukin belantare Jakarte.Ama disusul bise naklukin Nusantare.Die dewekan?.Tanpe dukungan TAIPAN,ama media sosial,Mustahil.Akibatnye:dikomando taipan. [URL]"
emot-train-1415,"Berada di lingkungan yang berisi orang-orang hebat itu akan menyadarkan kita betapa pentingnya upgrade diri dan jadi OUT STANDING! Salah satunya duta bahasa, kemampuan mereka itu wow bgt!","Ade di daerah nyang isinye orang-orang mantep ntu bakal nyadarin kite betape pentingnye naekin diri dan jadi  LUAR BIASE! Sale atunye dite bahase, kepunyaan die-die ntu gile bgt!"
emot-test-3,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...","Kemerdekaan adalah hak mane-mane bangse ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) kaye kite nutup mate ame Penjajahan Yaman ama Qatar.Artinye standar gande ..."
indolem-train-2085,"yang perlu diperbaiki : pelayanan kurang ramah , perlengkapan seperti handuk,air minum snack dr airy tdk di kasih walaupun menginap lebih dr 3 !","nyang kudu dibenerin : pelayanan kureng ajer , perlengkapan kek anduk, aer minum gegares ringan dari airi kagak di sodorin walopun menginep lebih dari tige !"
indolem-test-601,televisi nyaa buremmm,télépisi nyah rênyêk
