id,ind_text,tgt_text
indolem-train-818,"hobi banget ngapain? ? selfie , sama mainan hp wkw belajar juga sih tapi gak keseringan bgt wkw http://ask.fm/a/c0dmqfll ","hobi pisan rek naon? ? selfie , jeung ngome hape wkw diajar oge sih tapi teu sering pisan wkw http://ask.fm/a/c0dmqfll"
indolem-train-841,Thanks babes for coming @FNHaziqah_ @FtinAtighah @___szr. baju dh santek mai posing hancoq ? #HasnolAnisSolemnization,Nuhun sayang geus datang @FNHaziqah_ @FtinAtighah @___szr. pakean geus santek mai posing hancoq ? #HasnolAnisSolemnization
indolem-test-540,"Lumayan nyaman, cuma ac kurang dingin dan kebersihan perlu ditingkatkan","lumayan nyaman, ngan ac kurang tiis jeung kabersihan perlu ditingkatkeun"
emot-train-1744,Dear [USERNAME] sang penerima penghargaan Travel and Tourism Awards dan Predilat LCC Bintang 4 Skytrax! Saya sdh berkali2 telpon call center dan email pengaduan ke customer care dgn nomor pengaduan 239835 dan RSV229808 kenapa complain sy tdk ditindak lanjuti??,Dear [USERNAME] sang penerima penghargaan Travel and Tourism Awards jeung Predilat LCC Bintang 4 Skytrax! Abdi tos sababaraha kali telepon call center jeung email pengaduan ka customer care jeung nomor pengaduan 239835 jeung RSV229808 kunaon komplen abdi teu ditindaklanjuti??
indolem-test-157,Demokrat nilai Jokowi beri bukti bukan janji http://tinyurl.com/n73ony5,Demokrat Nganggep Jokowi mere bukti lain janji http://tinyurl.com/n73ony5
indolem-train-367,dalam gelap takkan kutinggalkan?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2tBOp6,dina poek moal kuring tinggalkeun?? ? Untukmu Aku Bertahan ku Afgan ? https://path.com/p/2tBOp6
indolem-train-2606,"kamarnya kotor,tidak ada tissue dan tempat sampah. lampu tidur dikamar juga mati,selimutnya hanya setengah badan saja.","kamarna kotor, euweuh tisu jeung wadah runtah. lampu sare di kamar oge pareum, salimutna ngan satengah awak hungkul."
indolem-train-992,Kamulah Takdirku - Single by Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5,Kamulah Takdirku - Single ku Raffi Ahmad & Nagita Slavina https://itun.es/id/M8Jr5
emot-train-248,"Wa inii ... mantep nii Wa inii, wa inii tok, dari kemarin jg belum nonton deadpool, han solo gr"" gaada temen kasian ! Dasar miskin, gapunya temen ! [URL]","Wa ieuu ... mantep yeuh Wa ieuu, wa ieuu tok, ti kamari jeung acan nonton deadpool, han solo kusabab euweuh babaturan karunya ! Dasar miskin, teu boga babaturan ! [URL] "
indolem-train-546,Cara Atur Pola Makan Bagi Ibu Menyusui Agar Cepat Turun Berat Badan http://tinyurl.com/qbbptuz,Cara Ngatur Pola Dahar Kangge Ibu Nyusuan Meh Tereh Turun Beurat Awak http://tinyurl.com/qbbptuz
emot-train-3261,"Hanya modal walikota Solo,bgmn mungkin bs menaklukkan belantara Jkrta.Dan disusul bs menaklukkan Nusantara.Dia sendirian?.Tanpa dukungan TAIPAN,dan media sosial,Mustahil.Konsekwensi:dikomando taipan. [URL]","Ngan modal walikota Solo,kumaha carana bisa nalukkeun leuweung Jakarta.Terus nyusul bisa nalukkeun Nusantara.Anjeunna sorangan?.Teu aya dukungan TAIPAN,jeung sosial media,Mustahil.Akibatna:dikomando ku taipan. [URL]"
emot-train-1415,"Berada di lingkungan yang berisi orang-orang hebat itu akan menyadarkan kita betapa pentingnya upgrade diri dan jadi OUT STANDING! Salah satunya duta bahasa, kemampuan mereka itu wow bgt!","Aya di lingkungan anu isina jelema-jelema hebat teh bakalan nyadarkeun urang sakumaha pentingna ningkatkeun diri teras jadi NONJOL! Salah satuna duta bahasa, pangabisa maranehna teh wow pisan!"
emot-test-3,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...","Kamerdekaan mangrupikeun hak sagala bangsa ...(Iwal Yahudi,Kurdi , Catalonia , Koptik ) sakumaha urang nutup panon ka Penjajahan Yaman jeung Qatar.Artina standar ganda ..."
indolem-train-2085,"yang perlu diperbaiki : pelayanan kurang ramah , perlengkapan seperti handuk,air minum snack dr airy tdk di kasih walaupun menginap lebih dr 3 !","nu kudu diomean : pelayanan kurang someah , perlengkapan siga anduk,cai nginum jajaneun ti Airy teu dibere sanajan mondok leuwih ti 3 !"
indolem-test-601,televisi nyaa buremmm,tv na renyekkk
emot-train-1137,"Kepada jamaah Masjid Al Kautsar , Dikarenakan Nasi tumpeng ayam matang sebelum waktunya, maka dengan ini pengajian tafsir masjid Al Kautsar di ajukan hari ini. Aya aya wae...#Ramadhan berkah","Ka jamaah Masjid Al Kautsar, kusabab sangu tumpeng ayam asak sateuacan waktuna, maka jeung ieu pengajian tafsir masjid Al Kautsar diajukeun dinten ayeuna. Aya aya wae... #Ramadhan berkah"
indolem-train-1915,"#BreakingNews: Aneh, Mengapa Menkumham Standar Ganda Pengesahan Pengurus PPP dan Golkar? http://tinyurl.com/lagcrks ","#WartaTeranyar: Aneh, Naha Menkumham Standar Ganda Pangesahan Pangurus PPP jeung Golkar? http://tinyurl.com/lagcrks"
indolem-test-14,Syahrini Pakai Batik ke Kantor Tribun Timur Makassar http://bit.ly/1LFbeRf,Syahrini Make Batik ka Kantor Tribun Timur Makassar http://bit.ly/1LFbeRf
indolem-validation-328,"Sebenarnya secara keseluruhan kamar ok, bersih, rapi dan nyaman. Cuman yg bikin kecewa waktu tdr di selimutnya ada tungau nya (kutu busuk) jadi tidurnya tidak pulas karena harus garuk2 kaki","Sabenerna kaseluruhan kamar teh sae, beresih, rapih jeung nyaman. Ngan anu nyieun kuciwa teh pas sare di simbut aya kutuna (kutu busuk) jadi sarena teu tibra sabab kudu gagaro suku"
emot-test-250,Terima kasih kepada Undiknas Bali yang mempercayakan perjalanan company visit Singapore - Malaysia kepada Kusuma Holiday Tour,Hatur nuhun ka Undiknas Bali anu ngapercayakeun perjalanan kunjungan perusahaan Singapura - Malaysia ka Kusuma Holiday Tour
indolem-train-1674,"ok aja la, wi-fi kaga ada","ok we lah, wi-fi euweuh"
indolem-train-834,"pelayanan ramah, saran aja mungkin lebih diperhatikan water heater nya. Selebihnya, OK","palayanan someah, ngan saran weh leuwih diperhatikeun pikeun manasan carina. Sesana, ALUS"
emot-train-1721,"[USERNAME] Min kalau tidak ada perawatan Transjakarta ini bisa seperti metro mini, saya tiap hari naik Basway ini 60% mobil nya bermasalah","[USERNAME] Min, upami teu aya perawatan Transjakarta ieu tiasa sapertos metro mini, abdi naek Basway unggal dinten 60% mobil aya masalah."
indolem-validation-398,Jgn gitu ah tom @Cent_tommy: makan sehari cuma sekali gara2 di block andela gak nafsumakan ... mungkin bskbbskbgak nafsu hidup ?,Tong kitu ah tom @Cent_tommy: dahar sapoe ngan sakali kusabab diblok Andela teu nafsu dahar ... meren isuk isuk ssuk teu nafsu hirup ?
