id,text,label
indolem-test-355,"dung dijawab dihapus,dongan macam aha ? au maniop hp sabolah on  http://ask.fm/a/bo26h59f ",negative
indolem-train-37,"Apala as kantor lagi libur Imlek, pas ma tingkina mambaen hal na gelleng sebagai bentuk? (w/ Vivien) [pic] ? https://path.com/p/4jm49v ",positive
indolem-train-255,"nungga pa 2x hon marborngin dison, jala sarupa dope bilukna ias ac ngali, holan senag tv na bintik2 dope jala chanelna holan 2 hhehhee, gabe tong do ndang boi manonton tv, asing ni bagak do sude",positive
indolem-validation-61,"#fakta dongan ia na rela tarlambat mulak sikola cuma giot mangecet,curhat rap mangecet naso takkas",positive
indolem-train-287,"hampir sempurna fasilitas hotel semi appartemen,cuma kualitas tv joko,lain lainna view,meja karejo,dapur mini,kamar maridi oke doma,hasur nyaman ias,anduk kuskus ias.",positive
indolem-train-354,Bidang Perempuan Golkar Makassar Dilehan Ilmu Keprotokoleran : http://fajar.co.id/fajaronline-sulsel/2015/02/21/bidang-perempuan-golkar-makassar-dibekali-ilmu-keprotokoleran.html ?,positive
indolem-train-2269,"nungga piga hali hupakke airy  ale podoman ni hitel on dao hian ma sian na hupikiri jala dang hian ma pas dohot na di patorang di gombaran na di aplikasi airy, ipe aksesoris airy na dang adong. dang adong aek las, podoman pe bornok jala jormat, anduk na pe bonok  adong muse marmasalah di airy na..",negative
indolem-train-3019,obuk akim on contoh obuk favorit giot hona gotap rap guru disiplin anggo donok sikola.selekeh songon homeless.,negative
indolem-train-3440,kamar maridi pittu sego.anduk inda adong anggo inda dipangido.tv na inda mangolu.pelayananna hurang.,negative
indolem-train-3444,au subdat marborngin alana listrik mintop. panghobasion hurang lambok,negative
indolem-train-6,"adaboru i cuma ra ia dijadihon marharga dimata alaklainia, bisa pupu manjago ia baru ra mandongani ia sanga tudia pe ia kehe. :')",positive
indolem-train-124,Marsogot mamakke baju na bagak.. Dohot baju na kembaran sarupa dohot member-member team k3 ?,positive
indolem-test-188,#Teknologi Demokrat niai kaputusan presiden malehen kepastian http://dlvr.it/8dTLwl #Assadiqulhaq,positive
