lang,type,overlap__ind,overlap__eng,overlap__ind__pct,overlap__eng__pct,token_size,token_size__normalized,,,
nia,Wikipedia,0.2745,0.2848,27.45,28.48,246643,500000,,,
bew,NusaWriting,0.4385,0.2163,43.85,21.63,1164932,5000000,,,
rej,NusaWriting,0.3542,0.2390,35.42,23.90,156900,500000,,500000,18
mad,NusaWriting,0.3074,0.2556,30.74,25.56,573833,1000000,,1000000,7
min,NusaWriting,0.4166,0.2570,41.66,25.70,960961,1000000,,5000000,4
bug,NusaWriting,0.3116,0.2571,31.16,25.71,118392,500000,,10000000,3
jav,NusaWriting,0.4180,0.2628,41.80,26.28,1116678,5000000,,,
sun,NusaWriting,0.4045,0.2654,40.45,26.54,1111848,5000000,,,
mak,NusaTranslation,0.2316,0.2665,23.16,26.65,191528,500000,,,
bew,NusaTranslation,0.4260,0.2665,42.60,26.65,209867,500000,,,
mak,NusaWriting,0.3655,0.2731,36.55,27.31,609262,1000000,,,
btk,NusaWriting,0.4394,0.2892,43.94,28.92,562947,1000000,,,
mad,NusaTranslation,0.3353,0.2975,33.53,29.75,211503,500000,,,
mui,NusaWriting,0.5640,0.3015,56.40,30.15,182632,500000,,,
sun,NusaTranslation,0.4478,0.3036,44.78,30.36,209492,500000,,,
jav,NusaTranslation,0.4376,0.3256,43.76,32.56,208034,500000,,,
min,Wikipedia,0.2435,0.3342,24.35,33.42,12623423,10000000,,,
min,NusaTranslation,0.4461,0.3363,44.61,33.63,211084,500000,,,
rej,NusaTranslation,0.3822,0.3382,38.22,33.82,34668,500000,,,
ban,Wikipedia,0.3008,0.3418,30.08,34.18,1691041,5000000,,,
map-bms,Wikipedia,0.5682,0.3702,56.82,37.02,548796,1000000,,,
btk,NusaTranslation,0.4338,0.3704,43.38,37.04,214165,500000,,,
bjn,Wikipedia,0.4836,0.3960,48.36,39.60,680176,1000000,,,
gor,Wikipedia,0.5396,0.4118,53.96,41.18,603073,1000000,,,
mad,Wikipedia,0.4563,0.4119,45.63,41.19,106335,500000,,,
ace,Wikipedia,0.3618,0.4242,36.18,42.42,489036,500000,,,
mui,NusaTranslation,0.5984,0.4248,59.84,42.48,36233,500000,,,
jav,Wikipedia,0.2310,0.4323,23.10,43.23,8519436,10000000,,,
sun,Wikipedia,0.2606,0.4342,26.06,43.42,5514173,10000000,,,
bug,Wikipedia,0.3902,0.4827,39.02,48.27,287823,500000,,,
abs,NusaTranslation,0.6616,0.5119,66.16,51.19,37816,500000,,,
bhp,NusaTranslation,0.4149,0.5497,41.49,54.97,32988,500000,,,
